,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,École Fadette Vert et Noir AAA R,QBAA,154381,2,0,8,6,8,2,
0,20152016,École Fadette Vert et Noir M15,QM15AAA,159977,13,16,10,33,10,29,
0,20162017,Saint-Hyacinthe Gaulois,QM18AAA,62694,14,4,4,24,4,18,6.0
0,20172018,Saint-Hyacinthe Gaulois,QM18AAA,62694,26,10,36,40,36,36,5.0
0,20172018,Team Québec Blue,QGC-16,154185,4,4,0,5,0,8,
0,20182019,Moncton Wildcats,QMJHL,9630,19,12,12,61,12,31,11.0
0,20182019,Canada Red U17,WHC-17,163770,0,1,6,6,6,1,
0,20192020,Moncton Wildcats,QMJHL,9630,24,11,18,61,18,35,13.0
0,20202021,Halifax Mooseheads,QMJHL,9610,28,21,24,37,24,49,12.0
0,20212022,Halifax Mooseheads,QMJHL,9610,46,42,35,61,35,88,18.0
0,20212022,Canada U20,WJC-20,17216,1,0,0,7,0,1,-1.0
