,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20132014,HC Prerov U16,Czech U16,83717,2,1,6,17,6,-10.0,3
0,20142015,HC Prerov U18,Czech U18 2,45856,1,1,0,1,0,2.0,2
0,20142015,HC Prerov U16,Czech U16,83717,10,15,12,29,12,15.0,25
0,20152016,HC Prerov U16,Czechia U16,85250,36,38,8,32,8,37.0,74
0,20162017,HC Kometa Brno U20,Czechia U20,35977,0,1,0,1,0,1.0,1
0,20162017,HC Kometa Brno U18,Czechia U18,42444,27,21,14,35,14,29.0,48
0,20162017,HC Prerov U18,Czechia U18 2,47275,3,3,0,2,0,6.0,6
0,20162017,Czechia U17,WHC-17,61320,0,2,0,5,0,,2
0,20172018,HC Kometa Brno,Champions HL,12012,1,0,0,4,0,-1.0,1
0,20172018,HC Kometa Brno,Czechia,13876,0,0,0,4,0,-1.0,0
0,20172018,HC Zubr Prerov,Czechia2,15420,2,9,8,18,8,5.0,11
0,20172018,Czechia U18,WJC-18,17013,1,4,2,7,2,-1.0,5
0,20172018,HC Kometa Brno U20,Czechia U20,35977,6,9,8,15,8,6.0,15
0,20172018,HC Kometa Brno U18,Czechia U18,42444,2,6,8,4,8,4.0,8
0,20172018,Czechia U18,Hlinka Gretzky Cup,158320,1,2,2,5,2,1.0,3
0,20182019,HC Kometa Brno,Champions HL,12012,2,2,2,9,2,-1.0,4
0,20182019,HC Kometa Brno,Czechia,13876,4,2,4,29,4,1.0,6
0,20182019,HC Zubr Prerov,Czechia2,15420,2,1,2,4,2,3.0,3
0,20182019,Czechia U20,WJC-20,17046,1,0,2,5,2,-1.0,1
0,20192020,HC Kometa Brno,Czechia,13876,3,3,2,34,2,5.0,6
0,20192020,HC Zubr Prerov,Czechia2,15420,1,0,2,6,2,2.0,1
0,20192020,Czechia U20,WJC-20,17046,1,0,4,4,4,-4.0,1
0,20192020,HC Kometa Brno U20,DHL Cup,35242,2,0,2,1,2,1.0,2
0,20202021,HC Kometa Brno,Czechia,13876,4,6,8,44,8,-3.0,10
0,20202021,HC Zubr Prerov,Czechia2,15420,0,3,2,2,2,0.0,3
0,20212022,Abbotsford Canucks,AHL,33767,0,0,2,8,2,-1.0,0
