,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20132014,Chicago Mission Bantam Minor AAA,HPMBHL,141686,22,11,6.0,20,6,33,
0,20142015,Chicago Mission Bantam Major AAA,HPBHL,141295,8,3,0.0,17,0,11,
0,20152016,Chicago Mission 16U AAA,NAPHL 16U,97230,0,0,0.0,5,0,0,
0,20152016,Chicago Mission 16U AAA,HPHL 16U,97841,14,1,6.0,23,6,15,
0,20152016,Team Black,USA-S15,177983,0,2,,5,,2,
0,20162017,U.S. National U18 Team,USDP,19564,0,0,0.0,1,0,0,
0,20162017,U.S. National U17 Team,USDP,19734,12,1,8.0,56,8,13,
0,20162017,USNTDP Juniors,USHL,52486,4,1,6.0,34,6,5,-9.0
0,20162017,USA U17,WHC-17,61270,2,0,0.0,5,0,2,
0,20172018,USA U18,WJC-18,17253,4,1,2.0,7,2,5,6.0
0,20172018,U.S. National U18 Team,USDP,19564,26,2,14.0,57,14,28,
0,20172018,USNTDP Juniors,USHL,52486,14,1,6.0,23,6,15,19.0
0,20182019,Univ. of Notre Dame,NCAA,16100,3,1,8.0,39,8,4,1.0
0,20192020,Univ. of Notre Dame,NCAA,16100,17,3,17.0,36,17,20,4.0
0,20192020,USA U20,WJC-20,17276,0,0,8.0,5,8,0,1.0
0,20202021,Univ. of Notre Dame,NCAA,16100,7,5,6.0,29,6,12,5.0
0,20212022,Milwaukee Admirals,AHL,1017,0,0,0.0,2,0,0,-1.0
0,20212022,Univ. of Notre Dame,NCAA,16100,20,7,8.0,39,8,27,18.0
