,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Richelieu Éclaireurs Bantam AA,RICBAA,150944,12,6,28,33,28,0,18,,,,,,,,,,,,,,,,
0,20112012,École Fadette Vert et Noir AAA R,RICBAA,153464,13,12,54,33,54,0,25,,,,,,,,,,,,,,,,
0,20122013,Saint-Hyacinthe Gaulois,QMAAA,61183,9,10,44,41,44,0,19,,,,,,,,,,,,,,,,
0,20132014,Saint-Hyacinthe Gaulois,QMAAA,61183,23,22,80,42,80,0,45,,,,,,,,,,,,,,,,
0,20142015,Acadie-Bathurst Titan,QMJHL,8878,10,8,121,64,121,-19,18,,,,,,,,,,,,,,,,
0,20152016,Acadie-Bathurst Titan,QMJHL,9570,23,33,132,66,132,-4,56,,,,,,,,,,,,,,,,
0,20162017,Acadie-Bathurst Titan,QMJHL,9570,25,35,117,63,117,6,60,,,,,,,,,,,,,,,,
0,20172018,Acadie-Bathurst Titan,M-Cup,9311,7,3,4,4,4,6,10,,,,,,,,,,,,,,,,
0,20172018,Acadie-Bathurst Titan,QMJHL,9570,23,39,127,58,127,29,62,,,,,,,,,,,,,,,,
0,20182019,San Jose Barracuda,AHL,187427,11,11,94,68,94,-9,22,,,,,,,,,,,,,,,,
0,20192020,San Jose Barracuda,AHL,187427,17,13,103,54,103,-11,30,,,,,,,,,,,,,,,,
0,20202021,San Jose Sharks,National Hockey League,1,0,0,23,11,23,-7,0,79:57,10.0,22.0,0.0,0.0,00:00,79:57,0.0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,120.0
0,20202021,San Jose Barracuda,AHL,187427,2,2,31,17,31,-3,4,,,,,,,,,,,,,,,,
0,20212022,San Jose Sharks,National Hockey League,1,2,3,114,34,114,-2,5,299:19,30.0,84.0,0.0,0.0,00:33,298:32,33.33,10.0,0.0,0.0,0.0,0.0,00:14,11.0,438.0
0,20212022,San Jose Barracuda,AHL,187427,2,4,20,13,20,-1,6,,,,,,,,,,,,,,,,
