,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Huddinge IK U16,U16 SM,35351,0,0,6,3,6,0,,,,,,,,,,,,,,,,,
0,20082009,Djurgarden U18,Swe-U18,1,8,2,22,33,22,10,,,,,,,,,,,,,,,,,
0,20092010,Djurgarden Jr.,Swe-Jr.,1,8,0,26,24,26,8,,,,,,,,,,,,,,,,,
0,20092010,Djurgarden U18,Swe-U18,2,13,7,54,27,54,20,,,,,,,,,,,,,,,,,
0,20102011,Djurgarden Jr.,Swe-Jr.,1,21,2,104,38,104,23,,,,,,,,,,,,,,,,,
0,20112012,Djurgarden Jr.,Swe-Jr.,1,11,3,14,21,14,14,,,,,,,,,,,,,,,,,
0,20112012,Djurgarden,Sweden,2,4,3,16,41,16,7,,,,,,,,,,,,,,,,,
0,20112012,Djurgarden,Sweden-Q,3,1,0,6,10,6,1,,,,,,,,,,,,,,,,,
0,20122013,Djurgarden,Sweden-2,1,16,8,82,55,82,24,,,,,,,,,,,,,,,,,
0,20132014,Frolunda,Sweden,1,18,2,16,50,16,20,,,,,,,,,,,,,,,,,
0,20132014,Sweden,WC-A,2,1,0,6,8,6,1,3.0,0.0,0.0,0.0,-4.0,,,,,,,,,,,,
0,20142015,Frolunda,Sweden,1,25,4,22,55,22,29,,,,,,,,,,,,,,,,,
0,20152016,Chicago Blackhawks,National Hockey League,1,14,0,4,41,4,14,58.0,0.0,0.0,0.0,11.0,633:26,29.0,1.0,68:49,561:36,0.0,0.0,0.0,0.0,03:01,37.0,864.0
0,20152016,Rockford,AHL,2,8,3,38,27,38,11,66.0,1.0,1.0,1.0,1.0,,,,,,,4.5,,,,,
0,20152016,Sweden,WC-A,3,2,0,0,8,0,2,16.0,0.0,0.0,0.0,-1.0,,,,,,,0.0,,,,,
0,20152016,Sweden,WC,6815,2,0,0,8,0,2,,,,,-1.0,,,,,,,,,,,,
0,20152016,Rockford IceHogs,AHL,8267,8,3,38,27,38,11,,,,,1.0,,,,,,,,,,,,
0,20162017,Rockford IceHogs,AHL,8267,25,5,40,68,40,30,,,,,-27.0,,,,,,,,,,,,
0,20172018,Chicago Blackhawks,National Hockey League,1,11,5,6,35,6,16,71.0,0.0,0.0,0.0,1.0,649:26,30.0,4.0,49:36,598:49,0.0,7.04,0.0,0.0,01:01,45.0,869.0
0,20172018,Sweden,WC,6815,1,0,2,6,2,1,,,,,3.0,,,,,,,,,,,,
0,20172018,Rockford IceHogs,AHL,8267,14,3,18,25,18,17,,,,,-3.0,,,,,,,,,,,,
0,20182019,Chicago Blackhawks,National Hockey League,1,43,17,34,79,34,60,160.0,4.0,3.0,0.0,-6.0,1784:11,100.0,18.0,239:38,1535:27,0.0,10.63,2.0,0.0,09:06,115.0,2019.0
0,20182019,Sweden,WC,6815,2,2,2,8,2,4,,,,,5.0,,,,,,,,,,,,
0,20182019,Sweden,EHT,89816,1,0,0,3,0,1,,,,,-2.0,,,,,,,,,,,,
0,20192020,Chicago Blackhawks,National Hockey League,1,20,6,25,59,25,26,98.0,2.0,0.0,0.0,-8.0,1219:06,81.0,8.0,166:01,1041:28,0.0,6.1,0.0,0.0,11:37,54.0,1344.0
0,20192020,Calgary Flames,National Hockey League,2,3,0,2,7,2,3,5.0,0.0,0.0,0.0,-1.0,126:04,5.0,1.0,11:47,114:17,0.0,0.0,0.0,0.0,00:00,4.0,161.0
0,20202021,Philadelphia Flyers,National Hockey League,1,9,1,0,24,0,10,25.0,0.0,0.0,0.0,-2.0,417:45,20.0,4.0,58:54,358:27,0.0,4.0,0.0,0.0,00:24,20.0,546.0
0,20202021,Montréal Canadiens,National Hockey League,2,2,0,0,5,0,2,8.0,0.0,0.0,0.0,1.0,66:55,1.0,1.0,09:23,57:32,0.0,0.0,0.0,0.0,00:00,1.0,80.0
0,20212022,Chicago Blackhawks,National Hockey League,1,15,3,14,59,14,18,79.0,0.0,0.0,0.0,-4.0,956:52,45.0,4.0,113:44,838:32,0.0,3.8,0.0,0.0,04:36,55.0,1189.0
