,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Boston Jr. Bruins,EmJHL,60750,21,15,16,40,16,0.0,36,,,,,,,,,,,,,,,,
0,20112012,Bos. Jr. Bruins,EmJHL,1,47,39,36,36,36,,86,,,,,,,,,,,,,,,,
0,20112012,Bos. Jr. Bruins,EJHL,2,0,0,0,3,0,,0,,,,,,,,,,,,,,,,
0,20122013,USNTDP,USHL,1,14,13,14,35,14,-12.0,27,123.0,2.0,10.6,2.0,1.0,,,,,,,,,,,
0,20122013,USNTDP,U-17,2,8,15,10,16,10,,23,,,,,,,,,,,,,,,,
0,20122013,USNTDP,U-18,3,1,1,6,7,6,,2,,,,,,,,,,,,,,,,
0,20132014,USNTDP,USHL,1,25,20,20,24,20,20.0,45,95.0,6.0,21.1,3.0,1.0,,,,,,,,,,,
0,20132014,USNTDP,U-18,2,24,18,22,29,22,,42,,,,,,,,,,,,,,,,
0,20132014,U.S.A.,WJ18-A,3,5,5,2,7,2,6.0,10,42.0,0.0,,1.0,0.0,,,,,,,,,,,
0,20142015,Boston University,H-East,1,45,26,28,40,28,,71,,7.0,,4.0,2.0,,,,,,,,,,,
0,20142015,U.S.A.,WJC-A,2,3,1,6,5,6,-3.0,4,21.0,0.0,,0.0,0.0,,,,,,,,,,,
0,20152016,Buffalo Sabres,National Hockey League,1,32,24,22,81,22,-16.0,56,238.0,8.0,10.08,5.0,0.0,1548:51,43.0,21.0,246:21,1272:03,41.02,1.0,0.0,30:27,25.0,1796.0
0,20162017,Buffalo Sabres,National Hockey League,1,33,24,22,61,22,-13.0,57,249.0,10.0,9.64,4.0,0.0,1215:08,26.0,24.0,181:57,1018:30,38.94,1.0,0.0,14:41,35.0,1343.0
0,20162017,USA,WC,17215,5,0,4,8,4,-1.0,5,,,,,,,,,,,,,,,,
0,20162017,Team North America,WCup,176776,1,1,0,3,0,0.0,2,,,,,,,,,,,,,,,,
0,20172018,Buffalo Sabres,National Hockey League,1,39,25,32,67,32,-25.0,64,246.0,3.0,10.16,4.0,0.0,1349:36,52.0,20.0,249:35,1046:50,41.51,1.0,2.0,53:11,35.0,1558.0
0,20182019,Buffalo Sabres,National Hockey League,1,54,28,26,77,26,-11.0,82,303.0,8.0,9.24,2.0,0.0,1573:59,70.0,26.0,271:23,1261:41,47.01,2.0,0.0,40:55,51.0,1756.0
0,20182019,USA,WC,17215,6,2,2,8,2,2.0,8,,,,,,,,,,,,,,,,
0,20192020,Buffalo Sabres,National Hockey League,1,42,36,34,68,34,5.0,78,227.0,11.0,15.9,9.0,1.0,1502:52,40.0,27.0,263:49,1220:10,46.83,3.0,1.0,18:53,42.0,1596.0
0,20202021,Buffalo Sabres,National Hockey League,1,16,2,6,21,6,-9.0,18,61.0,1.0,3.3,1.0,0.0,430:27,20.0,9.0,72:21,357:10,49.74,0.0,0.0,00:56,15.0,479.0
0,20212022,Vegas Golden Knights,National Hockey League,1,11,14,10,34,10,3.0,25,133.0,3.0,10.5,2.0,0.0,659:19,45.0,8.0,100:17,557:40,48.55,0.0,0.0,01:22,35.0,744.0
