,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20022003,Waterloo,USHL,1,00:00,33,36,32,60,00:00,00:00,32,0.0,00:00,69,0.0,,,,,,,,,,,
0,20032004,Waterloo,USHL,1,00:00,31,21,58,54,00:00,00:00,58,0.0,00:00,52,0.0,4.0,2.0,2.0,10.0,,,,,,,
0,20042005,U. Of Wisconsin,WCHA,1,00:00,29,16,26,41,00:00,00:00,26,0.0,00:00,45,0.0,,,,,,,,,,,
0,20052006,U. Of Wisconsin,WCHA,1,00:00,33,23,34,43,00:00,00:00,34,0.0,00:00,56,0.0,,,,,,,,,,,
0,20062007,San Jose Sharks,National Hockey League,1,691:11,14,14,18,46,127:20,558:06,18,48.59,05:45,28,871.0,5.0,3.0,0.0,4.0,111.0,33.0,11.0,12.61,0.0,0.0,32.0
0,20062007,Worcester,AHL,2,,18,8,8,16,,,8,,,26,,1.0,1.0,1.0,9.0,,,,,,,
0,20072008,San Jose Sharks,National Hockey League,1,1157:06,21,19,28,82,190:25,882:30,28,53.49,84:11,40,1482.0,8.0,4.0,1.0,1.0,207.0,67.0,18.0,9.18,0.0,1.0,59.0
0,20082009,San Jose Sharks,National Hockey League,1,1517:05,34,25,46,80,242:46,1096:38,46,56.28,177:41,59,2072.0,8.0,3.0,3.0,5.0,266.0,82.0,23.0,9.4,0.0,4.0,74.0
0,20082009,United States,WC-A,2,,1,1,0,5,,,0,0.0,,2,,,,,,,,,,,,
0,20092010,San Jose Sharks,National Hockey League,1,1305:14,26,25,26,67,204:17,939:59,26,58.1,160:58,51,1729.0,3.0,5.0,1.0,1.0,228.0,58.0,13.0,10.96,0.0,2.0,60.0
0,20092010,U.S.A.,Olympics,3,,3,0,4,6,,,4,0.0,,3,,,,,,,,,,,,
0,20102011,San Jose Sharks,National Hockey League,1,1454:22,46,20,24,74,248:34,1061:23,24,54.31,144:25,66,1908.0,11.0,5.0,1.0,10.0,282.0,61.0,28.0,7.09,0.0,3.0,67.0
0,20112012,San Jose Sharks,National Hockey League,1,1690:19,30,31,31,82,262:39,1298:06,31,58.68,129:34,61,2240.0,8.0,2.0,1.0,18.0,269.0,50.0,18.0,11.52,0.0,1.0,84.0
0,20122013,San Jose Sharks,National Hockey League,1,907:40,15,16,10,48,144:11,688:21,10,51.82,75:08,31,1276.0,5.0,5.0,0.0,2.0,130.0,48.0,11.0,12.31,0.0,1.0,44.0
0,20122013,Dynamo Minsk,KHL,2,,8,7,10,17,,,10,,,15,,,,,,,,,,,,
0,20132014,San Jose Sharks,National Hockey League,1,1627:43,38,41,32,82,288:18,1208:46,32,55.97,130:39,79,2221.0,16.0,3.0,1.0,23.0,225.0,47.0,31.0,18.22,0.0,2.0,68.0
0,20132014,U.S.A.,Olympics,2,,4,1,0,6,,,0,,,5,,1.0,0.0,0.0,1.0,8.0,,,,,,
0,20142015,San Jose Sharks,National Hockey League,1,1650:15,33,37,29,82,268:30,1255:57,29,55.97,125:48,70,2207.0,19.0,5.0,0.0,12.0,261.0,97.0,31.0,14.18,0.0,0.0,86.0
0,20152016,San Jose Sharks,National Hockey League,1,1624:54,40,38,30,82,299:39,1279:40,30,55.01,45:35,78,2067.0,12.0,11.0,0.0,25.0,224.0,147.0,28.0,16.96,1.0,0.0,67.0
0,20162017,San Jose Sharks,National Hockey League,1,1548:30,39,29,34,81,270:30,1253:40,34,52.45,24:20,68,1964.0,7.0,7.0,1.0,11.0,233.0,130.0,22.0,12.45,0.0,1.0,73.0
0,20162017,USA,WCup,17286,,1,1,0,3,,,0,,,2,,,,,-1.0,,,,,,,
0,20172018,San Jose Sharks,National Hockey League,1,1578:57,44,22,41,82,261:49,1293:19,41,54.88,23:49,66,1970.0,7.0,1.0,0.0,0.0,224.0,93.0,23.0,9.82,0.0,0.0,70.0
0,20182019,San Jose Sharks,National Hockey League,1,1428:18,26,38,22,75,221:31,1153:04,22,53.19,53:43,64,1809.0,12.0,6.0,1.0,-4.0,188.0,69.0,21.0,20.21,1.0,1.0,61.0
0,20192020,Dallas Stars,National Hockey League,1,1134:23,17,14,29,67,176:24,904:52,29,53.83,53:07,31,1536.0,6.0,3.0,0.0,6.0,125.0,62.0,11.0,11.2,2.0,1.0,52.0
0,20202021,Dallas Stars,National Hockey League,1,1065:14,26,25,16,56,173:41,853:08,16,52.01,38:25,51,1395.0,13.0,4.0,0.0,22.0,139.0,64.0,21.0,18.0,0.0,0.0,39.0
0,20212022,Dallas Stars,National Hockey League,1,1514:52,54,27,14,82,224:26,1249:29,14,52.46,40:57,81,1989.0,12.0,2.0,0.0,11.0,216.0,104.0,25.0,12.5,0.0,0.0,69.0
