,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,Hanhals IF J18,J18 Div.1,16200,0,0,0,3,0,0,
0,20142015,Hanhals IF U16,U16 SM,143657,0,0,0,3,0,0,
0,20142015,Hanhals IF U16,U16 Region,144002,4,2,36,27,36,6,
0,20142015,Hanhals IF U16 2,U16 Div.1,173664,0,0,0,1,0,0,
0,20152016,IF Troja-Ljungby J20,J20 Region,5950,2,1,4,18,4,3,10.0
0,20152016,IF Troja-Ljungby J18,J18 Region,14528,6,4,14,32,14,10,4.0
0,20162017,IF Troja-Ljungby,HockeyEttan,1581,0,0,0,6,0,0,1.0
0,20162017,IF Troja-Ljungby J20,J20 Region,5950,14,4,8,26,8,18,10.0
0,20162017,IF Troja-Ljungby J18,J18 Region,14528,12,2,12,26,12,14,4.0
0,20172018,Frölunda HC J20,J20 Nationell,5919,7,5,10,43,10,12,15.0
0,20182019,Frölunda HC,SHL,919,0,0,0,1,0,0,0.0
0,20182019,Frölunda HC J20,J20 Nationell,5919,15,3,10,32,10,18,19.0
0,20182019,Hanhals IF,HockeyEttan,6041,5,6,2,24,2,11,1.0
0,20192020,BIK Karlskoga,HockeyAllsvenskan,1480,11,1,12,46,12,12,-4.0
0,20202021,BIK Karlskoga,HockeyAllsvenskan,1480,22,6,24,52,24,28,11.0
0,20212022,Skellefteå AIK,Champions HL,332,2,0,6,8,6,2,2.0
0,20212022,Skellefteå AIK,SHL,1019,5,1,8,50,8,6,11.0
