,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20172018,HC Plzen U16,Czechia U16,85120,15,10,16,37,16,32.0,25
0,20172018,Plzensky kraj U15,ODM,259385,6,0,4,8,4,,6
0,20182019,HC Plzen U16,Czechia U16,85120,21,19,54,37,54,26.0,40
0,20192020,HC Plzen,Czechia,8346,0,0,2,4,2,1.0,0
0,20192020,HC Plzen U20,DHL Cup,35132,11,6,10,24,10,6.0,17
0,20192020,HC Plzen U17,Czechia U17,256152,6,1,4,5,4,4.0,7
0,20192020,HC Plzen B U20,Czechia U20 3,291529,2,0,0,1,0,,2
0,20202021,HC Plzen,Czechia,8346,6,3,34,34,34,13.0,9
0,20202021,Czechia U18,WJC-18,17013,0,0,8,4,8,-1.0,0
0,20202021,Czechia U20,WJC-20,17046,1,1,2,5,2,-1.0,2
0,20202021,Czechia,EHT,68526,0,0,2,1,2,-1.0,0
0,20212022,HC Plzen,Czechia,8346,6,5,49,29,49,0.0,11
0,20212022,Czechia,WC,17015,1,1,0,5,0,-1.0,2
0,20212022,Czechia U20,WJC-20,17046,4,0,2,7,2,-5.0,4
