,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,Kiekko-Espoo U16 Ch,U16 SM-sarja,82093,3,1,4,9,4,4,
0,20152016,Kiekko-Espoo U16,U16 SM-sarja,81233,19,12,35,27,35,31,
0,20162017,HIFK U18,U18 SM-sarja,25371,13,11,16,47,16,24,
0,20172018,HIFK U18,U18 SM-sarja,25371,1,4,2,4,2,5,
0,20172018,HIFK U20,U20 SM-sarja,25390,7,9,10,46,10,16,19.0
0,20182019,HIFK U20,U20 SM-sarja,25390,34,7,16,50,16,41,27.0
0,20192020,Jukurit,Liiga,4659,16,6,6,47,6,22,-19.0
0,20192020,Jukurit U20,U20 SM-sarja,30790,5,3,4,13,4,8,5.0
0,20202021,Jukurit,Liiga,4659,19,7,14,47,14,26,-17.0
0,20202021,Jukurit U20,U20 SM-sarja,30790,1,0,2,2,2,1,1.0
0,20202021,Finland,EHT,68516,0,2,4,7,4,2,-1.0
0,20212022,Kärpät,Liiga,919,11,1,4,26,4,12,-3.0
0,20212022,Jukurit,Liiga,4659,5,0,0,16,0,5,-11.0
