,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20152016,HK Trnava U18,Slovakia U18,39583,1,2,2,6,2,-3.0,3
0,20152016,Spartak Moskva U16,Russia U16,184917,19,11,4,28,4,,30
0,20162017,HK Trnava U18,Slovakia U18,39583,62,42,28,44,28,53.0,104
0,20172018,Russia U18,WJC-18,17523,0,3,2,5,2,3.0,3
0,20172018,Krasnaya Armiya Moskva,JCWC,49600,2,0,2,5,2,-1.0,2
0,20172018,Krasnaya Armiya Moskva,MHL,49712,24,6,2,33,2,9.0,30
0,20172018,Russia U18 |WJAC-19|,WJAC-19,87382,3,1,0,4,0,,4
0,20172018,Russia U18,Hlinka Gretzky Cup,158300,2,2,4,5,4,,4
0,20182019,Univ. of Connecticut,NCAA,14180,15,6,20,32,20,1.0,21
0,20192020,Univ. of Connecticut,NCAA,14180,12,9,26,32,26,9.0,21
0,20202021,TPS,Liiga,969,28,10,24,54,24,2.0,38
0,20212022,Adler Mannheim,Champions HL,1302,0,3,2,4,2,2.0,3
0,20212022,Adler Mannheim,DEL,1358,15,7,10,25,10,8.0,22
