,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,Färjestad BK U16 2,U16 Div.1,157716,2,2,6,6,6,4,
0,20152016,Färjestad BK U16,U16 Region,43472,3,0,6,9,6,3,
0,20152016,Färjestad BK U16 2,U16 Div.1,158274,3,5,4,13,4,8,
0,20162017,Färjestad BK J18,J18 Region,7098,1,0,0,7,0,1,
0,20162017,Färjestad BK J18,J18 Nationell,7858,1,0,0,3,0,1,0.0
0,20162017,Värmland,TV-Pucken,11116,0,1,2,6,2,1,
0,20162017,Färjestad BK U16,U16 SM,43127,0,1,0,3,0,1,
0,20162017,Färjestad BK U16,U16 Region,43472,7,3,66,25,66,10,
0,20172018,Färjestad BK J20,J20 Nationell,5799,3,1,2,9,2,4,-2.0
0,20172018,Färjestad BK J18,J18 Region,7098,14,9,12,19,12,23,
0,20172018,Färjestad BK J18,J18 Nationell,7858,3,2,2,16,2,5,4.0
0,20182019,Färjestad BK,SHL,839,0,0,0,3,0,0,0.0
0,20182019,Färjestad BK J20,J20 Nationell,5799,24,5,63,40,63,29,10.0
0,20182019,Färjestad BK J18,J18 Region,7098,1,3,0,4,0,4,
0,20182019,Färjestad BK J18,J18 Nationell,7858,2,0,0,1,0,2,2.0
0,20182019,Sweden U18,WJC-18,8573,1,0,0,7,0,1,4.0
0,20182019,Sweden U18,Hlinka Gretzky Cup,158290,0,0,2,5,2,0,
0,20192020,Färjestad BK,Champions HL,152,0,0,2,5,2,0,2.0
0,20192020,Färjestad BK,SHL,839,11,2,4,42,4,13,1.0
0,20192020,Färjestad BK J20,J20 Nationell,5799,2,3,14,9,14,5,-4.0
0,20202021,Färjestad BK,SHL,839,11,8,16,44,16,19,15.0
0,20202021,Sweden U20,WJC-20,8596,3,0,4,5,4,3,0.0
0,20202021,Sweden,EHT,89816,0,1,2,2,2,1,1.0
0,20212022,Färjestad BK,SHL,839,20,5,24,52,24,25,-6.0
