,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Alaska All Stars 14U AA,Bantam,239505,29,23,6,12,6,0.0,52,,,,,,,,,,,,,,,,
0,20112012,Mid Fairfield Rangers 14U AAA,AYHL 14U,191630,5,16,10,22,10,,21,,,,,,,,,,,,,,,,
0,20122013,Long Island Royals 15U,AYHL 15U,204218,13,12,19,14,19,0.0,25,,,,,,,,,,,,,,,,
0,20132014,PAL Islanders,USPHL,1,14,17,8,16,8,,31,,,,,,,,,,,,,,,,
0,20142015,USNTDP,USHL,1,7,7,20,25,20,10.0,14,26.0,2.0,26.9,1.0,0.0,,,,,,,,,,,
0,20142015,USNTDP,U-18,2,7,5,12,39,12,,12,,,,,,,,,,,,,,,,
0,20152016,U. of Connecticut,H-East,1,18,14,12,36,12,-14.0,32,97.0,13.0,14.4,2.0,0.0,,,,,,,,,,,
0,20152016,Univ. of Connecticut,NCAA,14180,18,14,12,36,12,-14.0,32,,,,,,,,,,,,,,,,
0,20162017,Chicago Wolves,AHL,957,1,1,2,16,2,1.0,2,,,,,,,,,,,,,,,,
0,20162017,Univ. of Connecticut,NCAA,14180,13,19,24,34,24,-6.0,32,,,,,,,,,,,,,,,,
0,20162017,USA U20,WJC-20,17276,4,1,4,7,4,4.0,5,,,,,,,,,,,,,,,,
0,20172018,St. Louis Blues,National Hockey League,1,6,3,12,41,12,-12.0,9,55.0,0.0,5.45,0.0,0.0,488:54,39.0,1.0,45:38,443:16,10.0,0.0,0.0,00:00,9.0,640.0
0,20172018,San Antonio Rampage,AHL,8497,10,8,4,30,4,-4.0,18,,,,,,,,,,,,,,,,
0,20172018,USA,WC,17215,2,1,16,10,16,3.0,3,,,,,,,,,,,,,,,,
0,20182019,Buffalo Sabres,National Hockey League,1,5,7,20,65,20,-22.0,12,108.0,1.0,6.48,0.0,0.0,788:26,66.0,1.0,56:10,730:24,50.0,0.0,0.0,01:52,9.0,1031.0
0,20182019,Rochester Americans,AHL,1047,3,6,4,8,4,6.0,9,,,,,,,,,,,,,,,,
0,20192020,Buffalo Sabres,National Hockey League,1,0,0,0,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,06:59,2.0,0.0,00:00,06:59,0.0,0.0,0.0,00:00,0.0,11.0
0,20192020,Rochester Americans,AHL,1047,6,6,8,16,8,5.0,12,,,,,,,,,,,,,,,,
0,20202021,Buffalo Sabres,National Hockey League,1,6,8,17,38,17,-6.0,14,96.0,2.0,8.3,0.0,0.0,527:10,25.0,3.0,47:45,478:19,25.0,0.0,0.0,01:06,8.0,699.0
0,20202021,USA,WC,17215,4,1,2,8,2,-1.0,5,,,,,,,,,,,,,,,,
0,20212022,Buffalo Sabres,National Hockey League,1,30,38,37,78,37,-17.0,68,253.0,10.0,15.0,4.0,2.0,1394:36,66.0,16.0,205:47,1122:46,40.31,1.0,2.0,66:03,25.0,1739.0
