,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20162017,ACA Rangers U15,NSU15MHL,126044,23,11,8,33,8,34,
0,20162017,Team Nova Scotia U14 (ACC),ACC-U14,163910,4,6,4,5,4,10,
0,20172018,ACA Rangers U15,NSU15MHL,126044,46,34,46,32,46,80,
0,20172018,Team Nova Scotia U15 (ACC),ACC-U15,163881,1,1,2,5,2,2,
0,20182019,Cole Harbour Wolfpack U18,NSU18MHL,55045,28,19,43,35,43,47,
0,20182019,Team Nova Scotia,CWG,94495,2,0,2,6,2,2,
0,20182019,Team Nova Scotia,QGC-16,154235,2,3,0,5,0,5,
0,20192020,Acadie-Bathurst Titan,QMJHL,9570,28,5,26,59,26,33,-17.0
0,20192020,Canada White U17,WHC-17,163790,3,2,6,6,6,5,
0,20202021,Acadie-Bathurst Titan,QMJHL,9570,25,13,16,33,16,38,9.0
0,20212022,Acadie-Bathurst Titan,QMJHL,9570,70,30,56,66,56,100,13.0
0,20212022,Canada U20,WJC-20,17216,0,0,0,3,0,0,0.0
