,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Ott. Jr. 67's,Minor-ON,1,40,15,118,70,118,0.0,55,,,,,,,,,,,,,,,,
0,20082009,Kingston,OHL,1,19,3,69,63,69,,22,2.0,0.0,-16.0,,,,,,,,,,,,,
0,20082009,Canada,WJ18-A,2,3,1,0,6,0,0.0,4,,,,,,,,,,,,,,,,
0,20092010,Kingston,OHL,1,21,2,68,41,68,,23,1.0,1.0,11.0,,,,,,,,,,,,,
0,20092010,Canada,WJ18-A,2,1,0,4,6,4,0.0,1,,,,,,,,,,,,,,,,
0,20102011,Kingston,OHL,1,22,12,105,44,105,,34,4.0,1.0,-1.0,,,,,,,,,,,,,
0,20102011,Canada,WJC-A,2,2,3,4,7,4,,5,0.0,0.0,8.0,0.0,,,,,,,,,,,,
0,20112012,Florida Panthers,National Hockey League,1,6,2,78,72,78,0.0,8,0.0,0.0,-19.0,0.0,1022:15,76.0,154.0,1.0,35:57,964:17,2.63,0.0,0.0,22:01,73.0,1452.0
0,20122013,Florida Panthers,National Hockey League,1,4,0,47,32,47,0.0,4,0.0,0.0,-22.0,0.0,599:57,49.0,80.0,1.0,20:52,526:55,0.0,0.0,0.0,52:10,32.0,788.0
0,20122013,San Antonio,AHL,2,0,0,2,2,2,,0,0.0,0.0,2.0,0.0,,3.0,,,,,0.0,,,,,
0,20132014,Florida Panthers,National Hockey League,1,6,3,114,65,114,0.0,9,0.0,0.0,-7.0,0.0,1168:46,92.0,158.0,1.0,55:49,986:42,3.26,0.0,0.0,126:15,91.0,1610.0
0,20132014,Canada,WC-A,2,0,1,6,7,6,,1,0.0,0.0,6.0,0.0,,7.0,,,,,,,,,,
0,20142015,Florida Panthers,National Hockey League,1,9,4,58,76,58,0.0,13,0.0,0.0,-4.0,0.0,1414:58,110.0,212.0,4.0,67:09,1182:01,3.64,0.0,0.0,165:48,75.0,1830.0
0,20152016,Florida Panthers,National Hockey League,1,7,2,49,64,49,0.0,9,0.0,0.0,3.0,0.0,1287:12,73.0,150.0,0.0,21:15,1058:50,2.74,0.0,0.0,207:07,73.0,1488.0
0,20162017,Vancouver Canucks,National Hockey League,1,5,1,18,30,18,0.0,6,0.0,0.0,-14.0,1.0,610:03,40.0,66.0,0.0,06:29,523:47,2.5,0.0,0.0,79:47,44.0,765.0
0,20172018,Vancouver Canucks,National Hockey League,1,3,2,35,52,35,0.0,5,0.0,0.0,-7.0,0.0,957:53,53.0,126.0,0.0,02:14,823:34,3.77,0.0,0.0,132:05,81.0,1252.0
0,20182019,Vancouver Canucks,National Hockey League,1,6,2,83,57,83,0.0,8,0.0,0.0,-27.0,1.0,1025:13,72.0,132.0,0.0,02:34,898:01,2.78,0.0,0.0,124:38,60.0,1389.0
0,20182019,Pittsburgh Penguins,National Hockey League,2,2,0,4,19,4,0.0,2,0.0,0.0,7.0,0.0,360:19,22.0,52.0,0.0,00:49,328:22,0.0,0.0,1.0,31:08,24.0,481.0
0,20192020,Pittsburgh Penguins,National Hockey League,1,0,0,4,7,4,0.0,0,0.0,0.0,0.0,0.0,106:10,2.0,13.0,0.0,00:07,96:31,0.0,0.0,0.0,09:32,2.0,146.0
0,20192020,Anaheim Ducks,National Hockey League,2,5,4,91,44,91,0.0,9,0.0,0.0,0.0,0.0,881:32,76.0,76.0,0.0,06:20,780:13,5.3,0.0,1.0,94:59,56.0,1156.0
0,20202021,Ottawa Senators,National Hockey League,1,2,1,47,36,47,0.0,3,0.0,0.0,-13.0,1.0,650:35,53.0,92.0,0.0,02:56,550:21,1.9,0.0,0.0,97:18,51.0,851.0
0,20202021,Nashville Predators,National Hockey League,2,1,0,12,9,12,0.0,1,0.0,0.0,1.0,0.0,155:18,5.0,19.0,0.0,00:26,147:42,0.0,0.0,0.0,07:10,13.0,196.0
0,20212022,Calgary Flames,National Hockey League,1,11,6,68,78,68,0.0,17,0.0,0.0,15.0,0.0,1414:52,129.0,145.0,0.0,06:25,1180:40,4.7,0.0,0.0,227:47,92.0,2035.0
