,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Farjestad U18,Swe-U18,1,8,3,10,22,10,11,,,,,,,,,,,,,,,,,
0,20092010,Skare Jr.,Swe-Jr.,1,1,0,2,2,2,1,,,,,,,,,,,,,,,,,
0,20092010,Skare,Sweden-3,2,6,1,10,21,10,7,,,,,,,,,,,,,,,,,
0,20092010,Farjestad U18,Swe-U18,3,11,6,6,19,6,17,,,,,,,,,,,,,,,,,
0,20092010,Farjestad,Sweden,4,0,0,2,3,2,0,,,,,,,,,,,,,,,,,
0,20102011,Farjestad U18,Swe-U18,1,1,0,2,2,2,1,,,,,,,,,,,,,,,,,
0,20102011,Farjestad,Sweden,2,4,0,12,42,12,4,,,,,,,,,,,,,,,,,
0,20102011,Sweden,WJ18-A,3,1,0,2,4,2,1,0.0,0.0,0.0,3.0,,,,,,,,,,,,,
0,20112012,Farjestad Jr.,Swe-Jr.,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
0,20112012,Farjestad,Sweden,2,8,0,14,49,14,8,,,,,,,,,,,,,,,,,
0,20112012,Sweden,WJC-A,3,4,0,14,6,14,4,0.0,0.0,0.0,2.0,,,,,,,,,,,,,
0,20122013,Minnesota Wild,National Hockey League,1,9,2,10,45,10,11,1.0,0.0,0.0,3.0,1044:35,51.0,17.0,2.0,58:50,895:12,0.0,3.92,0.0,0.0,90:33,60.0,1340.0
0,20122013,Houston,AHL,2,2,2,4,9,4,4,0.0,0.0,0.0,2.0,,13.0,,,,,,15.38,,,,,
0,20132014,Minnesota Wild,National Hockey League,1,11,8,22,79,22,19,3.0,0.0,0.0,0.0,1888:12,74.0,33.0,7.0,112:19,1596:25,0.0,10.81,0.0,0.0,179:28,117.0,2389.0
0,20142015,Minnesota Wild,National Hockey League,1,14,3,8,71,8,17,0.0,1.0,0.0,21.0,1716:18,95.0,31.0,2.0,67:44,1488:50,0.0,3.16,0.0,1.0,159:44,128.0,2157.0
0,20152016,Minnesota Wild,National Hockey League,1,5,2,20,68,20,7,0.0,0.0,0.0,-5.0,1388:31,58.0,34.0,0.0,07:04,1261:41,0.0,3.45,0.0,0.0,119:46,110.0,1792.0
0,20162017,Minnesota Wild,National Hockey League,1,22,3,20,68,20,25,2.0,2.0,0.0,5.0,1330:38,85.0,20.0,7.0,104:01,1101:07,0.0,3.53,0.0,0.0,125:30,89.0,1694.0
0,20162017,Sweden,WC,6815,2,1,6,10,6,3,,,,6.0,,,,,,,,,,,,,
0,20162017,Sweden,EHT,89816,0,0,0,2,0,0,,,,-1.0,,,,,,,,,,,,,
0,20172018,Minnesota Wild,National Hockey League,1,15,6,30,73,30,21,0.0,1.0,0.0,23.0,1577:07,77.0,34.0,3.0,57:08,1344:34,0.0,7.79,0.0,0.0,175:25,139.0,1843.0
0,20182019,Minnesota Wild,National Hockey League,1,14,4,30,82,30,18,0.0,2.0,1.0,-15.0,1684:33,111.0,61.0,1.0,21:57,1489:43,0.0,3.6,0.0,1.0,172:53,135.0,1997.0
0,20192020,Minnesota Wild,National Hockey League,1,26,2,24,69,24,28,0.0,0.0,0.0,15.0,1487:03,103.0,41.0,1.0,26:42,1319:03,0.0,1.9,0.0,2.0,141:18,112.0,1698.0
0,20202021,Minnesota Wild,National Hockey League,1,14,9,18,53,18,23,1.0,2.0,0.0,2.0,1189:01,79.0,35.0,2.0,45:01,1030:50,0.0,11.4,1.0,0.0,113:10,99.0,1278.0
0,20212022,Minnesota Wild,National Hockey League,1,25,5,18,73,18,30,1.0,1.0,0.0,9.0,1711:02,126.0,42.0,7.0,117:56,1407:47,0.0,4.0,0.0,1.0,185:19,126.0,1824.0
