,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Slavia U17,CzR-U17,1,6,7,4,22,4,13,,,,,,,,,,,,,,,,,
0,20082009,Slavia U17,CzR-U17,1,15,16,12,35,12,31,,,,,,,,,,,,,,,,,
0,20092010,Slavia U18,CzR-U18,1,10,13,8,7,8,23,,,,,,,,,,,,,,,,,
0,20092010,Slavia Jr.,CzRep-Jr.,2,26,12,12,42,12,38,,,,,,,,,,,,,,,,,
0,20102011,Slavia U18,CzR-U18,1,6,2,0,4,0,8,,,,,,,,,,,,,,,,,
0,20102011,Slavia Jr.,CzRep-Jr.,2,27,14,49,33,49,41,,,,,,,,,,,,,,,,,
0,20102011,Slavia,CzRep,3,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
0,20112012,Slavia,CzRep,1,13,15,28,50,28,28,,,,,,,,,,,,,,,,,
0,20112012,Czech Republic,WJC-A,3,2,3,0,6,0,5,1.0,1.0,0.0,2.0,,,,,,,,,,,,,
0,20122013,Slavia,CzRep,1,12,18,16,43,16,30,,,,,,,,,,,,,,,,,
0,20122013,Czech Republic,WJC-A,2,3,2,10,6,10,5,1.0,2.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,Czech Republic,WC-A,3,0,0,0,8,0,0,0.0,0.0,0.0,-3.0,,,,,,,,,,,,,
0,20132014,San Jose Sharks,National Hockey League,1,10,15,4,37,4,25,3.0,3.0,0.0,11.0,567:09,98.0,39.0,3.0,76:17,490:40,56.86,15.31,0.0,0.0,00:12,13.0,805.0
0,20132014,Czech Republic,WC-A,3,3,3,4,9,4,6,2.0,0.0,0.0,0.0,,18.0,,,,,,,,,,,
0,20142015,San Jose Sharks,National Hockey League,1,18,13,16,82,16,31,3.0,4.0,0.0,-5.0,1193:18,145.0,106.0,6.0,121:19,1070:58,45.78,8.97,0.0,0.0,01:01,33.0,1696.0
0,20142015,Worcester,AHL,2,2,0,0,2,0,2,0.0,0.0,0.0,1.0,,3.0,,,,,,0.0,,,,,
0,20142015,Czech Republic,WC-A,3,2,1,2,8,2,3,1.0,0.0,0.0,1.0,,10.0,,,,,,,,,,,
0,20152016,San Jose Sharks,National Hockey League,1,25,21,26,81,26,46,3.0,3.0,0.0,16.0,1293:49,202.0,90.0,7.0,131:02,1159:37,56.02,10.4,1.0,0.0,03:10,60.0,1784.0
0,20162017,San Jose Sharks,National Hockey League,1,12,10,14,49,14,22,1.0,4.0,0.0,-8.0,843:58,100.0,76.0,2.0,91:15,693:09,51.69,10.0,0.0,0.0,59:34,42.0,1170.0
0,20172018,San Jose Sharks,National Hockey League,1,24,22,41,79,41,46,6.0,5.0,1.0,-2.0,1430:01,175.0,84.0,12.0,197:12,1113:37,50.78,12.57,1.0,3.0,119:12,71.0,1942.0
0,20182019,San Jose Sharks,National Hockey League,1,39,35,18,77,18,74,11.0,5.0,1.0,5.0,1464:31,176.0,53.0,15.0,220:50,1116:27,51.48,19.89,1.0,2.0,127:14,64.0,1834.0
0,20192020,San Jose Sharks,National Hockey League,1,20,16,16,48,16,36,2.0,1.0,2.0,-18.0,885:22,117.0,29.0,7.0,124:01,691:47,54.81,13.7,0.0,2.0,69:34,25.0,1123.0
0,20202021,San Jose Sharks,National Hockey League,1,24,19,27,50,27,43,4.0,2.0,1.0,1.0,956:47,112.0,39.0,10.0,131:48,740:11,55.23,17.0,0.0,1.0,84:48,39.0,1195.0
0,20212022,San Jose Sharks,National Hockey League,1,34,30,30,82,30,64,6.0,6.0,0.0,-9.0,1635:06,205.0,105.0,16.0,204:34,1304:55,52.46,14.6,3.0,1.0,125:37,57.0,2079.0
0,20212022,Czechia,WC,17015,4,1,12,10,12,5,,,,-1.0,,,,,,,,,,,,,
