,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,faceOffPct,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20052006,Ässät U16,Jr. C SM-sarja Q,10154198,7,9,2,9,2,0.0,16,,,,,,,,,,,,,,,,
0,20062007,Assat U18,Fin-U18,1,24,19,24,29,24,,43,0.0,,,,,,,,,,,,,,,
0,20072008,Assat U18,Fin-U18,1,1,1,0,3,0,,2,0.0,,,,,,,,,,,,,,,
0,20072008,Assat Jr.,Fin-Jr.,2,15,7,26,40,26,,22,0.0,,,,,,,,,,,,,,,
0,20072008,Finland,WJ18-A,3,3,1,2,6,2,,4,0.0,,,,,,,,,,,,,,,
0,20082009,Shat.-St. Mary's,High-MN,1,58,26,46,53,46,,84,0.0,,,,,,,,,,,,,,,
0,20082009,Finland,WJ18-A,2,1,3,2,6,2,,4,0.0,,,,,,,,,,,,,,,
0,20092010,Omaha,USHL,1,44,28,59,56,59,,72,0.0,,,,,,,,,,,,,,,
0,20102011,U. of Minnesota,WCHA,1,18,6,22,34,22,,24,,2.0,1.0,1.0,,,,,,,,,,,,
0,20102011,Finland,WJC-A,3,3,4,10,6,10,2.0,7,,1.0,0.0,2.0,,,,,,,,,,,,
0,20112012,U. of Minnesota,WCHA,1,29,20,30,43,30,,49,,8.0,4.0,1.0,,,,,,,,,,,,
0,20122013,U. of Minnesota,WCHA,1,35,16,14,37,14,,51,,3.0,2.0,1.0,,,,,,,,,,,,
0,20122013,Houston,AHL,2,2,0,2,6,2,1.0,2,,0.0,0.0,0.0,12.0,0.0,,,,,,,,,,
0,20132014,Minnesota Wild,National Hockey League,1,9,6,29,46,29,14.0,15,46.26,0.0,1.0,1.0,56.0,10.71,466:44,23.0,0.0,04:48,410:54,0.0,1.0,51:02,17.0,767.0
0,20132014,Iowa,AHL,2,13,14,14,31,14,2.0,27,,5.0,3.0,0.0,80.0,17.5,,,,,,,,,,
0,20132014,Finland,WC-A,3,1,0,2,6,2,-2.0,1,,0.0,0.0,0.0,10.0,,,,,,,,,,,
0,20142015,Minnesota Wild,National Hockey League,1,7,7,32,72,32,-7.0,14,45.38,1.0,1.0,0.0,92.0,7.61,874:50,31.0,1.0,05:35,715:28,0.0,1.0,153:47,42.0,1267.0
0,20152016,Minnesota Wild,National Hockey League,1,20,14,24,76,24,21.0,34,53.27,0.0,2.0,2.0,99.0,14.14,967:16,57.0,1.0,06:34,828:03,0.0,4.0,132:39,55.0,1418.0
0,20162017,Minnesota Wild,National Hockey League,1,11,15,28,72,28,5.0,26,53.87,1.0,4.0,0.0,134.0,11.19,994:33,39.0,1.0,14:31,902:52,0.0,0.0,77:10,38.0,1389.0
0,20162017,Finland,WCup,17116,0,0,0,1,0,-1.0,0,,,,,,,,,,,,,,,,
0,20172018,Vegas Golden Knights,National Hockey League,1,26,29,37,76,37,-16.0,55,50.52,11.0,4.0,0.0,175.0,16.57,1320:24,85.0,19.0,181:01,1098:54,0.0,0.0,40:29,42.0,1530.0
0,20182019,Vegas Golden Knights,National Hockey League,1,5,2,10,15,10,1.0,7,51.32,0.0,0.0,0.0,26.0,7.69,248:49,11.0,1.0,35:24,211:10,0.0,0.0,02:15,6.0,289.0
0,20192020,Carolina Hurricanes,National Hockey League,1,10,12,20,41,20,1.0,22,53.88,4.0,2.0,0.0,78.0,15.4,650:08,18.0,8.0,104:38,518:33,0.0,0.0,26:57,11.0,814.0
0,20192020,Florida Panthers,National Hockey League,2,2,0,2,7,2,0.0,2,55.81,0.0,0.0,0.0,14.0,0.0,109:44,9.0,0.0,05:45,94:02,0.0,0.0,09:57,4.0,159.0
0,20202021,Nashville Predators,National Hockey League,1,12,9,14,51,14,4.0,21,55.1,1.0,2.0,2.0,85.0,10.6,816:09,63.0,3.0,75:47,638:42,1.0,2.0,101:40,23.0,1055.0
0,20212022,Boston Bruins,National Hockey League,1,26,18,47,78,47,19.0,44,53.85,2.0,3.0,0.0,141.0,12.8,1177:17,129.0,4.0,74:25,1044:33,0.0,0.0,58:19,36.0,1522.0
