,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Yellowhead,MMHL,1,24,15,14,44,14,39,,,,,,,,,,,,,,,,,
0,20122013,Yellowhead,MMHL,1,23,12,44,43,44,35,,,,,,,,,,,,,,,,,
0,20132014,Calgary,WHL,1,24,5,14,67,14,29,1.0,0.0,0.0,25.0,,,,,,,,,,,,,
0,20132014,Canada,WJ18-A,2,6,0,0,7,0,6,0.0,0.0,0.0,5.0,10.0,,,,,,,,,,,,
0,20142015,Calgary,WHL,1,50,15,52,67,52,65,6.0,1.0,1.0,27.0,,,,,,,,,,,,,
0,20152016,Calgary,WHL,1,53,15,66,52,66,68,8.0,,1.0,15.0,,,,,,,,,,,,,
0,20152016,Lehigh Valley,AHL,2,2,1,0,4,0,3,0.0,0.0,0.0,0.0,3.0,33.3,,,,,,,,,,,
0,20152016,Canada,WJC-A,3,1,0,0,5,0,1,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,
0,20152016,Calgary Hitmen,WHL,6781,53,15,66,52,66,68,,,,15.0,,,,,,,,,,,,,
0,20152016,Canada U20,WJC-20,17216,1,0,0,5,0,1,,,,0.0,,,,,,,,,,,,,
0,20152016,Lehigh Valley Phantoms,AHL,173347,2,1,0,4,0,3,,,,0.0,,,,,,,,,,,,,
0,20162017,Lehigh Valley Phantoms,AHL,173347,27,10,46,76,46,37,,,,7.0,,,,,,,,,,,,,
0,20172018,Philadelphia Flyers,National Hockey League,1,8,2,20,49,20,10,0.0,0.0,0.0,-6.0,72.0,2.78,763:35,27.0,0.0,13:54,729:53,0.0,0.0,0.0,19:48,35.0,1002.0
0,20172018,Lehigh Valley Phantoms,AHL,173347,15,1,10,18,10,16,,,,14.0,,,,,,,,,,,,,
0,20182019,Philadelphia Flyers,National Hockey League,1,26,9,22,82,22,35,2.0,2.0,0.0,-4.0,121.0,7.44,1603:48,45.0,5.0,84:21,1470:24,0.0,1.0,0.0,49:03,133.0,2011.0
0,20192020,Philadelphia Flyers,National Hockey League,1,17,8,32,69,32,25,0.0,0.0,0.0,4.0,110.0,7.3,1390:38,41.0,4.0,62:33,1203:24,0.0,0.0,0.0,124:41,79.0,1875.0
0,20202021,Philadelphia Flyers,National Hockey League,1,12,3,23,55,23,15,0.0,1.0,0.0,-22.0,100.0,3.0,1203:45,48.0,0.0,30:22,1057:00,0.0,1.0,0.0,116:23,73.0,1596.0
0,20212022,Philadelphia Flyers,National Hockey League,1,24,7,34,80,34,31,0.0,1.0,0.0,9.0,123.0,5.7,1837:36,64.0,0.0,54:11,1611:52,0.0,1.0,0.0,171:33,142.0,2278.0
0,20212022,Canada,WC,17155,3,1,0,10,0,4,,,,7.0,,,,,,,,,,,,,
