,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,faceOffPct,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20062007,New York Apple Core,EmJHL,86930,7,6,45,20,45,0.0,13,,,,,,,,,,,,,,,,
0,20072008,NY Apple Core,EmJHL,1,10,4,32,12,32,,14,0.0,,,,,,,,,,,,,,,
0,20072008,NY Apple Core,EJHL,2,6,2,28,17,28,,8,0.0,,,,,,,,,,,,,,,
0,20082009,NY Apple Core,EJHL,1,9,2,50,30,50,,11,0.0,,,,,,,,,,,,,,,
0,20082009,Indiana,USHL,2,3,1,29,24,29,7.0,4,,0.0,0.0,0.0,,,,,,,,,,,,
0,20092010,Indiana,USHL,1,29,11,99,58,99,,40,0.0,,,,,,,,,,,,,,,
0,20102011,Northeastern,H-East,1,17,3,66,38,66,,20,,3.0,0.0,0.0,,,,,,,,,,,,
0,20112012,Northeastern,H-East,1,11,4,34,34,34,,15,,2.0,0.0,0.0,,,,,,,,,,,,
0,20122013,Cincinnati,ECHL,1,2,1,16,23,16,-5.0,3,,0.0,,0.0,,,,,,,,,,,,
0,20122013,Milwaukee,AHL,2,5,1,35,34,35,-1.0,6,,1.0,0.0,0.0,24.0,4.17,,,,,,,,,,
0,20132014,Milwaukee,AHL,1,25,11,85,73,85,-13.0,36,,6.0,2.0,0.0,95.0,11.6,,,,,,,,,,
0,20142015,Nashville Predators,National Hockey League,1,0,0,7,7,7,-1.0,0,100.0,0.0,0.0,0.0,2.0,0.0,82:27,9.0,0.0,00:15,81:58,0.0,0.0,00:14,3.0,106.0
0,20142015,Milwaukee,AHL,2,26,4,96,70,96,-1.0,30,,0.0,1.0,0.0,108.0,3.7,,,,,,,,,,
0,20152016,Nashville Predators,National Hockey League,1,5,1,19,28,19,0.0,6,0.0,0.0,0.0,0.0,19.0,5.26,339:45,62.0,0.0,02:09,336:11,0.0,0.0,01:25,41.0,472.0
0,20152016,Milwaukee,AHL,2,3,1,27,6,27,-1.0,4,,0.0,1.0,0.0,15.0,6.7,,,,,,,,,,
0,20152016,Milwaukee Admirals,AHL,1017,3,1,27,6,27,-1.0,4,,,,,,,,,,,,,,,,
0,20162017,Nashville Predators,National Hockey League,1,7,0,25,29,25,-1.0,7,0.0,0.0,0.0,0.0,17.0,0.0,342:18,43.0,0.0,05:41,328:42,0.0,0.0,07:55,24.0,513.0
0,20162017,Milwaukee Admirals,AHL,1017,2,1,0,3,0,1.0,3,,,,,,,,,,,,,,,,
0,20172018,Nashville Predators,National Hockey League,1,2,1,27,32,27,-1.0,3,0.0,0.0,1.0,0.0,25.0,4.0,430:04,40.0,0.0,01:48,422:48,0.0,0.0,05:28,31.0,596.0
0,20182019,Nashville Predators,National Hockey League,1,3,0,8,18,8,1.0,3,0.0,0.0,0.0,0.0,15.0,0.0,192:00,40.0,0.0,00:01,188:49,0.0,0.0,03:10,23.0,277.0
0,20182019,Minnesota Wild,National Hockey League,2,0,0,4,18,4,-8.0,0,0.0,0.0,0.0,0.0,15.0,0.0,237:18,40.0,0.0,01:16,235:03,0.0,0.0,00:59,13.0,286.0
0,20192020,Winnipeg Jets,National Hockey League,1,8,0,32,51,32,3.0,8,0.0,0.0,0.0,0.0,54.0,0.0,773:13,145.0,0.0,02:53,658:57,0.0,1.0,111:23,50.0,986.0
0,20202021,New York Rangers,National Hockey League,1,3,1,20,14,20,-8.0,4,0.0,0.0,0.0,0.0,12.0,8.3,202:10,21.0,1.0,04:46,189:06,0.0,0.0,08:18,10.0,278.0
0,20202021,Hartford Wolf Pack,AHL,847,0,0,0,2,0,0.0,0,,,,,,,,,,,,,,,,
0,20212022,Hartford Wolf Pack,AHL,847,11,4,26,39,26,-11.0,15,,,,,,,,,,,,,,,,
0,20212022,San Jose Barracuda,AHL,187427,0,2,28,14,28,-7.0,2,,,,,,,,,,,,,,,,
