,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20122013,BC Junior Canucks,Brick Invitational,128856,3,5,2,6,2,8,
0,20172018,Yale Hockey Academy U18 Prep,CSSHL U18,178286,0,3,0,3,0,3,
0,20172018,Yale Hockey Academy U15 Prep,CSSHL U15,212063,33,57,6,30,6,90,
0,20172018,Pacific Selects U15,WSI U15,259830,6,8,2,8,2,14,
0,20182019,Kamloops Blazers,WHL,8271,1,0,2,7,2,1,-3.0
0,20182019,Thompson Blazers U18 AAA,BCEHL U18,56139,52,49,36,38,36,101,
0,20182019,Team British Columbia,CWG,90795,7,6,2,7,2,13,
0,20192020,Kamloops Blazers,WHL,8271,19,29,10,59,10,48,25.0
0,20192020,Canada Red U17,WHC-17,163770,0,4,2,5,2,4,
0,20202021,Kamloops Blazers,WHL,8271,3,7,0,6,0,10,1.0
0,20202021,Canada U18,WJC-18,17193,4,4,0,7,0,8,14.0
0,20212022,Kamloops Blazers,WHL,8271,59,45,16,59,16,104,46.0
0,20212022,Canada U20,WJC-20,17216,6,4,2,7,2,10,8.0
