,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Little Caesars Bantam Minor AAA,T1EMBHL,142440,0,0,0,7,0,0.0,0,,,,,,,,,,,,,,,,
0,20112012,Honeybaked Bantam Minor AAA,HPMBHL,148516,7,12,14,15,14,0.0,19,,,,,,,,,,,,,,,,
0,20122013,Compuware U16,Midget,96651,24,11,0,63,0,47.0,35,,,,,,,,,,,,,,,,
0,20132014,Mississauga,OHL,1,10,6,34,60,34,-35.0,16,1.0,3.0,0.0,,,,,,,,,,,,,
0,20142015,Mississauga,OHL,1,26,10,62,61,62,-27.0,36,4.0,0.0,0.0,,,,,,,,,,,,,
0,20152016,Mississauga,OHL,1,16,6,27,57,27,-13.0,22,1.0,1.0,1.0,130.0,4.6,,,,,,,,,,,
0,20152016,Mississauga Steelheads,OHL,126668,16,6,27,57,27,-13.0,22,,,,,,,,,,,,,,,,
0,20152016,Team Red,U18-Dev,178681,0,0,2,3,2,,0,,,,,,,,,,,,,,,,
0,20162017,Windsor Spitfires,M-Cup,9291,1,0,2,4,2,3.0,1,,,,,,,,,,,,,,,,
0,20162017,Windsor Spitfires,OHL,9508,20,12,20,58,20,11.0,32,,,,,,,,,,,,,,,,
0,20162017,Mississauga Steelheads,OHL,126668,2,3,4,5,4,4.0,5,,,,,,,,,,,,,,,,
0,20172018,Kingston Frontenacs,OHL,9408,25,1,4,23,4,-11.0,26,,,,,,,,,,,,,,,,
0,20172018,Windsor Spitfires,OHL,9508,17,4,8,27,8,1.0,21,,,,,,,,,,,,,,,,
0,20182019,Hartford Wolf Pack,AHL,847,11,3,8,46,8,-23.0,14,,,,,,,,,,,,,,,,
0,20182019,Maine Mariners,ECHL,251095,11,4,6,19,6,4.0,15,,,,,,,,,,,,,,,,
0,20192020,Hartford Wolf Pack,AHL,847,3,1,13,16,13,-1.0,4,,,,,,,,,,,,,,,,
0,20192020,Maine Mariners,ECHL,251095,15,5,27,36,27,12.0,20,,,,,,,,,,,,,,,,
0,20202021,Syracuse Crunch,AHL,1057,12,3,38,29,38,3.0,15,,,,,,,,,,,,,,,,
0,20212022,Tampa Bay Lightning,National Hockey League,1,0,0,0,2,0,-2.0,0,0.0,0.0,0.0,2.0,0.0,21:25,4.0,0.0,00:00,21:06,0.0,0.0,0.0,00:19,2.0,33.0
0,20212022,Syracuse Crunch,AHL,1057,32,8,31,69,31,8.0,40,,,,,,,,,,,,,,,,
