,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20132014,Colorado Thunderbirds  U16,T1EHL U16,96518,12,2,19,33,19,0,14,,,,,,,,,,,,,,,,
0,20142015,Colorado Thunderbirds  U16,T1EHL U16,96518,11,4,42,23,42,0,15,,,,,,,,,,,,,,,,
0,20152016,Kelowna Rockets,WHL,5531,28,8,36,71,36,16,36,,,,,,,,,,,,,,,,
0,20162017,Kelowna Rockets,WHL,5531,51,6,41,71,41,39,57,,,,,,,,,,,,,,,,
0,20172018,Syracuse Crunch,AHL,1057,0,1,4,6,4,0,1,,,,,,,,,,,,,,,,
0,20172018,Kelowna Rockets,WHL,5531,51,19,46,60,46,31,70,,,,,,,,,,,,,,,,
0,20172018,Canada U20,WJC-20,17216,3,0,0,7,0,5,3,,,,,,,,,,,,,,,,
0,20182019,Syracuse Crunch,AHL,1057,21,10,53,76,53,16,31,,,,,,,,,,,,,,,,
0,20192020,Syracuse Crunch,AHL,1057,22,6,38,62,38,-5,28,,,,,,,,,,,,,,,,
0,20202021,Tampa Bay Lightning,National Hockey League,1,2,1,29,35,29,9,3,451:07,40.0,39.0,0.0,0.0,00:59,433:42,0.0,2.5,0.0,0.0,0.0,0.0,16:26,29.0,595.0
0,20202021,Syracuse Crunch,AHL,1057,3,1,4,6,4,1,4,,,,,,,,,,,,,,,,
0,20212022,Tampa Bay Lightning,National Hockey League,1,7,2,29,56,29,6,9,735:03,49.0,83.0,0.0,0.0,01:02,722:31,0.0,4.1,0.0,0.0,0.0,0.0,11:30,57.0,938.0
0,20212022,Syracuse Crunch,AHL,1057,0,0,0,5,0,-5,0,,,,,,,,,,,,,,,,
