,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Cambridge,Minor-ON,1,14,4,12,30,12,18,,,,,,,,,,,,,,,,,
0,20102011,Camb. Hawks Mid.,Minor-ON,1,8,3,38,19,38,11,,,,,,,,,,,,,,,,,
0,20102011,Brantford,ON-Jr.B,2,13,1,22,37,22,14,0.0,0.0,0.0,,,,,,,,,,,,,,
0,20112012,Brantford,ON-Jr.B,1,22,14,65,51,65,36,2.0,3.0,0.0,,,,,,,,,,,,,,
0,20122013,Caledonia,ON-Jr.B,1,49,18,94,49,94,67,6.0,1.0,1.0,,,,,,,,,,,,,,
0,20132014,Waterloo,USHL,1,48,14,36,60,36,62,7.0,3.0,0.0,191.0,7.3,35.0,,,,,,,,,,,
0,20142015,Massachusetts,H-East,1,17,3,30,21,30,20,1.0,0.0,1.0,,,,,,,,,,,,,,
0,20142015,Norfolk,AHL,2,9,1,8,14,8,10,0.0,0.0,0.0,26.0,3.8,10.0,,,,,,,,,,,
0,20152016,San Diego,AHL,1,45,12,42,68,42,57,6.0,3.0,0.0,165.0,7.3,0.0,,,,,,,,,,,
0,20152016,San Diego Gulls,AHL,85177,45,12,42,68,42,57,,,,,,0.0,,,,,,,,,,,
0,20162017,Anaheim Ducks,National Hockey League,1,4,2,14,27,14,6,0.0,0.0,0.0,50.0,4.0,11.0,469:17,21.0,1.0,51:05,410:42,0.0,0.0,0.0,07:30,24.0,537.0
0,20162017,San Diego Gulls,AHL,85177,19,13,34,36,34,32,,,,,,17.0,,,,,,,,,,,
0,20172018,Anaheim Ducks,National Hockey League,1,23,9,42,80,42,32,5.0,5.0,1.0,160.0,5.63,16.0,1637:35,96.0,12.0,179:55,1361:12,0.0,0.0,2.0,96:28,83.0,1811.0
0,20182019,Anaheim Ducks,National Hockey League,1,20,5,40,62,40,25,0.0,2.0,0.0,126.0,3.97,-16.0,1405:23,67.0,3.0,121:11,1163:19,0.0,0.0,0.0,120:53,93.0,1761.0
0,20182019,Buffalo Sabres,National Hockey League,2,7,3,16,20,16,10,1.0,0.0,0.0,55.0,5.45,-4.0,435:24,32.0,3.0,27:41,391:53,0.0,0.0,0.0,15:50,28.0,491.0
0,20182019,Canada,WC,17155,0,0,0,3,0,0,,,,,,-1.0,,,,,,,,,,,
0,20192020,Buffalo Sabres,National Hockey League,1,13,5,28,54,28,18,0.0,0.0,0.0,86.0,5.8,13.0,1052:55,60.0,2.0,35:38,955:05,0.0,0.0,0.0,62:12,53.0,1216.0
0,20202021,Buffalo Sabres,National Hockey League,1,9,5,24,38,24,14,0.0,0.0,2.0,72.0,6.9,-13.0,780:27,35.0,1.0,07:05,704:51,0.0,0.0,2.0,68:31,53.0,879.0
0,20202021,Florida Panthers,National Hockey League,2,2,2,16,12,16,4,0.0,0.0,0.0,22.0,9.1,8.0,243:51,19.0,0.0,19:09,206:10,0.0,0.0,0.0,18:32,9.0,311.0
0,20212022,Florida Panthers,National Hockey League,1,26,11,48,81,48,37,1.0,1.0,0.0,153.0,7.2,15.0,1449:51,64.0,8.0,111:08,1288:52,0.0,1.0,0.0,49:51,65.0,1912.0
