,season,team,league,sequenceNumber,timeOnIce,shutouts,goalAgainstAverage,games,goalsAgainst,ties,wins,losses,saves,savePercentage,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20102011,Tor. Jr. Canadiens,GTHL,1,2250:00,5.0,2.27,50,115.0,,,,,,,,,,,,,,,,,
0,20112012,St. Michael's,OHL,1,753:00,0.0,3.98,15,50.0,1.0,2.0,7.0,385.0,0.885,435.0,,,,,,,,,,,
0,20122013,Mississauga,OHL,1,2504:00,0.0,3.02,46,126.0,4.0,17.0,21.0,1214.0,0.90597,1340.0,,,,,,,,,,,
0,20132014,Mississauga,OHL,1,3562:00,3.0,3.54,64,210.0,1.0,24.0,33.0,1863.0,0.898698,2073.0,,,,,,,,,,,
0,20142015,Mississauga,OHL,1,1713:00,1.0,2.98,31,85.0,1.0,15.0,13.0,990.0,0.92093,1075.0,,,,,,,,,,,
0,20142015,Mississauga Steelheads,OHL,126668,,,2.98,31,,,,,,0.921,,,,,,,,,,,,
0,20152016,Canada,WJ18-A,3,120:00,0.0,1.0,2,2.0,0.0,2.0,0.0,,,34.0,,,,,,,,,,,
0,20152016,Fort Wayne Komets,ECHL,6335,,,3.23,20,,,,,,0.878,,,,,,,,,,,,
0,20152016,San Antonio Rampage,AHL,8497,,,2.65,18,,,,,,0.921,,,,,,,,,,,,
0,20162017,Colorado Avalanche,National Hockey League,1,179:26,0.0,4.347018,3,13.0,,0.0,2.0,83.0,0.864583,96.0,1.0,13.0,2.0,68.0,2.0,79.0,15.0,3.0,86.66666666666667,100.0,86.07594936708861
0,20162017,San Antonio Rampage,AHL,8497,,,2.9,50,,,,,,0.904,,,,,,,,,,,,
0,20172018,San Antonio Rampage,AHL,8497,,,3.1,34,,,,,,0.893,,,,,,,,,,,,
0,20182019,Colorado Eagles,AHL,8957,,,3.4,23,,,,,,0.902,,,,,,,,,,,,
0,20192020,Syracuse Crunch,AHL,1057,,,3.0,33,,,,,,0.897,,,,,,,,,,,,
0,20192020,Orlando Solar Bears,ECHL,113515,,,3.12,4,,,,,,0.915,,,,,,,,,,,,
0,20202021,Syracuse Crunch,AHL,1057,,,2.83,15,,,,,,0.907,,,,,,,,,,,,
0,20212022,Vancouver Canucks,National Hockey League,1,378:21,0.0,1.74442,6,11.0,0.0,3.0,0.0,207.0,0.95,218.0,3.0,38.0,3.0,166.0,3.0,175.0,40.0,6.0,95.0,100.0,94.85714285714286
0,20212022,Abbotsford Canucks,AHL,33767,,,2.43,25,,,,,,0.914,,,,,,,,,,,,
