,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20152016,Russia U18,WJC-18,17523,0,3,4,5,4,1.0,3
0,20152016,Russia U17,WHC-17,61290,0,0,0,6,0,,0
0,20152016,Irbis Kazan,MHL,102792,6,5,4,30,4,-1.0,11
0,20162017,Russia U18,WJC-18,17523,0,0,0,7,0,0.0,0
0,20162017,Russia U18 |WJAC-19|,WJAC-19,87382,0,0,0,4,0,,0
0,20162017,Irbis Kazan,MHL,102792,10,5,16,37,16,5.0,15
0,20162017,Russia U18,Hlinka Gretzky Cup,158300,1,1,2,5,2,2.0,2
0,20172018,Bars Kazan,VHL,50157,6,5,12,33,12,1.0,11
0,20172018,Irbis Kazan,MHL,102792,2,3,8,6,8,4.0,5
0,20182019,Bars Kazan,VHL,50157,8,14,14,36,14,10.0,22
0,20182019,Irbis Kazan,MHL,102792,1,1,2,4,2,1.0,2
0,20192020,Ak Bars Kazan,KHL,2284,1,0,0,7,0,-1.0,1
0,20192020,Bars Kazan,VHL,50157,17,23,14,35,14,11.0,40
0,20202021,Ak Bars Kazan,KHL,2284,1,0,0,7,0,2.0,1
0,20202021,Bars Kazan,VHL,50157,13,8,24,37,24,9.0,21
0,20202021,Henderson Silver Knights,AHL,307807,1,0,2,7,2,-1.0,1
0,20212022,Henderson Silver Knights,AHL,307807,13,6,22,54,22,0.0,19
