,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Belmont Hill,High-MA,1,18,2,30,31,30,20,,,,,,,,,,,,,,,,,
0,20102011,USNTDP,USHL,1,9,1,28,36,28,10,43.0,0.0,2.33,1.0,0.0,6.0,,,,,,,,,,,
0,20102011,USNTDP,U-17,2,7,1,10,17,10,8,,,,,,,,,,,,,,,,,
0,20112012,USNTDP,USHL,1,10,1,6,24,6,11,29.0,0.0,3.45,0.0,0.0,8.0,,,,,,,,,,,
0,20112012,USNTDP,U-18,2,19,2,16,36,16,21,,,,,,,,,,,,,,,,,
0,20112012,U.S.A.,WJ18-A,3,0,1,2,6,2,1,,1.0,,0.0,0.0,5.0,,,,,,,,,,,
0,20122013,Boston University,H-East,1,20,3,26,38,26,23,,0.0,,1.0,0.0,,,,,,,,,,,,
0,20132014,Boston University,H-East,1,8,3,16,19,16,11,,2.0,,1.0,0.0,,,,,,,,,,,,
0,20132014,U.S.A.,WJC-A,2,4,2,2,5,2,6,19.0,1.0,,1.0,0.0,1.0,,,,,,,,,,,
0,20142015,Boston University,H-East,1,28,10,36,41,36,38,,5.0,,3.0,1.0,,,,,,,,,,,,
0,20152016,Boston University,H-East,1,13,10,36,27,36,23,70.0,4.0,,1.0,0.0,17.0,,,,,,,,,,,
0,20152016,Boston Univ.,NCAA,6890,13,10,36,27,36,23,,,,,,17.0,,,,,,,,,,,
0,20162017,Boston Bruins,National Hockey League,1,0,0,2,2,2,0,4.0,0.0,0.0,0.0,0.0,0.0,24:58,0.0,0.0,03:20,21:38,0.0,0.0,0.0,00:00,1.0,44.0
0,20162017,Providence Bruins,AHL,897,26,6,18,70,18,32,,,,,,13.0,,,,,,,,,,,
0,20172018,Boston Bruins,National Hockey League,1,12,3,22,61,22,15,82.0,0.0,3.66,0.0,0.0,21.0,1021:11,45.0,2.0,67:50,949:22,0.0,0.0,0.0,03:59,42.0,1391.0
0,20172018,Providence Bruins,AHL,897,4,0,14,14,14,4,,,,,,4.0,,,,,,,,,,,
0,20182019,Boston Bruins,National Hockey League,1,15,3,68,66,68,18,90.0,1.0,3.33,0.0,0.0,9.0,1262:39,46.0,6.0,103:16,1111:54,0.0,0.0,0.0,47:29,60.0,1652.0
0,20192020,Boston Bruins,National Hockey League,1,17,4,34,68,34,21,112.0,1.0,3.6,1.0,0.0,15.0,1227:59,56.0,7.0,105:02,1053:48,0.0,0.0,1.0,69:09,67.0,1643.0
0,20202021,Boston Bruins,National Hockey League,1,15,5,22,37,22,20,80.0,1.0,6.3,1.0,0.0,11.0,730:31,19.0,7.0,101:03,616:53,0.0,0.0,0.0,12:35,34.0,951.0
0,20212022,Boston Bruins,National Hockey League,1,20,4,24,73,24,24,118.0,0.0,3.4,2.0,0.0,22.0,1367:05,40.0,5.0,103:15,1251:13,0.0,1.0,0.0,12:37,83.0,1842.0
