,season,team,league,sequenceNumber,assists,goals,games,faceOffPct,points,pim,powerPlayGoals,penaltyMinutes,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20042005,Madison Lancers,High-WI,1,24,16,20,0.0,40,,,,,,,,,,,,,,,,,,
0,20052006,Madison Lancers,High-WI,1,26,35,20,0.0,61,,,,,,,,,,,,,,,,,,
0,20062007,Waterloo,USHL,1,10,8,45,0.0,18,28.0,2.0,28,2.0,0.0,6.0,,,,,,,,,,,,
0,20072008,Waterloo,USHL,1,10,13,58,,23,90.0,2.0,90,3.0,0.0,-3.0,,,,,,,,,,,,
0,20082009,Waterloo,USHL,1,48,28,54,,76,108.0,11.0,108,4.0,0.0,32.0,,,,,,,,,,,,
0,20092010,U. Of Wisconsin,WCHA,1,25,8,41,,33,72.0,,72,,,,,,,,,,,,,,,
0,20102011,U. of Wisconsin,WCHA,1,24,19,41,,43,87.0,8.0,87,5.0,1.0,,,,,,,,,,,,,
0,20102011,U.S.A.,WC-A,2,3,3,7,,6,4.0,2.0,4,0.0,0.0,2.0,,,,,,,,,,,,
0,20112012,Nashville Predators,National Hockey League,1,22,14,72,44.02,36,30.0,6.0,30,1.0,0.0,-9.0,1021:30,172.0,44.0,13.0,154:06,865:50,8.14,0.0,0.0,01:34,17.0,1343.0
0,20112012,U.S.A.,WC-A,2,2,0,4,,2,2.0,0.0,2,0.0,0.0,1.0,,,,,,,,,,,,
0,20122013,Nashville Predators,National Hockey League,1,8,4,44,39.5,12,20.0,2.0,20,0.0,0.0,-11.0,609:42,83.0,39.0,7.0,83:28,526:13,4.82,0.0,0.0,00:01,13.0,807.0
0,20122013,U.S.A.,WC-A,2,10,4,10,,14,18.0,1.0,18,1.0,0.0,5.0,,,,,,,,,,,,
0,20122013,KalPa,Finland,3,4,4,8,,8,20.0,,20,,,,,,,,,,,,,,,
0,20122013,Milwaukee,AHL,4,4,1,4,,5,0.0,1.0,0,1.0,0.0,1.0,,18.0,,,,,5.56,,,,,
0,20132014,Nashville Predators,National Hockey League,1,28,24,79,15.79,52,22.0,7.0,22,4.0,0.0,16.0,1295:33,215.0,54.0,10.0,162:12,1131:39,11.16,1.0,0.0,01:42,21.0,1698.0
0,20132014,U.S.A.,WC-A,2,4,3,7,,7,10.0,2.0,10,0.0,0.0,1.0,,33.0,,,,,,,,,,
0,20142015,Nashville Predators,National Hockey League,1,21,23,82,40.0,44,44.0,6.0,44,4.0,0.0,11.0,1290:43,252.0,77.0,9.0,202:10,1087:40,9.13,1.0,0.0,00:53,17.0,1719.0
0,20152016,Nashville Predators,National Hockey League,1,16,21,82,33.04,37,40.0,2.0,40,6.0,0.0,4.0,1245:09,199.0,84.0,5.0,174:09,1068:18,10.55,0.0,0.0,02:42,18.0,1704.0
0,20162017,Nashville Predators,National Hockey League,1,17,12,78,45.95,29,30.0,2.0,30,1.0,0.0,7.0,1078:12,155.0,93.0,3.0,86:05,990:51,7.74,0.0,0.0,01:16,16.0,1505.0
0,20172018,Nashville Predators,National Hockey League,1,26,25,79,42.55,51,24.0,9.0,24,2.0,0.0,20.0,1215:09,229.0,60.0,14.0,185:00,1029:31,10.92,0.0,0.0,00:38,35.0,1623.0
0,20182019,Nashville Predators,National Hockey League,1,17,21,76,48.15,38,20.0,4.0,20,2.0,0.0,11.0,1149:34,205.0,77.0,8.0,190:50,958:00,10.24,0.0,0.0,00:44,33.0,1545.0
0,20192020,Nashville Predators,National Hockey League,1,13,18,69,48.28,31,34.0,4.0,34,2.0,0.0,18.0,926:18,184.0,60.0,7.0,158:27,767:14,9.8,0.0,0.0,00:37,19.0,1221.0
0,20202021,Boston Bruins,National Hockey League,1,19,13,54,43.48,32,18.0,4.0,18,4.0,0.0,21.0,803:15,132.0,66.0,6.0,82:23,720:21,9.8,1.0,0.0,00:31,8.0,1042.0
0,20212022,Boston Bruins,National Hockey League,1,20,16,74,33.33,36,28.0,0.0,28,1.0,0.0,2.0,1067:18,187.0,95.0,4.0,115:13,950:18,8.6,0.0,0.0,01:47,28.0,1404.0
