,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Jonstorp U18,Swe-U18,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
0,20092010,Jonstorp U18,Swe-U18,1,4,3,8,15,8,7,,,,,,,,,,,,,,,,,
0,20092010,Jonstorp Jr.,Swe-Jr.,2,2,1,0,3,0,3,,,,,,,,,,,,,,,,,
0,20102011,Rogle U18,Swe-U18,1,3,2,10,11,10,5,,,,,,,,,,,,,,,,,
0,20102011,Rogle Jr.,Swe-Jr.,2,4,0,34,39,34,4,,,,,,,,,,,,,,,,,
0,20112012,Rogle U18,Swe-U18,1,3,1,2,1,2,4,,,,,,,,,,,,,,,,,
0,20112012,Rogle Jr.,Swe-Jr.,2,12,5,16,28,16,17,,,,,,,,,,,,,,,,,
0,20112012,Rogle,Sweden-2,3,7,2,18,36,18,9,,,,,,,,,,,,,,,,,
0,20112012,Sweden,WJ18-A,4,4,0,4,6,4,4,0.0,0.0,0.0,-1.0,,,,,,,,,,,,,
0,20122013,Norfolk,AHL,1,10,1,16,44,16,11,0.0,0.0,0.0,5.0,66.0,1.52,,,,,,,,,,,
0,20132014,Anaheim Ducks,National Hockey League,1,24,6,36,78,36,30,1.0,1.0,0.0,29.0,116.0,5.17,1515:40,54.0,4.0,163:12,1320:48,0.0,0.0,0.0,31:40,61.0,1921.0
0,20142015,Anaheim Ducks,National Hockey League,1,27,7,32,78,32,34,0.0,1.0,0.0,25.0,107.0,6.54,1697:18,59.0,6.0,126:27,1418:11,0.0,0.0,0.0,152:40,77.0,2053.0
0,20152016,Anaheim Ducks,National Hockey League,1,18,10,40,80,40,28,4.0,1.0,1.0,7.0,149.0,6.71,1760:09,68.0,15.0,162:44,1424:20,0.0,0.0,1.0,173:05,115.0,2100.0
0,20162017,Anaheim Ducks,National Hockey League,1,14,6,36,66,36,20,1.0,2.0,0.0,13.0,94.0,6.38,1481:40,98.0,5.0,123:25,1197:59,100.0,0.0,0.0,160:16,94.0,1786.0
0,20172018,Anaheim Ducks,National Hockey League,1,18,13,34,69,34,31,3.0,3.0,0.0,16.0,131.0,9.92,1569:03,93.0,8.0,122:06,1282:53,0.0,2.0,0.0,164:04,97.0,1795.0
0,20172018,Sweden,WC,6815,6,0,4,10,4,6,,,,6.0,,,,,,,,,,,,,
0,20182019,Anaheim Ducks,National Hockey League,1,22,6,44,76,44,28,1.0,0.0,0.0,-5.0,125.0,4.8,1823:36,81.0,6.0,92:50,1496:33,0.0,0.0,1.0,234:13,133.0,2281.0
0,20192020,Anaheim Ducks,National Hockey League,1,21,2,34,56,34,23,1.0,1.0,0.0,-10.0,109.0,1.8,1268:43,34.0,8.0,100:08,1022:32,0.0,0.0,2.0,146:03,71.0,1590.0
0,20202021,Anaheim Ducks,National Hockey League,1,4,2,16,18,16,6,0.0,0.0,0.0,-1.0,29.0,6.9,396:32,9.0,1.0,14:19,350:53,0.0,0.0,0.0,31:20,19.0,479.0
0,20212022,Anaheim Ducks,National Hockey League,1,17,5,42,61,42,22,1.0,1.0,0.0,0.0,119.0,4.2,1374:58,55.0,4.0,47:34,1204:40,0.0,0.0,1.0,122:44,77.0,1558.0
0,20212022,Boston Bruins,National Hockey League,2,5,0,4,10,4,5,0.0,0.0,0.0,10.0,23.0,0.0,222:53,15.0,1.0,20:55,180:42,0.0,0.0,0.0,21:16,15.0,256.0
