,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20122013,Omskie Yastreby,MHL,49418,18,13,2,52,2,28,31,,,,,,,,,,,,,,,,
0,20122013,Yastreby Omsk U18,MHL B,10213595,4,2,0,5,0,4,6,,,,,,,,,,,,,,,,
0,20132014,Yermak Angarsk,VHL,28513,2,0,0,3,0,1,2,,,,,,,,,,,,,,,,
0,20132014,Omskie Yastreby,MHL,49418,37,34,12,56,12,37,71,,,,,,,,,,,,,,,,
0,20142015,Sokol Krasnoyarsk,VHL,37383,9,7,8,49,8,1,16,,,,,,,,,,,,,,,,
0,20152016,Avangard Omsk,KHL,2304,10,8,16,52,16,11,18,,,,,,,,,,,,,,,,
0,20162017,Avangard Omsk,KHL,2304,9,12,10,56,10,3,21,,,,,,,,,,,,,,,,
0,20172018,Avangard Omsk,KHL,2304,19,19,6,54,6,24,38,,,,,,,,,,,,,,,,
0,20172018,Russia,WC,17485,1,3,0,8,0,4,4,,,,,,,,,,,,,,,,
0,20172018,Russia,EHT,64546,0,0,2,6,2,1,0,,,,,,,,,,,,,,,,
0,20182019,Avangard Omsk,KHL,2304,22,23,8,62,8,21,45,,,,,,,,,,,,,,,,
0,20182019,Russia,EHT,64546,0,3,0,5,0,0,3,,,,,,,,,,,,,,,,
0,20192020,Toronto Maple Leafs,National Hockey League,1,15,8,4,39,4,7,23,607:28,98.0,26.0,0.0,0.0,03:03,529:22,75.0,8.2,1.0,0.0,1.0,1.0,75:03,13.0,852.0
0,20202021,Toronto Maple Leafs,National Hockey League,1,10,7,6,54,6,5,17,767:19,107.0,49.0,0.0,0.0,07:39,674:05,100.0,6.5,2.0,0.0,0.0,1.0,85:35,28.0,1050.0
0,20212022,Toronto Maple Leafs,National Hockey League,1,11,21,26,53,26,16,32,808:44,147.0,52.0,4.0,5.0,57:56,676:45,0.0,14.3,4.0,0.0,4.0,4.0,74:03,18.0,1105.0
