,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Chelyabinsk 2,Russia-3,1,0,0,0,2,0,0.0,0,,,,,,,,,,,,,,,,
0,20082009,Chelyabinsk 2,Russia-3,1,11,5,40,22,40,0.0,16,,,,,,,,,,,,,,,,
0,20082009,Russia,WJ18-A,2,7,6,10,7,10,0.0,13,,,,,,,,,,,,,,,,
0,20092010,Chelyabinsk Jr.,Russia-Jr.,1,12,4,8,9,8,0.0,16,,,,,,,,,,,,,,,,
0,20092010,Chelyabinsk,Rus-KHL,2,6,2,10,35,10,0.0,8,,,,,,,,,,,,,,,,
0,20092010,Russia,WJ18-A,3,7,5,6,7,6,0.0,12,,,,,,,,,,,,,,,,
0,20102011,Chelyabinsk,Rus-KHL,1,15,17,30,44,30,,32,,,,,,,,,,,,,,,,
0,20102011,Chelyabinsk Jr.,Russia-Jr.,2,5,10,4,8,4,,15,,,,,,,,,,,,,,,,
0,20102011,Russia,WJC-A,3,7,4,4,7,4,,11,1.0,1.0,0.0,7.0,,,,,,,,,,,,
0,20112012,Chelyabinsk,KHL,1,22,19,30,49,30,,41,,,,,,,,,,,,,,,,
0,20112012,Russia,WC-A,2,4,2,4,10,4,,6,0.0,0.0,0.0,3.0,,,,,,,,,,,,
0,20112012,Russia,WJC-A,3,7,6,4,7,4,,13,2.0,0.0,0.0,6.0,,,,,,,,,,,,
0,20122013,Chelyabinsk,KHL,1,25,19,42,51,42,,44,,,,,,,,,,,,,,,,
0,20122013,Russia,WC-A,2,0,1,2,3,2,,1,0.0,0.0,0.0,1.0,,,,,,,,,,,,
0,20132014,Washington Capitals,National Hockey League,1,6,3,6,17,6,18.52,9,0.0,0.0,1.0,-2.0,229:03,22.0,7.0,2.0,17:41,211:01,13.64,0.0,1.0,00:21,2.0,298.0
0,20132014,Russia,WC-A,3,1,1,4,10,4,,2,0.0,0.0,0.0,3.0,,8.0,,,,,,,,,,
0,20132014,Chelyabinsk,KHL,99,13,8,12,31,12,,21,,,,-10.0,,,,,,,,,,,,
0,20142015,Washington Capitals,National Hockey League,1,26,11,24,80,24,44.64,37,4.0,1.0,0.0,10.0,1066:29,127.0,43.0,13.0,110:09,954:42,8.66,1.0,0.0,01:38,15.0,1365.0
0,20152016,Washington Capitals,National Hockey League,1,57,20,32,82,32,47.76,77,5.0,4.0,0.0,27.0,1428:03,193.0,73.0,18.0,180:13,1245:10,10.36,2.0,0.0,02:40,29.0,1699.0
0,20152016,Russia,WC-A,2,1,1,0,6,0,,2,0.0,1.0,0.0,4.0,,16.0,,,,,,,,,,
0,20152016,Russia,WC,17485,1,1,0,6,0,,2,,,,4.0,,,,,,,,,,,,
0,20162017,Washington Capitals,National Hockey League,1,40,19,46,82,46,43.97,59,3.0,4.0,0.0,18.0,1390:10,170.0,57.0,14.0,164:15,1223:47,11.18,0.0,0.0,02:08,18.0,1667.0
0,20162017,Russia,WC,17485,2,1,6,5,6,,3,,,,0.0,,,,,,,,,,,,
0,20162017,Russia,WCup,17546,0,2,6,4,6,,2,,,,0.0,,,,,,,,,,,,
0,20172018,Washington Capitals,National Hockey League,1,56,27,48,79,48,44.2,83,7.0,8.0,1.0,3.0,1486:08,187.0,50.0,30.0,272:34,1208:59,14.44,2.0,1.0,04:35,26.0,1600.0
0,20182019,Washington Capitals,National Hockey League,1,51,21,50,76,50,38.71,72,8.0,3.0,0.0,7.0,1428:06,193.0,46.0,23.0,278:30,1132:54,10.88,2.0,0.0,16:42,20.0,1508.0
0,20182019,Russia,WC,17485,4,2,6,10,6,,6,,,,7.0,,,,,,,,,,,,
0,20182019,Russia,EHT,64546,3,2,2,2,2,,5,,,,5.0,,,,,,,,,,,,
0,20192020,Washington Capitals,National Hockey League,1,33,19,40,63,40,43.34,52,6.0,0.0,0.0,-2.0,1124:02,129.0,35.0,12.0,201:04,921:50,14.7,0.0,0.0,01:08,16.0,1244.0
0,20202021,Washington Capitals,National Hockey League,1,20,9,18,41,18,41.38,29,1.0,4.0,0.0,7.0,679:27,78.0,21.0,8.0,101:53,576:12,11.5,0.0,0.0,01:22,18.0,852.0
0,20212022,Washington Capitals,National Hockey League,1,54,24,44,79,44,43.48,78,8.0,4.0,3.0,7.0,1602:09,208.0,42.0,27.0,295:19,1218:13,11.5,0.0,5.0,88:37,25.0,1836.0
