,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,saves,shotsAgainst,goalsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,evenStrengthSavePercentage,shortHandedSavePercentage
0,20092010,Cleveland Barons Bantam Minor,T1EMBHL,168390,0.902,2.1,31,,,,,,,,,,,,,,,,,,,
0,20102011,Cleveland Barons Bantam Major,T1EBHL,138409,0.916,1.87,21,,,,,,,,,,,,,,,,,,,
0,20112012,Belle Tire  U16,T1EHL U16,102148,0.903,1.88,18,,,,,,,,,,,,,,,,,,,
0,20122013,Plymouth,OHL,1,0.922734,2.28,26,1371:00,2.0,2.0,19.0,2.0,621.0,673.0,52.0,,,,,,,,,,,
0,20132014,Plymouth,OHL,1,0.925,2.88,61,3436:00,1.0,7.0,26.0,27.0,2042.0,2207.0,165.0,,,,,,,,,,,
0,20132014,U.S.A.,WJ18-A,4,0.901786,1.84,6,360:00,1.0,0.0,5.0,1.0,101.0,112.0,11.0,,,,,,,,,,,
0,20142015,Plymouth,OHL,1,0.916,3.13,55,3206:00,5.0,7.0,20.0,28.0,1827.0,1994.0,167.0,,,,,,,,,,,
0,20142015,Florida,ECHL,2,0.841,3.38,3,178:00,0.0,0.0,2.0,1.0,53.0,63.0,10.0,,,,,,,,,,,
0,20142015,Florida Everblades,ECHL,2565,0.841,3.37,3,,,,,,,,,,,,,,,,,,,
0,20142015,Plymouth Whalers,OHL,9478,0.916,3.13,55,,,,,,,,,,,,,,,,,,,
0,20152016,Flint,OHL,1,583.0,3.21,19,1122:00,1.0,2.0,9.0,7.0,643.0,1.0,60.0,,,,,,,,,,,
0,20152016,Niagara,OHL,2,777.0,2.72,30,1766:00,1.0,2.0,15.0,13.0,857.0,1.0,80.0,,,,,,,,,,,
0,20152016,U.S.A.,WJC-A,3,,1.66,6,326:00,1.0,0.0,4.0,2.0,,157.0,9.0,,,,,,,,,,,
0,20152016,USA U20,WJC-20,17276,0.943,1.66,6,,,,,,,,,,,,,,,,,,,
0,20152016,Niagara IceDogs,OHL,23028,0.907,2.72,30,,,,,,,,,,,,,,,,,,,
0,20152016,Flint Firebirds,OHL,187098,0.907,3.21,19,,,,,,,,,,,,,,,,,,,
0,20162017,Carolina Hurricanes,National Hockey League,1,1.0,0.0,1,29:57,0.0,,0.0,0.0,17.0,17.0,0.0,0.0,1.0,0.0,16.0,0.0,16.0,1.0,0.0,100.0,100.0,
0,20162017,Charlotte Checkers,AHL,2357,0.881,3.4,25,,,,,,,,,,,,,,,,,,,
0,20162017,Florida Everblades,ECHL,2565,0.903,2.97,12,,,,,,,,,,,,,,,,,,,
0,20172018,Charlotte Checkers,AHL,2357,0.903,2.55,49,,,,,,,,,,,,,,,,,,,
0,20182019,Carolina Hurricanes,National Hockey League,1,0.923077,2.0,1,60:00,0.0,0.0,1.0,0.0,24.0,26.0,2.0,0.0,3.0,0.0,21.0,0.0,23.0,3.0,1.0,100.0,91.30434782608695,
0,20182019,Charlotte Checkers,AHL,2357,0.916,2.26,51,,,,,,,,,,,,,,,,,,,
0,20192020,Carolina Hurricanes,National Hockey League,1,0.887,3.0511,4,216:19,0.0,0.0,1.0,2.0,86.0,97.0,11.0,1.0,17.0,1.0,68.0,1.0,77.0,19.0,3.0,89.47368421052632,88.31168831168831,100.0
0,20192020,Charlotte Checkers,AHL,2357,0.906,2.49,29,,,,,,,,,,,,,,,,,,,
0,20202021,Carolina Hurricanes,National Hockey League,1,0.932,1.8965,23,1392:02,3.0,0.0,15.0,5.0,604.0,648.0,44.0,3.0,68.0,18.0,518.0,20.0,552.0,76.0,23.0,89.47368421052632,93.84057971014492,90.0
0,20212022,Detroit Red Wings,National Hockey League,1,0.901,3.30568,59,3230:48,4.0,0.0,20.0,24.0,1618.0,1796.0,178.0,9.0,191.0,46.0,1381.0,53.0,1521.0,222.0,52.0,86.03603603603604,90.79552925706771,86.79245283018868
