,season,team,league,sequenceNumber,timeOnIce,assists,goals,pim,games,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shortHandedTimeOnIce,points,shifts,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,hits,powerPlayPoints,shotPct,overTimeGoals,shortHandedPoints,blocked
0,20012002,Tor. Marlboros,GTHL,1,00:00,61,56,42,68,00:00,00:00,42,0.0,00:00,117,0.0,,,,,,,,,,,
0,20022003,Tor. Marlboros,GTHL,1,00:00,86,68,35,72,00:00,00:00,35,0.0,00:00,154,0.0,,,,,,,,,,,
0,20032004,Tor. Marlboros,GTHL,1,00:00,108,64,36,85,00:00,00:00,36,0.0,00:00,171,0.0,,,,,,,,,,,
0,20042005,Tor. Marlboros,GTHL,1,,118,62,56,70,,,56,,,180,,,,,,,,,,,,
0,20042005,Milton,OPJHL,2,,10,5,10,13,,,10,0.0,,15,,,,,,,,,,,,
0,20052006,Sioux City,USHL,1,,35,11,60,56,,,60,,,46,,2.0,1.0,0.0,3.0,,,,,,,
0,20062007,London,OHL,1,,83,35,36,53,,,36,,,118,,20.0,,1.0,32.0,,,,,,,
0,20062007,Canada,WJC-A,2,00:00,0,0,8,6,00:00,00:00,8,0.0,00:00,0,0.0,,,,,,,,,,,
0,20072008,Edmonton Oilers,National Hockey League,1,1238:31,36,13,23,79,221:38,1009:00,23,41.81,07:53,49,1437.0,4.0,1.0,0.0,-21.0,135.0,18.0,16.0,9.63,0.0,0.0,31.0
0,20072008,Canada,WC-A,2,00:00,0,0,0,1,00:00,00:00,0,0.0,00:00,0,0.0,,,,,,,,,,,
0,20082009,Edmonton Oilers,National Hockey League,1,1273:40,25,16,51,76,232:00,1019:36,51,42.03,22:04,41,1580.0,6.0,1.0,0.0,-1.0,156.0,28.0,11.0,10.26,0.0,0.0,13.0
0,20092010,Edmonton Oilers,National Hockey League,1,1107:36,26,15,33,68,177:44,923:15,33,47.39,06:37,41,1362.0,6.0,1.0,0.0,-8.0,170.0,30.0,17.0,8.82,0.0,0.0,16.0
0,20102011,Edmonton Oilers,National Hockey League,1,1206:59,27,15,37,68,200:18,981:05,37,43.85,25:36,42,1496.0,3.0,2.0,1.0,-17.0,138.0,24.0,9.0,10.87,0.0,1.0,29.0
0,20112012,Edmonton Oilers,National Hockey League,1,1288:42,29,18,36,75,184:52,1100:18,36,47.65,03:32,47,1604.0,6.0,0.0,0.0,5.0,149.0,21.0,12.0,12.08,0.0,0.0,23.0
0,20122013,Edmonton Oilers,National Hockey League,1,931:45,24,14,23,48,140:37,714:32,23,43.86,76:36,38,1183.0,4.0,1.0,0.0,-6.0,113.0,35.0,15.0,12.39,1.0,2.0,22.0
0,20122013,Klagenfurt,Austria,99,,10,10,8,21,,,8,,,20,,,,,,,,,,,,
0,20132014,Edmonton Oilers,National Hockey League,1,1231:14,27,10,41,67,174:59,1028:56,41,46.83,27:19,37,1573.0,1.0,1.0,0.0,-29.0,143.0,33.0,7.0,6.99,0.0,1.0,34.0
0,20142015,Arizona Coyotes,National Hockey League,1,1396:36,26,15,28,81,183:30,1211:18,28,46.82,01:48,41,1749.0,6.0,1.0,0.0,-28.0,183.0,63.0,12.0,8.2,1.0,0.0,19.0
0,20152016,Philadelphia Flyers,National Hockey League,1,734:37,8,8,25,53,101:27,632:50,25,35.05,00:20,16,974.0,2.0,2.0,0.0,4.0,86.0,17.0,3.0,9.3,0.0,0.0,15.0
0,20152016,Lehigh Valley,AHL,2,,5,1,4,9,,,4,,,6,,0.0,0.0,0.0,3.0,32.0,,,3.1,,,
0,20152016,Lehigh Valley Phantoms,AHL,173347,,5,1,4,9,,,4,,,6,,,,,3.0,,,,,,,
0,20162017,Columbus Blue Jackets,National Hockey League,1,1110:54,32,18,22,81,196:33,913:29,22,47.53,00:52,50,1428.0,8.0,1.0,0.0,10.0,178.0,22.0,18.0,10.11,0.0,0.0,16.0
0,20172018,Vancouver Canucks,National Hockey League,1,1118:13,21,10,35,74,150:10,960:23,35,47.72,07:40,31,1560.0,3.0,2.0,0.0,-18.0,164.0,54.0,11.0,6.1,1.0,0.0,28.0
0,20182019,Vancouver Canucks,National Hockey League,1,126:55,2,1,4,7,22:36,103:33,4,44.44,00:46,3,149.0,1.0,0.0,0.0,-3.0,17.0,5.0,1.0,5.88,0.0,0.0,2.0
0,20182019,Edmonton Oilers,National Hockey League,2,339:48,5,5,10,25,22:54,316:54,10,51.65,00:00,10,447.0,0.0,1.0,0.0,-3.0,51.0,16.0,0.0,9.8,0.0,0.0,5.0
0,20182019,Toronto Marlies,AHL,13377,,25,12,12,43,,,12,,,37,,,,,-7.0,,,,,,,
0,20192020,Edmonton Oilers,National Hockey League,1,470:13,7,5,10,36,24:21,445:20,10,47.13,00:32,12,576.0,1.0,0.0,0.0,-9.0,69.0,19.0,2.0,7.2,0.0,0.0,9.0
0,20192020,Detroit Red Wings,National Hockey League,2,90:27,0,1,2,6,18:18,72:09,2,26.67,00:00,1,103.0,1.0,0.0,0.0,-1.0,10.0,3.0,1.0,10.0,0.0,0.0,1.0
0,20192020,Bakersfield Condors,AHL,7257,,2,2,5,4,,,5,,,4,,,,,2.0,,,,,,,
0,20202021,Detroit Red Wings,National Hockey League,1,648:31,8,7,15,42,85:12,512:18,15,46.11,51:01,15,794.0,1.0,1.0,0.0,-4.0,88.0,5.0,1.0,8.0,0.0,0.0,14.0
0,20212022,Detroit Red Wings,National Hockey League,1,1103:14,18,13,32,81,52:15,859:38,32,46.71,191:21,31,1454.0,0.0,0.0,1.0,-4.0,132.0,21.0,1.0,9.8,0.0,1.0,25.0
