,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20122013,Liberecky kraj U15,MMCR,159946,0,0,0,5,0,-1.0,0
0,20132014,Bili Tygri Liberec U16,Czech U16,83457,0,0,0,10,0,-4.0,0
0,20142015,Bili Tygri Liberec U16,Czech U16,83457,1,2,0,3,0,-2.0,3
0,20152016,Jimmy Johns 16U A,NJPHL 16U,179039,17,37,4,20,4,,54
0,20162017,Czechia U17,WHC-17,61320,1,0,10,5,10,,1
0,20162017,Oakland Jr. Grizzlies 16U AAA,T1EHL 16U,125016,14,13,18,25,18,,27
0,20172018,Muskegon Lumberjacks,USHL,6276,40,14,36,56,36,6.0,54
0,20172018,Czechia U18,WJC-18,17013,4,1,6,7,6,2.0,5
0,20172018,Czechia U18,Hlinka Gretzky Cup,158320,1,0,4,5,4,0.0,1
0,20182019,Barrie Colts,OHL,9368,22,14,38,33,38,7.0,36
0,20182019,Czechia U20,WJC-20,17046,0,0,4,5,4,-1.0,0
0,20192020,Sudbury Wolves,OHL,6228,22,12,25,25,25,9.0,34
0,20192020,Barrie Colts,OHL,9368,13,16,35,26,35,7.0,29
0,20192020,Czechia U20,WJC-20,17046,1,0,8,5,8,-1.0,1
0,20202021,Rochester Americans,AHL,1047,5,1,50,25,50,-10.0,6
0,20202021,Bili Tygri Liberec,Czechia,8976,3,1,24,13,24,0.0,4
0,20202021,HC Benatky nad Jizerou,Czechia2,27310,7,2,6,9,6,6.0,9
0,20212022,Rochester Americans,AHL,1047,3,3,56,47,56,-4.0,6
