,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20112012,Cherepovets Jr.,Russia-Jr.,1,29,15,55,45,55,44,,,,,,,,,,,,,,,,,
0,20122013,Cherepovets Jr.,Russia-Jr.,1,15,8,36,24,36,23,,,,,,,,,,,,,,,,,
0,20122013,Cherepovets,KHL,2,1,1,0,12,0,2,,,,,,,,,,,,,,,,,
0,20122013,Russia,WJ18-A,3,6,5,2,7,2,11,31.0,3.0,16.13,0.0,0.0,4.0,,,,,,,,,,,
0,20132014,Cherepovets Jr.,Russia-Jr.,1,2,0,2,2,2,2,,,,,,,,,,,,,,,,,
0,20132014,Cherepovets,KHL,2,11,7,12,40,12,18,,,,,,,,,,,,,,,,,
0,20132014,Russia,WJC-A,3,5,2,18,7,18,7,16.0,0.0,,0.0,0.0,3.0,,,,,,,,,,,
0,20142015,Cherepovets,KHL,1,17,13,16,48,16,30,,,,,,,,,,,,,,,,,
0,20142015,Russia,WJC-A,2,5,1,2,7,2,6,21.0,0.0,,0.0,0.0,-1.0,,,,,,,,,,,
0,20152016,Cherepovets,KHL,1,17,12,20,40,20,29,,,,,,,,,,,,,,,,,
0,20152016,St. Petersburg,KHL,2,4,4,4,18,4,8,,,,,,,,,,,,,,,,,
0,20152016,Severstal Cherepovets,KHL,2424,17,12,20,40,20,29,,,,,,-6.0,,,,,,,,,,,
0,20152016,SKA St. Petersburg,KHL,2434,4,4,4,18,4,8,,,,,,0.0,,,,,,,,,,,
0,20152016,Russia,EHT,64546,0,0,2,2,2,0,,,,,,-1.0,,,,,,,,,,,
0,20162017,New York Rangers,National Hockey League,1,12,8,13,41,13,20,55.0,1.0,14.55,0.0,0.0,6.0,543:36,17.0,3.0,76:52,466:27,14.29,0.0,0.0,00:17,8.0,773.0
0,20162017,Hartford Wolf Pack,AHL,847,2,3,0,4,0,5,,,,,,2.0,,,,,,,,,,,
0,20172018,New York Rangers,National Hockey League,1,29,14,20,74,20,43,136.0,5.0,10.29,4.0,0.0,-3.0,1111:03,51.0,17.0,197:34,908:57,26.09,0.0,0.0,04:32,35.0,1504.0
0,20172018,Russia,WC,17485,3,1,2,8,2,4,,,,,,5.0,,,,,,,,,,,
0,20172018,Russia,EHT,64546,2,1,0,5,0,3,,,,,,1.0,,,,,,,,,,,
0,20182019,New York Rangers,National Hockey League,1,17,21,13,64,13,38,119.0,7.0,17.65,1.0,0.0,-10.0,971:11,60.0,12.0,125:03,846:01,28.0,0.0,0.0,00:07,20.0,1235.0
0,20192020,New York Rangers,National Hockey League,1,30,16,24,68,24,46,148.0,4.0,10.8,1.0,0.0,2.0,1151:13,80.0,9.0,156:20,993:44,17.39,0.0,0.0,01:09,22.0,1395.0
0,20202021,New York Rangers,National Hockey League,1,28,20,42,54,42,48,120.0,1.0,16.7,2.0,3.0,12.0,1011:34,49.0,8.0,120:51,765:15,22.22,0.0,4.0,125:28,29.0,1279.0
0,20212022,St. Louis Blues,National Hockey League,1,46,30,34,73,34,76,199.0,8.0,15.1,3.0,2.0,29.0,1335:55,57.0,19.0,164:05,1055:26,33.33,1.0,4.0,116:24,15.0,1643.0
