,season,team,league,sequenceNumber,timeOnIce,shutouts,goalAgainstAverage,games,goalsAgainst,ties,wins,losses,saves,savePercentage,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20012002,Bratislava Jr.,Slovak-Jr.,1,1257:00,0.0,1.96,22,41.0,,,,,,,,,,,,,,,,,
0,20012002,Slovakia,WJ18-A,2,416:00,1.0,2.59,7,18.0,,,,,,,,,,,,,,,,,
0,20022003,Bratislava Jr.,Slovak-Jr.,1,1200:00,1.0,2.02,20,41.0,3.0,13.0,3.0,,,,,,,,,,,,,,
0,20022003,Slovakia,WJ18-A,2,420:00,0.0,2.0,7,14.0,,,,,,,,,,,,,,,,,
0,20032004,Bratislava Jr.,Slovak-Jr.,1,1694:00,,1.81,29,51.0,,,,,,,,,,,,,,,,,
0,20032004,Senica,Slovak-2,2,1240:00,,2.61,21,54.0,,,,,,,,,,,,,,,,,
0,20032004,Bratislava,Slovakia,3,650:00,0.0,1.661538,12,18.0,,,,,,,,,,,,,,,,,
0,20032004,Slovakia,WJC-A,4,360:00,,2.33,6,14.0,,,,,,,,,,,,,,,,,
0,20042005,Lewiston,QMJHL,1,2697:00,4.0,2.78,47,125.0,4.0,24.0,17.0,1317.0,0.913,1442.0,,,,,,,,,,,
0,20042005,Slovakia,WJC-A,2,360:00,2.0,2.17,6,13.0,0.0,4.0,2.0,,,,,,,,,,,,,,
0,20052006,Hamilton,AHL,1,786:00,3.0,2.29,13,30.0,0.0,7.0,6.0,380.0,0.927,410.0,,,,,,,,,,,
0,20052006,Long Beach,ECHL,2,1026:00,2.0,2.05,20,35.0,2.0,11.0,4.0,481.0,0.932,516.0,,,,,,,,,,,
0,20062007,Montréal Canadiens,National Hockey League,1,912:04,2.0,2.894525,16,44.0,,10.0,6.0,425.0,0.906183,469.0,0.0,80.0,17.0,328.0,17.0,362.0,90.0,16.0,88.88888888888889,100.0,90.60773480662984
0,20062007,Hamilton,AHL,2,1618:00,6.0,2.0,28,54.0,0.0,16.0,11.0,742.0,0.932,796.0,,,,,,,,,,,
0,20062007,Slovakia,WC-A,3,119:00,1.0,2.52,2,5.0,0.0,1.0,1.0,47.0,0.903846,52.0,,,,,,,,,,,
