,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,powerPlayGoals,shortHandedGoals,plusMinus,shots,hits,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,blocked
0,20022003,Kladno U17,CzR-U17,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,
0,20032004,Kladno U17,CzR-U17,1,24,30,26,52,26,54,,,,,,,,,,,,,,,,,
0,20042005,Kladno U17,CzR-U17,1,39,23,44,30,44,62,,,,,,,,,,,,,,,,,
0,20042005,Kladno Jr.,CzRep-Jr.,2,7,5,6,16,6,12,,,,,,,,,,,,,,,,,
0,20052006,Kladno Jr.,CzRep-Jr.,2,38,21,54,46,54,59,,,,,,,,,,,,,,,,,
0,20052006,Kladno,CzRep,3,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
0,20062007,Halifax,QMJHL,1,63,23,26,59,26,86,,,,,,,,,,,,,,,,,
0,20062007,Czech Republic,WJ18-A,3,2,1,2,4,2,3,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,,
0,20072008,Halifax,QMJHL,1,68,33,42,53,42,101,,,,,,,6.0,0.0,21.0,,,,,,,,
0,20072008,Czech Republic,WJC-A,3,6,0,4,6,4,6,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,,
0,20082009,Columbus Blue Jackets,National Hockey League,1,29,9,44,80,44,38,1013:12,171:32,840:21,0.0,01:19,1465.0,0.0,0.0,11.0,101.0,32.0,4.0,8.91,1.0,0.0,0.0,6.0
0,20092010,Columbus Blue Jackets,National Hockey League,1,34,16,26,81,26,50,1265:02,195:47,1058:28,33.33,10:47,1726.0,4.0,0.0,-7.0,154.0,63.0,13.0,10.39,1.0,0.0,0.0,17.0
0,20092010,Czech Republic,WC-A,5,2,0,6,9,6,2,,,,0.0,,,,,,,,,,,,,
0,20102011,Columbus Blue Jackets,National Hockey League,1,32,14,26,80,26,46,1357:40,236:40,1118:51,36.92,02:09,1744.0,2.0,0.0,-3.0,183.0,55.0,8.0,7.65,2.0,2.0,0.0,22.0
0,20102011,Czech Republic,WC-A,2,2,1,2,9,2,3,,,,,,,0.0,0.0,1.0,,,,,0.0,,,
0,20112012,Philadelphia Flyers,National Hockey League,1,31,18,32,78,32,49,1270:43,262:28,965:11,30.43,43:04,1606.0,0.0,0.0,11.0,190.0,44.0,11.0,9.47,2.0,0.0,0.0,18.0
0,20122013,Philadelphia Flyers,National Hockey League,1,24,22,35,48,35,46,827:24,172:22,653:37,40.0,01:25,1014.0,8.0,0.0,-7.0,129.0,20.0,17.0,17.05,3.0,0.0,0.0,12.0
0,20122013,Czech Republic,WC-A,3,6,1,2,8,2,7,,,,,,,1.0,0.0,-4.0,,,,,1.0,,,
0,20122013,Lev Praha,KHL,99,13,7,22,23,22,20,,,,,,,,,,,,,,,,,
0,20132014,Philadelphia Flyers,National Hockey League,1,39,23,22,82,22,62,1414:55,275:50,1135:05,66.67,04:00,1823.0,8.0,0.0,11.0,235.0,19.0,23.0,9.79,2.0,0.0,0.0,20.0
0,20132014,Czech Republic,Olympics,2,1,1,2,5,2,2,,,,,,,0.0,0.0,-5.0,14.0,,,,1.0,,,
0,20142015,Philadelphia Flyers,National Hockey League,1,59,22,78,82,78,81,1524:38,267:44,1253:54,66.67,03:00,1944.0,11.0,0.0,1.0,221.0,55.0,33.0,9.95,3.0,2.0,0.0,28.0
0,20142015,Czech Republic,WC,16081,7,3,6,10,6,10,,,,,,,,,0.0,,,,,,,,
0,20152016,Philadelphia Flyers,National Hockey League,1,44,11,38,73,38,55,1356:47,257:13,1095:55,50.0,03:39,1779.0,1.0,0.0,-5.0,213.0,51.0,23.0,5.16,2.0,2.0,0.0,34.0
0,20162017,Philadelphia Flyers,National Hockey League,1,41,20,56,82,56,61,1565:11,294:59,1268:38,21.43,01:34,1995.0,5.0,0.0,-24.0,253.0,30.0,23.0,7.91,3.0,2.0,0.0,22.0
0,20162017,Czechia,WC,17015,5,1,6,8,6,6,,,,,,,,,-1.0,,,,,,,,
0,20162017,Czechia,WCup,17056,1,1,4,3,4,2,,,,,,,,,-2.0,,,,,,,,
0,20162017,Czechia,EHT,68526,5,0,2,2,2,5,,,,,,,,,3.0,,,,,,,,
0,20172018,Philadelphia Flyers,National Hockey League,1,65,20,50,82,50,85,1595:29,286:20,1306:56,44.12,02:13,1946.0,5.0,0.0,10.0,228.0,23.0,35.0,8.77,3.0,1.0,0.0,32.0
0,20182019,Philadelphia Flyers,National Hockey League,1,46,20,25,78,25,66,1456:26,253:42,1200:35,40.0,02:09,1777.0,4.0,0.0,-16.0,210.0,17.0,18.0,9.52,2.0,0.0,0.0,29.0
0,20182019,Czechia,WC,17015,12,4,2,10,2,16,,,,,,,,,10.0,,,,,,,,
0,20182019,Czechia,EHT,68526,1,1,0,2,0,2,,,,,,,,,-1.0,,,,,,,,
