,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,plusMinus,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Ajax-Pickering,Minor-ON,1,48,40,35,68,35,88,,,,,,,,,,,,,,,,,
0,20102011,The Hill Acad.,High-ON,1,62,33,18,61,18,95,,,,,,,,,,,,,,,,,
0,20112012,Whitby,ON-Jr.A,1,29,29,26,41,26,58,9.0,1.0,2.0,,,,,,,,,,,,,,
0,20122013,U. of Maine,H-East,1,20,6,10,38,10,26,2.0,0.0,1.0,,,,,,,,,,,,,,
0,20132014,U. of Maine,H-East,1,29,14,38,35,38,43,3.0,2.0,3.0,,,,,,,,,,,,,,
0,20142015,U. of Maine,H-East,1,21,14,20,39,20,35,2.0,3.0,0.0,,,,,,,,,,,,,,
0,20142015,Texas,AHL,2,2,4,4,19,4,6,0.0,2.0,0.0,33.0,12.1,-3.0,,,,,,,,,,,
0,20152016,Dallas Stars,National Hockey League,1,0,0,0,3,0,0,0.0,0.0,0.0,1.0,0.0,2.0,36:21,2.0,0.0,00:05,36:16,0.0,0.0,0.0,00:00,0.0,50.0
0,20152016,Texas,AHL,2,11,15,8,23,8,26,4.0,3.0,1.0,54.0,27.8,3.0,,,,,,,,,,,
0,20152016,Texas Stars,AHL,45177,11,15,8,23,8,26,,,,,,3.0,,,,,,,,,,,
0,20162017,Dallas Stars,National Hockey League,1,20,13,14,82,14,33,1.0,0.0,0.0,115.0,11.3,-4.0,1159:07,44.0,6.0,151:01,995:45,47.02,0.0,0.0,12:21,71.0,1664.0
0,20172018,Dallas Stars,National Hockey League,1,21,11,14,82,14,32,2.0,1.0,1.0,123.0,8.94,-30.0,1265:08,71.0,11.0,149:53,999:40,46.32,0.0,2.0,115:35,57.0,1869.0
0,20182019,Dallas Stars,National Hockey League,1,12,5,7,42,7,17,0.0,3.0,1.0,44.0,11.36,0.0,558:17,42.0,2.0,49:45,460:37,50.0,0.0,1.0,47:55,33.0,857.0
0,20182019,Anaheim Ducks,National Hockey League,2,7,5,6,34,6,12,2.0,1.0,1.0,38.0,13.16,-12.0,525:29,52.0,3.0,45:32,430:24,37.58,0.0,1.0,49:33,31.0,701.0
0,20192020,Anaheim Ducks,National Hockey League,1,6,4,8,39,8,10,0.0,1.0,0.0,47.0,8.5,-8.0,467:37,47.0,2.0,20:43,438:55,48.15,0.0,0.0,07:59,13.0,657.0
0,20192020,Columbus Blue Jackets,National Hockey League,2,1,1,0,6,0,2,0.0,0.0,0.0,3.0,33.3,-2.0,56:27,5.0,0.0,00:14,55:24,42.11,0.0,0.0,00:49,1.0,82.0
0,20202021,Edmonton Oilers,National Hockey League,1,4,5,6,38,6,9,0.0,1.0,1.0,27.0,18.5,-4.0,415:02,73.0,0.0,00:57,368:54,52.78,0.0,1.0,45:11,26.0,569.0
0,20212022,Edmonton Oilers,National Hockey League,1,6,5,10,49,10,11,0.0,0.0,1.0,36.0,13.9,-4.0,468:31,67.0,0.0,00:53,411:25,47.66,0.0,1.0,56:13,21.0,676.0
