,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,shots,hits,powerPlayGoals,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,blocked
0,20022003,Väsby IK,Division 1,2903,1,1,0,6,0,0.0,2,,,,,,,,,,,,,,,,
0,20032004,Vasby Jr.,Swe-Jr.,1,10,7,30,10,30,,17,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20032004,Vasby,Sweden-3,2,5,8,26,32,26,,13,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20042005,Vasby,Sweden-3,1,12,12,36,28,36,,24,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20042005,Djurgarden Jr.,Swe-Jr.,2,0,3,2,5,2,,3,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20052006,Djurgarden Jr.,Swe-Jr.,1,1,2,2,4,2,,3,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20052006,Djurgarden,Sweden,2,2,5,36,47,36,,7,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20062007,Djurgarden,Sweden,1,11,23,38,49,38,,34,,,,,,,,,,,,,,,,
0,20062007,Sweden,WJC-A,2,2,1,4,7,4,,3,,,,,,,,,,,,,,,,
0,20062007,Sweden,WC-A,3,4,2,6,9,6,,6,,,,,,,,,,,,,,,,
0,20072008,Djurgarden,Sweden,1,12,18,58,53,58,,30,,,,,,,,,,,,,,,,
0,20072008,Sweden,WC-A,3,0,6,12,9,12,,6,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20082009,Nashville Predators,National Hockey League,1,5,2,16,28,16,-3.0,7,319:07,25:48,292:20,20.0,00:59,446.0,54.0,20.0,0.0,1.0,3.7,0.0,0.0,0.0,0.0,13.0
0,20082009,Milwaukee,AHL,2,18,17,44,49,44,-3.0,35,,,,,,,,,8.0,,,3.0,,0.0,,
0,20092010,Nashville Predators,National Hockey League,1,21,30,40,80,40,18.0,51,1255:00,226:52,1024:22,27.78,03:46,1572.0,275.0,69.0,10.0,12.0,10.91,8.0,0.0,0.0,0.0,26.0
0,20092010,Sweden,Olympics,3,0,1,4,4,4,,1,,,,0.0,,,,,,,,,,,,
0,20102011,Nashville Predators,National Hockey League,1,27,21,47,79,47,11.0,48,1242:19,217:30,1024:00,48.89,00:49,1608.0,265.0,86.0,6.0,14.0,7.92,5.0,0.0,0.0,0.0,36.0
0,20112012,Nashville Predators,National Hockey League,1,16,27,28,76,28,9.0,43,1165:10,194:27,970:13,66.67,00:30,1531.0,230.0,62.0,8.0,10.0,11.74,3.0,0.0,0.0,0.0,28.0
0,20112012,Sweden,WC-A,2,0,0,0,3,0,0.0,0,,,,,,,,,0.0,,,0.0,,0.0,,
0,20122013,Nashville Predators,National Hockey League,1,10,4,14,24,14,-1.0,14,389:24,67:24,322:00,50.0,00:00,517.0,87.0,29.0,4.0,7.0,4.6,1.0,0.0,0.0,0.0,9.0
