,season,team,league,sequenceNumber,assists,goals,games,faceOffPct,points,pim,powerPlayGoals,penaltyMinutes,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Elgin-Mid. Chiefs,Minor-ON,1,53,73,64,0.0,126,,,,,,,,,,,,,,,,,,
0,20072008,St. Thomas,ON-Jr.B,2,1,4,3,,5,2.0,1.0,2,1.0,0.0,,,,,,,,,,,,,
0,20082009,Erie,OHL,1,10,8,64,,18,22.0,0.0,22,,0.0,-13.0,,,,,,,,,,,,
0,20092010,Erie,OHL,1,48,37,67,,85,32.0,16.0,32,,2.0,18.0,,,,,,,,,,,,
0,20092010,Canada,WJ18-A,5,6,1,6,0.0,7,4.0,,4,,,,,,,,,,,,,,,
0,20102011,Erie,OHL,1,43,49,66,,92,35.0,17.0,35,,3.0,20.0,,,,,,,,,,,,
0,20102011,Toronto,AHL,2,0,1,2,,1,0.0,1.0,0,0.0,0.0,-1.0,4.0,25.0,,,,,,,,,,
0,20112012,Erie,OHL,1,22,12,35,,34,32.0,7.0,32,,0.0,-39.0,,,,,,,,,,,,
0,20112012,London,OHL,2,22,19,30,,41,22.0,8.0,22,,0.0,5.0,,,,,,,,,,,,
0,20122013,Toronto,AHL,1,15,8,61,,23,22.0,2.0,22,1.0,0.0,4.0,68.0,11.76,,,,,,,,,,
0,20132014,Toronto Maple Leafs,National Hockey League,1,0,0,1,16.67,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,03:43,2.0,0.0,00:00,03:43,0.0,0.0,00:00,0.0,6.0
0,20132014,Toronto,AHL,2,28,19,65,,47,31.0,7.0,31,3.0,0.0,0.0,118.0,16.1,,,,,,,,,,
0,20142015,Toronto Maple Leafs,National Hockey League,1,0,0,3,51.52,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,27:34,3.0,0.0,00:21,27:13,0.0,0.0,00:00,2.0,43.0
0,20142015,Toronto,AHL,2,15,22,62,,37,39.0,4.0,39,4.0,1.0,9.0,126.0,17.5,,,,,,,,,,
0,20152016,Florida Panthers,National Hockey League,1,0,2,15,45.05,2,2.0,0.0,2,0.0,0.0,1.0,14.0,14.29,123:52,20.0,0.0,01:10,118:48,0.0,0.0,03:54,6.0,184.0
0,20152016,Portland,AHL,2,13,10,47,,23,22.0,1.0,22,2.0,1.0,1.0,84.0,11.9,,,,,,,,,,
0,20152016,Portland Pirates,AHL,887,13,10,47,,23,22.0,,22,,,1.0,,,,,,,,,,,,
0,20162017,Florida Panthers,National Hockey League,1,3,3,31,51.81,6,11.0,0.0,11,0.0,0.0,-5.0,28.0,10.71,316:30,33.0,0.0,06:22,291:57,0.0,0.0,18:11,12.0,463.0
0,20162017,Tampa Bay Lightning,National Hockey League,2,1,0,15,48.45,1,11.0,0.0,11,0.0,0.0,2.0,8.0,0.0,139:01,15.0,0.0,01:06,134:52,0.0,0.0,03:03,4.0,206.0
0,20162017,Springfield Thunderbirds,AHL,39667,2,2,7,,4,2.0,,2,,,-4.0,,,,,,,,,,,,
0,20172018,Pittsburgh Penguins,National Hockey League,1,2,2,26,49.36,4,8.0,0.0,8,0.0,1.0,-4.0,21.0,9.52,251:40,19.0,0.0,03:30,219:05,0.0,1.0,29:05,10.0,385.0
0,20172018,Wilkes-Barre/Scranton Penguins,AHL,1077,7,5,28,,12,10.0,,10,,,10.0,,,,,,,,,,,,
0,20172018,Charlotte Checkers,AHL,2357,14,9,19,,23,4.0,,4,,,7.0,,,,,,,,,,,,
0,20182019,Carolina Hurricanes,National Hockey League,1,5,6,41,51.05,11,8.0,0.0,8,1.0,0.0,-2.0,27.0,22.22,437:07,30.0,0.0,04:32,431:06,0.0,0.0,01:29,18.0,650.0
0,20182019,Charlotte Checkers,AHL,2357,17,6,31,,23,18.0,,18,,,-5.0,,,,,,,,,,,,
0,20192020,New York Rangers,National Hockey League,1,4,5,53,49.29,9,17.0,0.0,17,0.0,1.0,-2.0,40.0,12.5,506:56,69.0,0.0,01:01,455:59,0.0,2.0,49:56,24.0,760.0
0,20202021,Boston Bruins,National Hockey League,1,0,1,5,60.61,1,2.0,0.0,2,0.0,0.0,-3.0,4.0,25.0,47:52,7.0,0.0,00:00,47:45,0.0,0.0,00:07,1.0,70.0
0,20202021,Providence Bruins,AHL,897,2,0,2,,2,0.0,,0,,,2.0,,,,,,,,,,,,
0,20212022,New York Rangers,National Hockey League,1,3,2,43,45.0,5,6.0,0.0,6,0.0,0.0,-11.0,25.0,8.0,467:17,50.0,0.0,01:45,414:05,0.0,1.0,51:27,22.0,632.0
0,20212022,Hartford Wolf Pack,AHL,847,0,0,1,,0,0.0,,0,,,3.0,,,,,,,,,,,,
