,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20122013,IF Björklöven J18,J18 Region,7748,1,0,2,4,2,0.0,1
0,20122013,IF Björklöven J18,J18 Nationell,8508,0,0,2,4,2,-2.0,0
0,20122013,Västerbotten,TV-Pucken,11126,2,0,4,8,4,6.0,2
0,20122013,IF Björklöven U16,U16 SM,46867,0,1,6,3,6,,1
0,20132014,Luleå HF J20,J20 Nationell,5849,0,0,0,1,0,1.0,0
0,20132014,Luleå HF J18,J18 Region,7138,6,6,6,22,6,15.0,12
0,20132014,Luleå HF J18,J18 Nationell,7898,7,0,22,18,22,14.0,7
0,20142015,Luleå HF J20,J20 Nationell,5849,12,2,16,37,16,-14.0,14
0,20142015,Luleå HF J18,J18 Region,7138,0,1,2,3,2,2.0,1
0,20142015,Luleå HF J18,J18 Nationell,7898,5,3,20,13,20,-3.0,8
0,20152016,Luleå HF J20,J20 Nationell,5849,23,6,26,45,26,-4.0,29
0,20162017,Asplöven HC,HockeyEttan,3911,8,7,10,27,10,-3.0,15
0,20162017,Omaha Lancers,USHL,10466,2,1,6,8,6,-1.0,3
0,20172018,IK Oskarshamn,HockeyAllsvenskan,1540,21,13,22,52,22,-9.0,34
0,20182019,Malmö Redhawks,SHL,879,3,2,6,17,6,0.0,5
0,20182019,Örebro HK,SHL,1159,5,3,6,35,6,-5.0,8
0,20192020,Brynäs IF,SHL,819,6,2,10,13,10,-2.0,8
0,20192020,Malmö Redhawks,SHL,879,8,4,30,36,30,-4.0,12
0,20202021,Brynäs IF,SHL,819,13,3,20,51,20,-11.0,16
0,20212022,Brynäs IF,SHL,819,12,3,26,52,26,-1.0,15
