,season,team,league,sequenceNumber,assists,goals,games,faceOffPct,points,pim,penaltyMinutes,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Duluth East,High-MN,1,21,7,25,0.0,28,,,,,,,,,,,,,,,,,,
0,20082009,USNTDP,NAHL,2,1,0,2,,1,6.0,6,,,,,,,,,,,,,,,,
0,20082009,USNTDP,U-17,3,4,1,7,0.0,5,4.0,4,,,,,,,,,,,,,,,,
0,20092010,USNTDP,USHL,1,10,4,26,0.0,14,26.0,26,,,,,,,,,,,,,,,,
0,20092010,USNTDP,U-18,2,13,1,39,0.0,14,20.0,20,,,,,,,,,,,,,,,,
0,20092010,U.S.A.,WJ18-A,5,2,0,7,0.0,2,6.0,6,,,,,,,,,,,,,,,,
0,20102011,North Dakota,WCHA,1,15,0,38,,15,26.0,26,0.0,0.0,0.0,,,,,,,,,,,,,
0,20102011,U.S.A.,WJC-A,2,0,0,6,,0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20112012,North Dakota,WCHA,1,11,2,35,,13,28.0,28,1.0,0.0,0.0,,,,,,,,,,,,,
0,20112012,U.S.A.,WJC-A,2,2,0,3,,2,0.0,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20122013,North Dakota,WCHA,1,13,4,42,,17,22.0,22,2.0,0.0,0.0,,,,,,,,,,,,,
0,20122013,Manchester,AHL,2,1,0,6,,1,0.0,0,0.0,0.0,0.0,5.0,2.0,0.0,,,,,,,,,,
0,20132014,Manchester,AHL,1,16,1,74,,17,42.0,42,0.0,0.0,0.0,19.0,59.0,1.7,,,,,,,,,,
0,20142015,Manchester,AHL,1,11,4,67,,15,52.0,52,1.0,2.0,0.0,23.0,100.0,4.0,,,,,,,,,,
0,20152016,Los Angeles Kings,National Hockey League,1,1,1,14,0.0,2,17.0,17,0.0,0.0,0.0,-1.0,14.0,7.14,154:38,9.0,0.0,00:12,144:55,0.0,0.0,09:31,7.0,233.0
0,20152016,Ontario,AHL,2,8,2,40,,10,40.0,40,0.0,0.0,0.0,13.0,66.0,3.0,,,,,,,,,,
0,20152016,Ontario Reign,AHL,26957,8,2,40,,10,40.0,40,,,,13.0,,,,,,,,,,,,
0,20162017,Los Angeles Kings,National Hockey League,1,16,2,82,100.0,18,54.0,54,0.0,0.0,0.0,8.0,100.0,2.0,1649:31,180.0,0.0,12:25,1457:54,0.0,1.0,179:12,159.0,2221.0
0,20172018,Los Angeles Kings,National Hockey League,1,17,1,78,0.0,18,49.0,49,0.0,0.0,0.0,18.0,78.0,1.28,1621:28,142.0,0.0,09:07,1401:24,0.0,0.0,210:57,156.0,2077.0
0,20182019,Los Angeles Kings,National Hockey League,1,12,2,81,0.0,14,52.0,52,0.0,1.0,0.0,-13.0,75.0,2.67,1680:06,105.0,0.0,04:19,1490:38,0.0,0.0,185:09,139.0,2075.0
0,20192020,Los Angeles Kings,National Hockey League,1,1,0,13,0.0,1,4.0,4,0.0,0.0,0.0,-4.0,15.0,0.0,232:06,27.0,0.0,00:00,216:04,0.0,0.0,16:02,17.0,295.0
0,20192020,Calgary Flames,National Hockey League,2,0,0,7,0.0,0,0.0,0,0.0,0.0,0.0,-1.0,7.0,0.0,124:09,8.0,0.0,00:00,110:19,0.0,0.0,13:50,13.0,159.0
0,20192020,Ontario Reign,AHL,26957,0,1,5,,1,5.0,5,,,,-3.0,,,,,,,,,,,,
0,20202021,Winnipeg Jets,National Hockey League,1,10,2,56,0.0,12,35.0,35,0.0,0.0,0.0,1.0,67.0,3.0,1161:34,80.0,0.0,04:45,1005:04,0.0,0.0,151:45,115.0,1465.0
0,20212022,Boston Bruins,National Hockey League,1,10,4,76,0.0,14,48.0,48,0.0,1.0,0.0,2.0,64.0,6.3,1376:14,133.0,0.0,01:51,1139:52,0.0,1.0,234:31,100.0,1791.0
