,season,team,league,sequenceNumber,timeOnIce,shutouts,ties,wins,losses,goalAgainstAverage,games,goalsAgainst,saves,savePercentage,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20092010,Trois-Rivieres,QAAA,1,1023:00,0.0,3.0,8.0,4.0,3.46,22,59.0,,,,,,,,,,,,,,
0,20102011,Trois-Rivieres,QAAA,1,1521:00,0.0,2.0,16.0,8.0,3.27,29,83.0,,,,,,,,,,,,,,
0,20102011,Lewiston,QMJHL,2,144:00,0.0,0.0,2.0,0.0,2.1,3,5.0,53.0,0.914,58.0,,,,,,,,,,,
0,20112012,P.E.I.,QMJHL,1,1183:00,0.0,1.0,7.0,9.0,4.46,29,88.0,579.0,0.868,667.0,,,,,,,,,,,
0,20122013,P.E.I.,QMJHL,1,2521:00,5.0,3.0,28.0,11.0,2.81,46,118.0,1203.0,0.911,1321.0,,,,,,,,,,,
0,20132014,Charlottetown,QMJHL,1,1424:00,1.0,5.0,8.0,11.0,3.29,26,78.0,799.0,0.911,877.0,,,,,,,,,,,
0,20132014,Val-d'Or,QMJHL,2,1267:00,1.0,1.0,13.0,7.0,3.03,22,64.0,579.0,0.9,643.0,,,,,,,,,,,
0,20142015,Toronto,AHL,1,1809:00,4.0,5.0,15.0,10.0,2.69,31,81.0,853.0,0.913,934.0,,,,,,,,,,,
0,20142015,Toronto Marlies,AHL,13377,,,,,,2.6,32,,,0.913,,,,,,,,,,,,
0,20152016,Toronto Marlies,AHL,13377,,,,,,2.7,40,,,0.909,,,,,,,,,,,,
0,20162017,Toronto Maple Leafs,National Hockey League,1,120:39,0.0,,1.0,1.0,1.989225,2,4.0,51.0,0.927273,55.0,0.0,9.0,5.0,37.0,5.0,39.0,11.0,2.0,81.81818181818183,100.0,94.87179487179486
0,20162017,Toronto Marlies,AHL,13377,,,,,,3.08,32,,,0.894,,,,,,,,,,,,
0,20172018,San Jose Barracuda,AHL,187427,,,,,,2.37,43,,,0.919,,,,,,,,,,,,
0,20182019,San Jose Barracuda,AHL,187427,,,,,,2.89,35,,,0.904,,,,,,,,,,,,
0,20192020,Colorado Avalanche,National Hockey League,1,91:45,0.0,0.0,1.0,0.0,3.2698,2,5.0,37.0,0.881,42.0,0.0,5.0,2.0,30.0,2.0,32.0,8.0,1.0,62.5,100.0,93.75
0,20192020,Colorado Eagles,AHL,8957,,,,,,6.02,2,,,0.765,,,,,,,,,,,,
0,20202021,Chicago Wolves,AHL,957,,,,,,2.49,8,,,0.912,,,,,,,,,,,,
0,20212022,Charlotte Checkers,AHL,2357,,,,,,2.48,10,,,0.905,,,,,,,,,,,,
0,20212022,Allen Americans,ECHL,45785,,,,,,2.79,14,,,0.923,,,,,,,,,,,,
