,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus,shots,powerPlayGoals,shotPct,gameWinningGoals,shortHandedGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20102011,Djurgarden U18,Swe-U18,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
0,20112012,Djurgarden U18,Swe-U18,1,13,2,4,37,4,15,,,,,,,,,,,,,,,,,
0,20122013,Linkoping U18,Swe-U18,1,2,2,2,3,2,4,,,,,,,,,,,,,,,,,
0,20122013,Linkoping Jr.,Swe-Jr.,2,8,5,12,37,12,13,,,,,,,,,,,,,,,,,
0,20132014,Linkoping Jr.,Swe-Jr.,1,12,2,6,23,6,14,,,,,,,,,,,,,,,,,
0,20132014,Linkoping,Sweden,2,1,0,0,12,0,1,,,,,,,,,,,,,,,,,
0,20142015,Linkoping,Sweden,1,3,3,12,55,12,6,,,,,,,,,,,,,,,,,
0,20142015,Rockford IceHogs,AHL,8267,1,0,2,2,2,1,-1.0,,,,,,,,,,,,,,,,
0,20152016,Linkoping,Sweden,1,7,1,14,50,14,8,,,,,,,,,,,,,,,,,
0,20152016,Rockford,AHL,2,0,0,6,4,6,0,1.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
0,20152016,Linköping HC,Champions HL,172,1,0,0,5,0,1,-1.0,,,,,,,,,,,,,,,,
0,20152016,Linköping HC,SHL,859,7,1,14,50,14,8,11.0,,,,,,,,,,,,,,,,
0,20152016,Rockford IceHogs,AHL,8267,0,0,6,4,6,0,1.0,,,,,,,,,,,,,,,,
0,20162017,Rockford IceHogs,AHL,8267,5,6,16,70,16,11,-12.0,,,,,,,,,,,,,,,,
0,20172018,Chicago Blackhawks,National Hockey League,1,3,0,0,11,0,3,-2.0,12.0,0.0,0.0,0.0,0.0,192:39,6.0,0.0,00:14,176:37,100.0,0.0,0.0,15:48,9.0,270.0
0,20172018,Rockford IceHogs,AHL,8267,25,3,22,64,22,28,14.0,,,,,,,,,,,,,,,,
0,20182019,Chicago Blackhawks,National Hockey League,1,6,0,6,38,6,6,9.0,42.0,0.0,0.0,0.0,0.0,706:58,33.0,0.0,00:44,634:39,0.0,0.0,1.0,71:35,35.0,963.0
0,20182019,Rockford IceHogs,AHL,8267,7,1,10,22,10,8,-11.0,,,,,,,,,,,,,,,,
0,20192020,Winnipeg Jets,National Hockey League,1,1,0,6,15,6,1,-4.0,9.0,0.0,0.0,0.0,0.0,221:28,5.0,0.0,01:07,205:24,0.0,0.0,0.0,14:57,13.0,287.0
0,20202021,Henderson Silver Knights,AHL,307807,9,1,4,17,4,10,13.0,,,,,,,,,,,,,,,,
0,20212022,Toronto Maple Leafs,National Hockey League,1,2,0,2,3,2,2,2.0,4.0,0.0,0.0,0.0,0.0,40:57,1.0,0.0,00:00,38:26,0.0,0.0,0.0,02:31,2.0,60.0
0,20212022,Toronto Marlies,AHL,13377,14,0,10,49,10,14,10.0,,,,,,,,,,,,,,,,
