,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,plusMinus
0,20142015,Western Canada Selects U12,WSI U12,206806,4,1,2,7,2,5,
0,20162017,Fort Saskatchewan Ranger U15 AAA,AEHL U15,64919,10,3,2,36,2,13,
0,20172018,OHA Edmonton U15 Prep,CSSHL U15,228013,22,10,16,30,16,32,
0,20172018,Upstate Kings U15,WSI U15,342670,1,2,12,5,12,3,
0,20182019,Everett Silvertips,WHL,16391,0,0,0,1,0,0,0.0
0,20182019,Team Alberta,CWG,90785,1,1,4,6,4,2,
0,20182019,OHA Edmonton U18 Prep,CSSHL U18,210236,19,8,22,35,22,27,
0,20192020,Everett Silvertips,WHL,16391,10,2,8,58,8,12,20.0
0,20192020,Canada Red U17,WHC-17,163770,2,0,2,5,2,2,
0,20202021,Everett Silvertips,WHL,16391,11,2,2,11,2,13,5.0
0,20202021,Canada U18,WJC-18,17193,7,1,2,7,2,8,8.0
0,20212022,Everett Silvertips,WHL,16391,64,14,23,55,23,78,45.0
0,20212022,Canada U20,WJC-20,17216,9,2,2,7,2,11,14.0
