,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20122013,Bohuslän/Dal,TV-Pucken,10946,0,1,0,8,0,-2.0,1
0,20122013,Munkedals BK J18,J18 Div.2,42951,2,1,0,4,0,,3
0,20122013,Munkedals BK U16,U16 Div.1,150004,15,9,2,14,2,,24
0,20132014,Munkedals BK,Division 3,5291,18,5,0,18,0,,23
0,20132014,Bohuslän/Dal,TV-Pucken,10946,0,1,2,5,2,,1
0,20132014,Munkedals BK J18,J18 Div.2,42951,7,5,31,7,31,,12
0,20132014,Munkedals BK U16,U16 Div.1,150004,42,49,28,20,28,,91
0,20142015,Kungälvs IK J18,J18 Region,10968,13,8,14,33,14,-18.0,21
0,20142015,Kungälvs IK J20,J20 Div.1,26355,1,0,8,6,8,,1
0,20152016,Kungälvs IK J18,J18 Region,10968,23,12,41,31,41,1.0,35
0,20152016,Kungälvs IK J20,J20 Div.1,26355,5,5,8,13,8,,10
0,20162017,Frölunda HC J20,J20 Nationell,5919,2,1,4,40,4,-9.0,3
0,20172018,Frölunda HC,Champions HL,232,0,0,0,2,0,0.0,0
0,20172018,Frölunda HC,SHL,919,0,0,0,1,0,0.0,0
0,20172018,Frölunda HC J20,J20 Nationell,5919,32,13,32,44,32,19.0,45
0,20172018,Hanhals IF,HockeyEttan,6041,3,7,10,11,10,3.0,10
0,20182019,Hanhals IF,HockeyEttan,6041,27,11,22,38,22,3.0,38
0,20192020,IF Björklöven,HockeyAllsvenskan,1380,13,8,14,51,14,0.0,21
0,20202021,IF Björklöven,HockeyAllsvenskan,1380,21,10,14,52,14,9.0,31
0,20212022,Luleå HF,SHL,869,20,18,22,52,22,19.0,38
