,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20122013,Hovås HC U16 2,U16 Div.2,228485,0.915,2.0,2,,,,,,,,,,,,,,,,,,,
0,20132014,Frölunda HC U16 2,U16 Div.1,173154,0.887,3.31,10,,,,,,,,,,,,,,,,,,,
0,20142015,Frölunda HC U16,U16 SM,44007,0.926,1.96,6,,,,,,,,,,,,,,,,,,,
0,20142015,Frölunda HC U16,U16 Region,44352,0.901,2.75,16,,,,,,,,,,,,,,,,,,,
0,20152016,Frölunda HC J20,J20 Nationell,5919,0.963,1.0,1,,,,,,,,,,,,,,,,,,,
0,20152016,Frölunda HC J18,J18 Region,7198,0.912,1.66,12,,,,,,,,,,,,,,,,,,,
0,20152016,Frölunda HC J18,J18 Nationell,7958,0.886,3.09,10,,,,,,,,,,,,,,,,,,,
0,20152016,Sweden U17,WHC-17,61300,0.936,2.25,2,,,,,,,,,,,,,,,,,,,
0,20162017,Frölunda HC,SHL,919,1.0,0.0,1,,,,,,,,,,,,,,,,,,,
0,20162017,Frölunda HC J20,J20 Nationell,5919,0.905,2.48,29,,,,,,,,,,,,,,,,,,,
0,20162017,Frölunda HC J18,J18 Nationell,7958,0.903,2.97,1,,,,,,,,,,,,,,,,,,,
0,20172018,Frölunda HC J20,J20 Nationell,5919,0.902,2.72,24,,,,,,,,,,,,,,,,,,,
0,20172018,Hanhals IF,HockeyEttan,6041,0.928,2.53,2,,,,,,,,,,,,,,,,,,,
0,20182019,Frölunda HC,SHL,919,0.8,5.17,1,,,,,,,,,,,,,,,,,,,
0,20182019,Hanhals IF,HockeyEttan,6041,0.908,3.16,37,,,,,,,,,,,,,,,,,,,
0,20192020,Tingsryds AIF,HockeyAllsvenskan,1560,0.924,2.38,32,,,,,,,,,,,,,,,,,,,
0,20202021,Skellefteå AIK,SHL,1019,0.922,2.03,22,,,,,,,,,,,,,,,,,,,
0,20212022,Chicago Blackhawks,National Hockey League,1,0.863,5.00588,3,155:49,0.0,0.0,0.0,0.0,2.0,82.0,22.0,2.0,58.0,3.0,67.0,25.0,2.0,95.0,13.0,88.0,66.66666666666666,86.56716417910447
0,20212022,Rockford IceHogs,AHL,8267,0.919,2.76,38,,,,,,,,,,,,,,,,,,,
