,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,shots,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20152016,Luleå HF J18,J18 Region,7138,7,2,2,15,2,14.0,9,,,,,,,,,,,,,,,,
0,20152016,Luleå HF J18,J18 Nationell,7898,0,0,6,12,6,-7.0,0,,,,,,,,,,,,,,,,
0,20152016,Norrbotten,TV-Pucken,11036,0,0,0,6,0,,0,,,,,,,,,,,,,,,,
0,20152016,Luleå HF U16,U16 SM,44087,0,1,2,3,2,,1,,,,,,,,,,,,,,,,
0,20162017,Luleå HF J20,J20 Nationell,5849,2,0,0,8,0,-7.0,2,,,,,,,,,,,,,,,,
0,20162017,Luleå HF J18,J18 Region,7138,15,4,16,21,16,13.0,19,,,,,,,,,,,,,,,,
0,20162017,Luleå HF J18,J18 Nationell,7898,3,5,2,13,2,7.0,8,,,,,,,,,,,,,,,,
0,20172018,Luleå HF,SHL,869,3,2,0,28,0,2.0,5,,,,,,,,,,,,,,,,
0,20172018,Luleå HF J20,J20 Nationell,5849,11,3,18,26,18,2.0,14,,,,,,,,,,,,,,,,
0,20172018,Sweden U18,WJC-18,8573,2,0,2,7,2,1.0,2,,,,,,,,,,,,,,,,
0,20182019,Luleå HF,SHL,869,7,3,8,41,8,7.0,10,,,,,,,,,,,,,,,,
0,20182019,Luleå HF J20,J20 Nationell,5849,2,0,0,4,0,8.0,2,,,,,,,,,,,,,,,,
0,20182019,Sweden U20,WJC-20,8596,1,1,0,5,0,1.0,2,,,,,,,,,,,,,,,,
0,20192020,Luleå HF,Champions HL,182,9,2,6,12,6,4.0,11,,,,,,,,,,,,,,,,
0,20192020,Luleå HF,SHL,869,20,11,30,45,30,18.0,31,,,,,,,,,,,,,,,,
0,20192020,Sweden U20,WJC-20,8596,7,1,4,7,4,2.0,8,,,,,,,,,,,,,,,,
0,20192020,Sweden,EHT,89816,1,0,2,3,2,3.0,1,,,,,,,,,,,,,,,,
0,20202021,Luleå HF,SHL,869,18,14,30,52,30,-1.0,32,,,,,,,,,,,,,,,,
0,20202021,Sweden,WC,6815,5,0,2,3,2,2.0,5,,,,,,,,,,,,,,,,
0,20202021,Sweden,EHT,89816,0,1,2,3,2,2.0,1,,,,,,,,,,,,,,,,
0,20212022,New York Rangers,National Hockey League,1,3,1,0,25,0,4.0,4,348:18,32.0,15.0,1.0,2.0,30:21,313:55,0.0,3.1,0.0,0.0,0.0,0.0,04:02,15.0,474.0
0,20212022,Hartford Wolf Pack,AHL,847,12,3,14,34,14,-9.0,15,,,,,,,,,,,,,,,,
