,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,powerPlayGoals,shortHandedGoals,shots,hits,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedPoints,blocked
0,20042005,Lasalle Vipers Minor Midget AA,Midget,252661,1,1,0,2,0,0.0,2,,,,,,,,,,,,,,,,
0,20052006,Blenheim,OHA-C,1,12,11,102,40,102,,23,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20062007,Sarnia,OJHL-B,1,5,2,16,9,16,,7,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20062007,Sarnia,OHL,2,3,3,52,39,52,,6,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20072008,Sarnia,OHL,1,13,25,155,66,155,,38,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20082009,Sarnia,OHL,1,30,35,142,61,142,6.0,65,,,,,,,17.0,1.0,,,,,,,,
0,20092010,New York Islanders,National Hockey League,1,2,0,26,5,26,-1.0,2,66:11,20:16,45:55,0.0,00:00,79.0,0.0,0.0,10.0,15.0,2.0,0.0,0.0,0.0,0.0,3.0
0,20092010,Bridgeport,AHL,2,19,12,113,76,113,,31,,,,0.0,,,,,,,,,,,,
0,20102011,New York Islanders,National Hockey League,1,9,5,147,68,147,-13.0,14,745:07,14:54,676:22,37.04,53:51,1001.0,0.0,0.0,60.0,299.0,0.0,8.33,1.0,0.0,1.0,49.0
0,20102011,Bridgeport,AHL,2,2,1,11,7,11,0.0,3,,,,,,,0.0,0.0,18.0,,,5.56,0.0,,,
0,20112012,New York Islanders,National Hockey League,1,7,7,121,80,121,-17.0,14,972:37,30:41,840:17,43.48,101:39,1300.0,0.0,0.0,130.0,374.0,0.0,5.38,1.0,0.0,2.0,41.0
0,20122013,New York Islanders,National Hockey League,1,7,4,63,48,63,-2.0,11,571:31,10:28,484:16,33.33,76:47,800.0,1.0,0.0,67.0,234.0,1.0,5.97,1.0,0.0,0.0,22.0
0,20132014,New York Islanders,National Hockey League,1,6,8,90,79,90,-11.0,14,940:01,25:38,860:07,33.33,54:16,1329.0,0.0,0.0,120.0,359.0,0.0,6.67,3.0,0.0,0.0,42.0
0,20142015,New York Islanders,National Hockey League,1,6,8,114,78,114,-4.0,14,879:01,10:55,864:24,50.0,03:42,1257.0,0.0,0.0,90.0,382.0,0.0,8.89,2.0,0.0,0.0,36.0
0,20152016,New York Islanders,National Hockey League,1,9,10,119,80,119,2.0,19,844:31,07:09,833:49,25.0,03:33,1244.0,0.0,0.0,86.0,365.0,0.0,11.63,1.0,0.0,0.0,24.0
0,20162017,Toronto Maple Leafs,National Hockey League,1,4,5,123,82,123,0.0,9,729:36,01:45,700:59,0.0,26:52,1117.0,0.0,0.0,66.0,300.0,0.0,7.58,0.0,0.0,0.0,26.0
0,20172018,Toronto Maple Leafs,National Hockey League,1,9,3,50,50,50,0.0,12,399:25,00:49,398:36,75.0,00:00,604.0,0.0,0.0,46.0,147.0,0.0,6.52,0.0,0.0,0.0,9.0
0,20182019,New York Islanders,National Hockey League,1,8,6,53,67,53,5.0,14,766:02,02:50,748:23,40.0,14:49,1072.0,0.0,0.0,62.0,275.0,0.0,9.68,1.0,0.0,0.0,42.0
0,20192020,New York Islanders,National Hockey League,1,3,5,40,55,40,-1.0,8,573:17,04:25,558:19,42.86,10:33,818.0,0.0,0.0,49.0,242.0,0.0,10.2,2.0,0.0,0.0,24.0
0,20202021,New York Islanders,National Hockey League,1,5,6,36,54,36,-2.0,11,597:44,25:07,571:09,25.0,01:28,835.0,1.0,0.0,68.0,181.0,2.0,8.8,0.0,0.0,0.0,23.0
0,20212022,New York Islanders,National Hockey League,1,4,3,70,71,70,-2.0,7,812:13,06:02,804:39,42.11,01:32,1152.0,0.0,0.0,66.0,235.0,0.0,4.5,0.0,0.0,0.0,26.0
