,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Pit. Hornets,T1EHL,1,21,21,76,45,76,42,,,,,,,,,,,,,,,,,
0,20092010,USNTDP,USHL,1,7,5,32,29,32,12,1.0,0.0,0.0,1.0,,,,,,,,,,,,,
0,20092010,USNTDP,U-17,2,9,10,47,17,47,19,,,,,,,,,,,,,,,,,
0,20092010,USNTDP,U-18,3,0,0,0,1,0,0,,,,,,,,,,,,,,,,,
0,20102011,USNTDP,USHL,1,12,3,48,21,48,15,0.0,1.0,0.0,4.0,,,,,,,,,,,,,
0,20102011,USNTDP,U-18,2,23,12,38,35,38,35,,,,,,,,,,,,,,,,,
0,20102011,U.S.A.,WJ18-A,3,9,4,6,6,6,13,1.0,0.0,0.0,8.0,,,,,,,,,,,,,
0,20112012,Plymouth,OHL,1,37,25,61,61,61,62,6.0,,0.0,8.0,,,,,,,,,,,,,
0,20112012,U.S.A.,WJC-A,2,2,2,0,6,0,4,2.0,0.0,0.0,3.0,,,,,,,,,,,,,
0,20122013,New York Rangers,National Hockey League,1,2,2,8,26,8,4,1.0,0.0,0.0,-7.0,351:37,43.0,47.0,2.0,40:18,311:05,53.39,4.65,0.0,0.0,00:14,12.0,438.0
0,20122013,U.S.A.,WJC-A,3,7,2,2,7,2,9,1.0,0.0,0.0,5.0,,,,,,,,,,,,,
0,20122013,Connecticut,AHL,99,15,8,29,42,29,23,0.0,2.0,0.0,-12.0,,65.0,,,,,,12.31,,,,,
0,20132014,New York Rangers,National Hockey League,1,3,3,18,30,18,6,0.0,0.0,0.0,-6.0,343:35,46.0,44.0,2.0,25:21,318:07,50.98,6.52,0.0,0.0,00:07,17.0,489.0
0,20132014,Hartford,AHL,2,27,15,47,41,47,42,3.0,0.0,1.0,10.0,,128.0,,,,,,11.7,,,,,
0,20142015,New York Rangers,National Hockey League,1,13,10,23,58,23,23,2.0,3.0,0.0,5.0,736:35,92.0,89.0,3.0,51:57,683:28,45.37,10.87,0.0,0.0,01:10,28.0,1042.0
0,20142015,Hartford,AHL,2,9,6,12,18,12,15,1.0,1.0,0.0,-3.0,,42.0,,,,,,14.3,,,,,
0,20152016,New York Rangers,National Hockey League,1,21,22,46,82,46,43,2.0,5.0,0.0,10.0,1232:51,135.0,174.0,4.0,115:13,1116:38,43.31,16.3,1.0,0.0,01:00,48.0,1675.0
0,20162017,New York Rangers,National Hockey League,1,34,22,21,82,21,56,2.0,6.0,3.0,17.0,1342:03,132.0,101.0,7.0,119:02,1119:52,43.98,16.67,1.0,4.0,103:09,56.0,1896.0
0,20162017,Team North America,WCup,176776,0,0,0,1,0,0,,,,-1.0,,,,,,,,,,,,,
0,20172018,New York Rangers,National Hockey League,1,27,13,28,63,28,40,6.0,4.0,0.0,-1.0,1050:07,98.0,83.0,12.0,139:36,900:12,54.29,13.27,2.0,0.0,10:19,22.0,1413.0
0,20172018,Tampa Bay Lightning,National Hockey League,2,8,10,12,19,12,18,5.0,1.0,0.0,-3.0,345:33,45.0,41.0,6.0,45:12,282:09,54.27,22.22,0.0,0.0,18:12,4.0,437.0
0,20182019,Tampa Bay Lightning,National Hockey League,1,34,13,30,75,30,47,4.0,4.0,0.0,8.0,1099:52,108.0,115.0,20.0,193:19,904:22,49.43,12.04,0.0,0.0,02:11,23.0,1360.0
0,20192020,Vancouver Canucks,National Hockey League,1,45,27,47,69,47,72,9.0,3.0,0.0,11.0,1387:06,165.0,123.0,25.0,267:00,1078:13,59.19,16.4,1.0,2.0,41:53,38.0,1725.0
0,20202021,Vancouver Canucks,National Hockey League,1,31,15,43,53,43,46,3.0,4.0,1.0,-7.0,1111:10,106.0,90.0,18.0,185:21,834:45,53.04,14.2,2.0,1.0,91:04,24.0,1386.0
0,20212022,Vancouver Canucks,National Hockey League,1,67,32,47,80,47,99,8.0,6.0,0.0,15.0,1686:09,206.0,172.0,38.0,264:40,1254:13,54.1,15.5,3.0,2.0,167:16,56.0,2069.0
