,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Chicago Mission Bantam Minor AAA,T1EMBHL,141690,12,16,46,29,46,0.0,28,,,,,,,,,,,,,,,,
0,20082009,Bartlett High,USHS-IL,170131,10,8,8,16,8,0.0,18,,,,,,,,,,,,,,,,
0,20092010,Chi. Mission,T1EHL,1,21,13,38,34,38,,34,,,,,,,,,,,,,,,,
0,20102011,Waterloo,USHL,1,14,8,36,50,36,-1.0,22,3.0,0.0,0.0,,,,,,,,,,,,,
0,20112012,Waterloo,USHL,1,24,20,56,55,56,11.0,44,6.0,3.0,2.0,,,,,,,,,,,,,
0,20122013,Waterloo,USHL,1,35,25,14,46,14,22.0,60,4.0,2.0,1.0,161.0,15.53,,,,,,,,,,,
0,20132014,U. of Notre Dame,H-East,1,24,8,4,34,4,,32,2.0,2.0,0.0,,,,,,,,,,,,,
0,20132014,U.S.A.,WJC-A,2,2,3,0,5,0,2.0,5,1.0,0.0,0.0,5.0,,,,,,,,,,,,
0,20142015,U. of Notre Dame,H-East,1,33,11,48,42,48,,44,4.0,3.0,0.0,,,,,,,,,,,,,
0,20142015,Rockford IceHogs,AHL,8267,2,0,0,5,0,-2.0,2,,,,,,,,,,,,,,,,
0,20152016,Chicago Blackhawks,National Hockey League,1,0,0,6,7,6,-1.0,0,0.0,0.0,0.0,6.0,0.0,60:50,2.0,0.0,01:02,59:48,40.63,0.0,0.0,00:00,2.0,91.0
0,20152016,Rockford,AHL,2,33,18,24,66,24,7.0,51,3.0,3.0,1.0,148.0,12.2,,,,,,,,,,,
0,20152016,U.S.A.,WC-A,3,2,1,10,9,10,-1.0,3,0.0,1.0,0.0,11.0,9.1,,,,,,,,,,,
0,20152016,Rockford IceHogs,AHL,8267,33,18,24,66,24,7.0,51,,,,,,,,,,,,,,,,
0,20152016,USA,WC,17215,2,1,10,9,10,-1.0,3,,,,,,,,,,,,,,,,
0,20162017,Chicago Blackhawks,National Hockey League,1,8,6,17,49,17,-1.0,14,0.0,2.0,0.0,76.0,7.89,586:56,31.0,0.0,15:39,571:17,39.77,0.0,0.0,00:00,19.0,766.0
0,20162017,Rockford IceHogs,AHL,8267,4,3,4,15,4,-8.0,7,,,,,,,,,,,,,,,,
0,20172018,Chicago Blackhawks,National Hockey League,1,18,7,10,50,10,5.0,25,1.0,1.0,0.0,86.0,8.14,690:59,26.0,5.0,71:42,619:12,43.82,0.0,0.0,00:05,17.0,870.0
0,20172018,Rockford IceHogs,AHL,8267,13,9,8,23,8,7.0,22,,,,,,,,,,,,,,,,
0,20182019,Arizona Coyotes,National Hockey League,1,23,16,14,72,14,-4.0,39,3.0,3.0,0.0,152.0,10.53,1099:16,69.0,5.0,94:33,993:02,37.86,0.0,0.0,11:41,41.0,1497.0
0,20192020,Arizona Coyotes,National Hockey League,1,17,5,14,68,14,1.0,22,0.0,0.0,0.0,132.0,3.8,891:14,51.0,1.0,04:44,832:53,42.62,0.0,1.0,53:37,26.0,1280.0
0,20202021,Florida Panthers,National Hockey League,1,0,0,0,9,0,-2.0,0,0.0,0.0,0.0,6.0,0.0,88:32,3.0,0.0,00:12,86:47,20.0,0.0,0.0,01:33,1.0,122.0
0,20202021,Chicago Blackhawks,National Hockey League,2,8,4,8,17,8,2.0,12,0.0,0.0,0.0,27.0,14.8,230:36,34.0,0.0,06:38,217:24,10.0,0.0,0.0,06:34,2.0,285.0
0,20212022,Buffalo Sabres,National Hockey League,1,12,13,24,62,24,-11.0,25,1.0,2.0,0.0,92.0,14.1,860:03,25.0,1.0,11:14,823:34,42.86,0.0,0.0,25:15,13.0,1109.0
