,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,shortHandedGoals,plusMinus,gameWinningGoals,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Balgonie,SMBHL,1,31,11,26.0,25,26,42,,,,,,,,,,,,,,,,,
0,20072008,Balgonie,Minor-SK,2,5,2,,10,,7,,,,,,,,,,,,,,,,,
0,20082009,Moose Jaw,SMHL,1,26,12,12.0,41,12,38,,,,,,,,,,,,,,,,,
0,20092010,Everett,WHL,1,22,5,31.0,52,31,27,3.0,0.0,33.0,,,,,,,,,,,,,,
0,20102011,Everett,WHL,1,40,6,45.0,70,45,46,3.0,0.0,18.0,,,,,,,,,,,,,,
0,20112012,Everett,WHL,1,22,9,31.0,46,31,31,2.0,1.0,0.0,,,,,,,,,,,,,,
0,20112012,Canada,WJC-A,2,3,0,0.0,6,0,3,0.0,0.0,6.0,0.0,,,,,,,,,,,,,
0,20122013,Everett,WHL,1,15,2,14.0,23,14,17,2.0,0.0,0.0,,,,,,,,,,,,,,
0,20132014,Columbus Blue Jackets,National Hockey League,1,17,4,10.0,66,10,21,3.0,0.0,4.0,0.0,1311:28,62.0,26.0,7.0,136:01,1060:49,0.0,6.45,0.0,1.0,114:38,97.0,1487.0
0,20142015,Columbus Blue Jackets,National Hockey League,1,2,1,8.0,12,8,3,1.0,0.0,1.0,0.0,226:54,8.0,5.0,1.0,09:13,196:56,0.0,12.5,0.0,0.0,20:45,11.0,280.0
0,20152016,Columbus Blue Jackets,National Hockey League,1,21,4,40.0,82,40,25,1.0,0.0,-10.0,0.0,1873:23,90.0,51.0,11.0,216:26,1480:52,0.0,4.44,0.0,0.0,176:05,171.0,2258.0
0,20152016,Canada,WC-A,2,5,0,0.0,10,0,5,0.0,0.0,6.0,0.0,,12.0,,,,,,,,,,,
0,20152016,Canada,WC,17155,5,0,0.0,10,0,5,,,6.0,,,,,,,,,,,,,,
0,20162017,Columbus Blue Jackets,National Hockey League,1,9,2,24.0,60,24,11,0.0,0.0,3.0,0.0,1099:59,52.0,23.0,1.0,26:42,960:50,0.0,3.85,0.0,1.0,112:27,96.0,1463.0
0,20162017,Team North America,WCup,176776,0,0,0.0,3,0,0,,,-3.0,,,,,,,,,,,,,,
0,20172018,Columbus Blue Jackets,National Hockey League,1,11,1,8.0,44,8,12,0.0,0.0,4.0,0.0,811:12,34.0,31.0,0.0,12:06,710:11,0.0,2.94,0.0,0.0,88:55,75.0,1059.0
0,20172018,Canada,WC,17155,1,0,4.0,10,4,1,,,-1.0,,,,,,,,,,,,,,
0,20172018,Cleveland Monsters,AHL,22447,0,1,0.0,1,0,1,,,0.0,,,,,,,,,,,,,,
0,20182019,Columbus Blue Jackets,National Hockey League,1,28,1,10.0,56,10,29,0.0,0.0,20.0,0.0,1200:36,71.0,27.0,1.0,33:43,1025:18,0.0,1.41,0.0,0.0,141:35,93.0,1501.0
0,20192020,Columbus Blue Jackets,National Hockey League,1,7,2,4.0,27,4,9,0.0,0.0,-9.0,0.0,538:48,32.0,12.0,2.0,23:15,460:25,0.0,6.3,0.0,0.0,55:08,50.0,708.0
0,20202021,New Jersey Devils,National Hockey League,1,14,0,8.0,48,8,14,0.0,0.0,3.0,0.0,893:28,29.0,38.0,0.0,03:12,809:42,0.0,0.0,0.0,0.0,80:34,73.0,1099.0
0,20212022,Colorado Avalanche,National Hockey League,1,4,0,2.0,37,2,4,0.0,0.0,-3.0,0.0,521:14,26.0,32.0,0.0,01:03,480:18,0.0,0.0,0.0,1.0,39:53,41.0,721.0
