,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,powerPlayGoals,shortHandedGoals,shots,gameWinningGoals,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Pursuit of Excellence Bantm Prep,OMBAHA,10145261,58,57,0,51,0,0.0,115,,,,,,,,,,,,,,,,
0,20102011,Okanagan H.A.,CSSHL,1,5,4,4,6,4,,9,,,,,,,,,,,,,,,,
0,20102011,Okanagan H.A.,High-BC,2,27,22,67,39,67,,49,,,,,,,,,,,,,,,,
0,20102011,Edmonton,WHL,3,1,0,0,6,0,2.0,1,0.0,0.0,,,,,,,,,,,,,,
0,20112012,Edmonton,WHL,1,11,20,56,63,56,15.0,31,4.0,0.0,,,,,,,,,,,,,,
0,20122013,Edmonton,WHL,1,23,38,47,72,47,25.0,61,14.0,2.0,,,,,,,,,,,,,,
0,20132014,Edmonton,WHL,1,35,41,30,58,30,41.0,76,8.0,2.0,,,,,,,,,,,,,,
0,20132014,Canada,WJC-A,2,4,3,0,7,0,1.0,7,2.0,0.0,12.0,1.0,,,,,,,,,,,,
0,20142015,Ottawa Senators,National Hockey League,1,9,6,14,67,14,1.0,15,0.0,0.0,92.0,0.0,864:05,167.0,0.0,08:59,821:38,47.25,6.52,0.0,0.0,33:28,40.0,1228.0
0,20142015,Canada,WJC-A,2,4,5,0,7,0,8.0,9,2.0,0.0,17.0,1.0,,,,,,,,,,,,
0,20152016,Ottawa Senators,National Hockey League,1,14,6,18,76,18,-1.0,20,1.0,1.0,78.0,0.0,1053:16,118.0,2.0,64:55,880:48,43.75,7.69,0.0,4.0,107:33,47.0,1479.0
0,20162017,Ottawa Senators,National Hockey League,1,1,0,4,33,4,-10.0,1,0.0,0.0,24.0,0.0,290:51,57.0,0.0,02:52,278:10,37.33,0.0,0.0,0.0,09:49,16.0,441.0
0,20162017,Calgary Flames,National Hockey League,2,2,1,0,4,0,2.0,3,0.0,0.0,2.0,0.0,47:06,9.0,0.0,01:02,44:57,45.83,50.0,0.0,0.0,01:07,1.0,65.0
0,20162017,Binghamton Senators,AHL,7977,1,3,8,13,8,-1.0,4,,,,,,,,,,,,,,,,
0,20172018,Calgary Flames,National Hockey League,1,10,2,23,65,23,-8.0,12,0.0,0.0,65.0,1.0,640:43,130.0,0.0,04:58,607:46,39.67,3.08,0.0,0.0,27:59,26.0,884.0
0,20182019,Calgary Flames,National Hockey League,1,0,0,0,1,0,-1.0,0,0.0,0.0,0.0,0.0,04:48,0.0,0.0,00:00,04:48,75.0,0.0,0.0,0.0,00:00,1.0,9.0
0,20182019,Stockton Heat,AHL,186037,21,20,47,57,47,-9.0,41,,,,,,,,,,,,,,,,
0,20192020,Buffalo Sabres,National Hockey League,1,5,5,9,38,9,-3.0,10,0.0,0.0,33.0,0.0,449:39,70.0,0.0,00:49,381:20,51.25,15.2,0.0,1.0,67:30,24.0,681.0
0,20192020,Rochester Americans,AHL,1047,8,6,6,18,6,10.0,14,,,,,,,,,,,,,,,,
0,20202021,Buffalo Sabres,National Hockey League,1,4,5,0,33,0,-4.0,9,0.0,0.0,35.0,1.0,449:10,64.0,0.0,02:37,365:31,50.71,14.3,0.0,0.0,81:02,16.0,624.0
0,20202021,Boston Bruins,National Hockey League,2,2,2,6,17,6,-2.0,4,0.0,0.0,20.0,0.0,217:01,35.0,0.0,01:21,193:30,42.74,10.0,0.0,0.0,22:10,6.0,296.0
0,20212022,Boston Bruins,National Hockey League,1,8,8,16,70,16,-2.0,16,0.0,0.0,95.0,0.0,839:35,186.0,0.0,01:02,726:01,48.92,8.4,0.0,1.0,112:32,51.0,1214.0
