,season,team,league,sequenceNumber,assists,goals,games,points,pim,powerPlayGoals,penaltyMinutes,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20082009,Ohio B'Jackets,Ind.,1,11,7,35,18,,,,,,,,,,,,,,,,,,,
0,20092010,USNTDP,USHL,1,0,0,2,0,2.0,0.0,2,0.0,0.0,0.0,,,,,,,,,,,,,
0,20092010,USNTDP,U-17,2,0,1,6,1,2.0,,2,,,,,,,,,,,,,,,,
0,20102011,USNTDP,USHL,1,1,3,9,4,6.0,0.0,6,0.0,1.0,6.0,,,,,,,,,,,,,
0,20102011,USNTDP,U-18,2,3,3,13,6,0.0,,0,,,,,,,,,,,,,,,,
0,20102011,U.S.A.,WJ18-A,3,1,3,6,4,2.0,1.0,2,2.0,0.0,7.0,,,,,,,,,,,,,
0,20112012,Sarnia,OHL,1,18,8,35,26,26.0,6.0,26,2.0,0.0,-3.0,,,,,,,,,,,,,
0,20122013,Sarnia,OHL,1,12,6,33,18,32.0,4.0,32,,0.0,14.0,,,,,,,,,,,,,
0,20122013,U.S.A.,WJC-A,2,1,0,7,1,2.0,0.0,2,0.0,0.0,5.0,,,,,,,,,,,,,
0,20132014,Phoenix Coyotes,National Hockey League,1,7,1,30,8,10.0,0.0,10,1.0,0.0,5.0,539:25,30.0,44.0,0.0,00:35,484:17,0.0,3.33,0.0,0.0,54:33,38.0,681.0
0,20132014,Portland,AHL,2,13,0,36,13,48.0,0.0,48,0.0,0.0,-1.0,,54.0,,,,,,0.0,,,,,
0,20132014,U.S.A.,WC-A,3,0,0,4,0,0.0,0.0,0,0.0,0.0,,,6.0,,,,,,,,,,,
0,20142015,Arizona Coyotes,National Hockey League,1,3,4,73,7,42.0,0.0,42,0.0,0.0,-27.0,1226:27,72.0,137.0,0.0,03:47,1096:43,0.0,5.56,0.0,0.0,125:57,142.0,1723.0
0,20142015,U.S.A.,WC-A,2,0,0,10,0,0.0,0.0,0,0.0,0.0,-2.0,,5.0,,,,,,,,,,,
0,20152016,Arizona Coyotes,National Hockey League,1,11,6,78,17,48.0,1.0,48,1.0,0.0,5.0,1599:45,101.0,175.0,3.0,87:14,1346:18,0.0,5.94,0.0,0.0,166:13,139.0,2256.0
0,20152016,U.S.A.,WC-A,2,2,3,10,5,12.0,0.0,12,0.0,0.0,2.0,,6.0,,,,,,,,,,,
0,20152016,USA,WC,17215,2,3,10,5,12.0,,12,,,2.0,,,,,,,,,,,,,
0,20162017,Arizona Coyotes,National Hockey League,1,15,2,77,17,45.0,0.0,45,1.0,1.0,-13.0,1476:44,81.0,201.0,0.0,20:38,1314:00,0.0,2.47,1.0,1.0,142:06,119.0,1971.0
0,20162017,USA,WC,17215,1,1,8,2,2.0,,2,,,4.0,,,,,,,,,,,,,
0,20172018,Chicago Blackhawks,National Hockey League,1,12,2,76,14,34.0,0.0,34,0.0,0.0,-3.0,1244:23,109.0,138.0,0.0,07:10,1152:00,0.0,1.83,0.0,0.0,85:13,101.0,1812.0
0,20172018,USA,WC,17215,1,0,10,1,8.0,,8,,,7.0,,,,,,,,,,,,,
0,20182019,Chicago Blackhawks,National Hockey League,1,8,5,52,13,40.0,0.0,40,1.0,0.0,12.0,1013:25,84.0,119.0,0.0,01:31,903:06,0.0,5.95,0.0,0.0,108:48,91.0,1352.0
0,20192020,Chicago Blackhawks,National Hockey League,1,14,5,58,19,27.0,0.0,27,0.0,0.0,2.0,1232:32,117.0,128.0,0.0,04:01,1068:49,0.0,4.3,0.0,1.0,159:42,138.0,1450.0
0,20202021,Chicago Blackhawks,National Hockey League,1,12,3,50,15,35.0,1.0,35,1.0,0.0,1.0,1107:16,78.0,102.0,1.0,06:30,963:34,0.0,3.8,0.0,1.0,137:12,123.0,1271.0
0,20212022,Chicago Blackhawks,National Hockey League,1,6,4,57,10,47.0,0.0,47,1.0,0.0,-14.0,1240:28,71.0,130.0,0.0,03:39,1083:47,0.0,5.6,0.0,0.0,153:02,150.0,1558.0
