,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,timeOnIce,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shortHandedTimeOnIce,shifts,shots,hits,powerPlayGoals,powerPlayPoints,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,blocked
0,20052006,Boro/Vetlanda J20,J20 Div.2,25587,5,1,18,4,18,0.0,6,,,,,,,,,,,,,,,,
0,20062007,Sodertalje U18,Swe-U18,1,1,0,33,2,33,,1,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20062007,Sodertalje Jr.,Swe-Jr.,2,8,2,8,10,8,,10,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20072008,Frolunda U18,Swe-U18,1,2,1,2,3,2,,3,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20072008,Frolunda Jr.,Swe-Jr.,2,24,13,68,38,68,,37,00:00,00:00,00:00,0.0,00:00,0.0,,,,,,,,,,
0,20072008,Frolunda,Sweden,3,0,1,0,7,0,,1,,,,,,,,,,,,,,,,
0,20082009,Frolunda,Sweden,1,5,5,10,45,10,,10,,,,,,,,,,,,,,,,
0,20082009,Sweden,WJC-A,2,7,2,0,6,0,,9,,,,0.0,,,,,,,,,,,,
0,20082009,Boras,Sweden-2,3,1,0,14,7,14,,1,,,,,,,,,,,,,,,,
0,20082009,Frolunda Jr.,Swe-Jr.,4,2,0,2,1,2,,2,,,,,,,,,,,,,,,,
0,20092010,Ottawa Senators,National Hockey League,1,21,5,24,60,24,-5.0,26,1206:48,201:54,998:59,0.0,05:55,1347.0,112.0,44.0,1.0,10.0,4.46,0.0,0.0,0.0,0.0,48.0
0,20092010,Binghamton,AHL,2,11,0,22,12,22,0.0,11,,,,,,,,,0.0,,,0.0,,0.0,,
0,20092010,Sweden,WC-A,3,3,1,2,9,2,,4,,,,0.0,,,,,,,,,,,,
0,20102011,Ottawa Senators,National Hockey League,1,32,13,50,75,50,-30.0,45,1763:42,274:54,1378:42,0.0,110:06,1844.0,182.0,32.0,4.0,21.0,7.14,4.0,0.0,0.0,1.0,74.0
0,20112012,Ottawa Senators,National Hockey League,1,59,19,42,81,42,16.0,78,2050:40,315:31,1689:41,0.0,45:28,2202.0,261.0,60.0,3.0,28.0,7.28,5.0,0.0,0.0,0.0,65.0
0,20112012,Sweden,WC-A,2,4,3,2,8,2,3.0,7,,,,,,,,,3.0,,,1.0,,0.0,,
0,20122013,Ottawa Senators,National Hockey League,1,8,6,8,17,8,8.0,14,461:38,76:42,354:46,0.0,30:10,484.0,79.0,10.0,2.0,4.0,7.59,2.0,0.0,1.0,1.0,14.0
0,20122013,Jokerit,Finland,2,25,9,24,30,24,12.0,34,,,,,,,,,,,,,,,,
0,20132014,Ottawa Senators,National Hockey League,1,54,20,36,82,36,-15.0,74,2219:59,335:28,1760:55,0.0,123:36,2348.0,257.0,122.0,5.0,31.0,7.78,1.0,0.0,0.0,0.0,101.0
0,20132014,Sweden,Olympics,2,4,4,0,6,0,5.0,8,,,,,,,20.0,,3.0,,,1.0,,0.0,,
0,20142015,Ottawa Senators,National Hockey League,1,45,21,42,82,42,7.0,66,2234:55,393:44,1795:08,0.0,46:03,2191.0,292.0,93.0,6.0,30.0,7.19,3.0,1.0,0.0,0.0,89.0
0,20152016,Ottawa Senators,National Hockey League,1,66,16,50,82,50,-2.0,82,2375:55,381:31,1885:26,0.0,108:58,2221.0,248.0,84.0,1.0,26.0,6.45,3.0,2.0,0.0,0.0,175.0
0,20162017,Ottawa Senators,National Hockey League,1,54,17,28,77,28,10.0,71,2066:29,283:39,1617:13,0.0,165:37,2425.0,218.0,67.0,4.0,27.0,7.8,5.0,1.0,0.0,2.0,201.0
0,20162017,Sweden,WCup,8596,3,1,2,4,2,2.0,4,,,,,,,,,,,,,,,,
0,20172018,Ottawa Senators,National Hockey League,1,53,9,36,71,36,-25.0,62,1898:34,235:49,1559:27,0.0,103:18,2161.0,196.0,58.0,3.0,18.0,4.59,2.0,2.0,0.0,1.0,120.0
0,20182019,San Jose Sharks,National Hockey League,1,42,3,22,53,22,6.0,45,1297:59,165:04,1035:26,0.0,97:29,1384.0,169.0,44.0,2.0,20.0,1.78,1.0,0.0,0.0,0.0,69.0
0,20192020,San Jose Sharks,National Hockey League,1,34,6,16,56,16,-15.0,40,1373:17,168:13,1060:50,0.0,144:14,1531.0,120.0,26.0,1.0,13.0,5.0,0.0,0.0,1.0,1.0,74.0
0,20202021,San Jose Sharks,National Hockey League,1,14,8,18,52,18,-18.0,22,1226:49,152:38,1011:39,0.0,62:32,1420.0,110.0,20.0,3.0,8.0,7.3,1.0,0.0,0.0,1.0,69.0
0,20212022,San Jose Sharks,National Hockey League,1,25,10,14,50,14,-14.0,35,1173:31,141:57,957:23,0.0,74:11,1389.0,117.0,18.0,0.0,10.0,8.5,2.0,1.0,0.0,0.0,45.0
