,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points,shots,powerPlayGoals,gameWinningGoals,shortHandedGoals,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20092010,Piráti Chomutov U16,Czech U16,83627,3,1,2,18,2,-13.0,4,,,,,,,,,,,,,,,,
0,20102011,Chomutov U18,CzR-U18,1,3,3,2,8,2,,6,,,,,,,,,,,,,,,,
0,20112012,Chomutov U18,CzR-U18,1,26,18,14,38,14,,44,,,,,,,,,,,,,,,,
0,20122013,Chomutov U18,CzR-U18,1,16,10,6,14,6,,26,,,,,,,,,,,,,,,,
0,20122013,Chomutov Jr.,CzRep-Jr.,2,7,9,18,22,18,,16,,,,,,,,,,,,,,,,
0,20122013,Kadan,CzRep-2,3,1,2,2,9,2,,3,,,,,,,,,,,,,,,,
0,20132014,Chomutov Jr.,CzRep-Jr.,1,10,5,12,7,12,,15,,,,,,,,,,,,,,,,
0,20132014,Kadan,CzRep-2,2,1,3,0,5,0,,4,,,,,,,,,,,,,,,,
0,20132014,Chomutov,CzRep,3,5,5,10,43,10,,10,,,,,,,,,,,,,,,,
0,20132014,Chomutov,CzRep-Q,4,3,2,0,10,0,,5,,,,,,,,,,,,,,,,
0,20142015,Chomutov Jr.,CzRep-Jr.,1,7,1,0,3,0,,8,,,,,,,,,,,,,,,,
0,20142015,Chomutov,CzRep-2,2,17,10,8,49,8,,27,,,,,,,,,,,,,,,,
0,20142015,Czech Republic,WJC-A,3,1,1,0,5,0,1.0,2,13.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20152016,San Diego,AHL,1,6,8,6,25,6,-3.0,14,49.0,1.0,1.0,0.0,16.3,,,,,,,,,,,
0,20152016,San Diego Gulls,AHL,85177,6,8,6,25,6,-3.0,14,,,,,,,,,,,,,,,,
0,20162017,Anaheim Ducks,National Hockey League,1,10,5,18,53,18,-1.0,15,77.0,0.0,2.0,0.0,6.49,624:33,42.0,0.0,12:02,612:05,14.29,1.0,0.0,00:26,14.0,935.0
0,20162017,San Diego Gulls,AHL,85177,6,6,4,14,4,13.0,12,,,,,,,,,,,,,,,,
0,20172018,Anaheim Ducks,National Hockey League,1,18,20,14,66,14,18.0,38,146.0,1.0,5.0,0.0,13.7,918:53,28.0,3.0,86:19,831:43,19.23,1.0,0.0,00:51,26.0,1247.0
0,20172018,San Diego Gulls,AHL,85177,0,0,0,1,0,0.0,0,,,,,,,,,,,,,,,,
0,20182019,Anaheim Ducks,National Hockey League,1,9,11,2,30,2,0.0,20,94.0,1.0,2.0,0.0,11.7,469:44,17.0,4.0,65:47,403:11,33.33,0.0,0.0,00:46,11.0,593.0
0,20192020,Anaheim Ducks,National Hockey League,1,16,7,10,49,10,-7.0,23,135.0,0.0,0.0,1.0,5.2,822:40,9.0,2.0,87:29,699:55,20.69,0.0,1.0,35:16,13.0,1080.0
0,20192020,Boston Bruins,National Hockey League,2,1,0,4,6,4,0.0,1,9.0,0.0,0.0,0.0,0.0,87:11,4.0,0.0,07:58,78:36,0.0,0.0,0.0,00:37,4.0,110.0
0,20202021,Boston Bruins,National Hockey League,1,0,0,0,3,0,0.0,0,4.0,0.0,0.0,0.0,0.0,25:31,1.0,0.0,01:03,24:28,0.0,0.0,0.0,00:00,1.0,37.0
0,20212022,Toronto Maple Leafs,National Hockey League,1,13,14,14,50,14,4.0,27,119.0,4.0,2.0,1.0,11.8,699:22,29.0,8.0,44:00,592:11,18.18,0.0,1.0,63:11,32.0,969.0
