,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games
0,20122013,HC Slavia Praha U16,Czech U16,83497,1.0,0.0,1
0,20132014,HC Slavia Praha U16,Czech U16,83497,0.903,2.97,27
0,20142015,HC Slavia Praha U18,Czech U18,29912,0.876,3.65,5
0,20142015,HC Slavia Praha U16,Czech U16,83497,0.95,1.77,29
0,20152016,HC Slavia Praha U20,Czechia U20,31737,0.857,5.0,1
0,20152016,HC Slavia Praha U18,Czechia U18,31744,0.899,3.12,40
0,20162017,Czechia U18,WJC-18,17013,0.871,3.4,3
0,20162017,Motor Ceske Budejovice U20,Czechia U20,33417,0.933,2.61,38
0,20162017,Motor Ceske Budejovice U18,Czechia U18,33494,0.92,2.26,4
0,20172018,Cedar Rapids RoughRiders,USHL,8756,0.901,3.24,34
0,20182019,Brandon Wheat Kings,WHL,9591,0.906,3.31,48
0,20182019,Czechia U20,WJC-20,17046,0.8,6.0,1
0,20192020,Brandon Wheat Kings,WHL,9591,0.921,2.55,41
0,20202021,HC Motor Ceske Budejovice,Czechia,3516,0.887,3.56,15
0,20202021,Henderson Silver Knights,AHL,307807,0.888,3.54,7
0,20212022,Fort Wayne Komets,ECHL,6335,0.906,2.77,15
0,20212022,Henderson Silver Knights,AHL,307807,0.91,2.76,22
