,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,ties,wins,losses,goalsAgainst,saves,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,evenStrengthSavePercentage,shortHandedSavePercentage
0,20072008,Team Illinois U18,T1EHL U18,39067,0.923,1.86,13,,,,,,,,,,,,,,,,,,,
0,20082009,Cedar Rapids RoughRiders,USHL,7908,0.91,2.33,24,,,,,,,,,,,,,,,,,,,
0,20092010,Cedar Rapids RoughRiders,USHL,7908,0.902,2.63,44,,,,,,,,,,,,,,,,,,,
0,20102011,Union College,ECAC,1,,2.12,3,85:00,0.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,
0,20112012,Union College,ECAC,1,,1.65,34,1922:00,5.0,3.0,22.0,6.0,53.0,,,,,,,,,,,,,
0,20122013,Union College,ECAC,1,,2.12,34,1929:00,2.0,5.0,17.0,10.0,68.0,,,,,,,,,,,,,
0,20132014,Worcester,AHL,1,0.903,2.62,35,1966:00,2.0,0.0,18.0,14.0,86.0,805.0,891.0,,,,,,,,,,,
0,20142015,San Jose Sharks,National Hockey League,1,0.948276,1.520698,2,118:22,1.0,,1.0,1.0,3.0,55.0,58.0,0.0,3.0,0.0,52.0,0.0,55.0,3.0,2.0,100.0,94.54545454545455,
0,20142015,Worcester,AHL,2,0.906,2.63,36,2167:00,1.0,3.0,20.0,13.0,95.0,915.0,1010.0,,,,,,,,,,,
0,20142015,Worcester Sharks,AHL,19317,0.906,2.63,36,,,,,,,,,,,,,,,,,,,
0,20152016,San Jose Barracuda,AHL,187427,0.894,3.16,28,,,,,,,,,,,,,,,,,,,
0,20162017,San Jose Barracuda,AHL,187427,0.926,2.04,49,,,,,,,,,,,,,,,,,,,
0,20172018,Milwaukee Admirals,AHL,1017,0.911,2.75,7,,,,,,,,,,,,,,,,,,,
0,20172018,San Jose Barracuda,AHL,187427,0.902,2.98,20,,,,,,,,,,,,,,,,,,,
0,20182019,Milwaukee Admirals,AHL,1017,0.919,2.41,46,,,,,,,,,,,,,,,,,,,
0,20192020,Milwaukee Admirals,AHL,1017,0.92,2.29,33,,,,,,,,,,,,,,,,,,,
0,20202021,Los Angeles Kings,National Hockey League,3,0.922,3.0,2,120:00,0.0,0.0,1.0,1.0,6.0,71.0,77.0,0.0,8.0,1.0,62.0,1.0,68.0,8.0,2.0,100.0,91.17647058823529,100.0
0,20202021,Ontario Reign,AHL,26957,0.856,4.18,4,,,,,,,,,,,,,,,,,,,
0,20212022,Providence Bruins,AHL,897,0.933,2.0,30,,,,,,,,,,,,,,,,,,,
