,season,team,league,sequenceNumber,goalAgainstAverage,games,savePercentage
0,20132014,RDL Promutuel U15 AA,QBAA,154111,1.86,14,
0,20142015,Mont-Joli Aiglons Midget Espoir,QMEAA,124939,0.0,1,1.0
0,20142015,RDL Promutuel U15 AA,QBAA,154111,1.49,15,
0,20152016,Collège Notre-Dame Albatros,QM18AAA,62684,3.68,21,0.882
0,20162017,Rouyn-Noranda Huskies,QMJHL,9660,2.0,2,0.913
0,20162017,Collège Notre-Dame Albatros,QM18AAA,62684,2.29,25,0.926
0,20172018,Rouyn-Noranda Huskies,QMJHL,9660,3.26,24,0.897
0,20182019,Rouyn-Noranda Huskies,QMJHL,9660,1.73,27,0.932
0,20192020,Rouyn-Noranda Huskies,QMJHL,9660,3.16,53,0.908
0,20202021,Rouyn-Noranda Huskies,QMJHL,9660,3.57,10,0.886
0,20202021,Saint John Sea Dogs,QMJHL,21410,4.18,13,0.863
0,20212022,Orlando Solar Bears,ECHL,113515,3.67,13,0.879
0,20212022,San Jose Barracuda,AHL,187427,4.48,12,0.867
