,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,timeOnIce,shots,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,faceOffPct,shotPct,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20072008,Pittsburgh,MWEHL,1,19,11,16,26,16,30,,,,,,,,,,,,,,,,,
0,20082009,Mahoning Valley,NAHL,1,18,29,48,47,48,47,9.0,4.0,3.0,21.0,,,,,,,,,,,,,
0,20082009,USNTDP,U-17,2,5,6,2,7,2,11,,,,,,,,,,,,,,,,,
0,20092010,USNTDP,USHL,1,14,12,18,24,18,26,3.0,2.0,1.0,15.0,,,,,,,,,,,,,
0,20092010,USNTDP,U-18,2,15,17,16,39,16,32,,,,,,,,,,,,,,,,,
0,20092010,U.S.A.,WJ18-A,3,3,3,4,7,4,6,0.0,1.0,0.0,6.0,,,,,,,,,,,,,
0,20102011,Saginaw,OHL,1,28,27,47,59,47,55,12.0,,2.0,8.0,,,,,,,,,,,,,
0,20112012,Chicago Blackhawks,National Hockey League,1,0,0,0,2,0,0,0.0,0.0,0.0,0.0,28:02,3.0,0.0,0.0,02:44,25:15,0.0,0.0,0.0,0.0,00:03,1.0,40.0
0,20112012,U.S.A.,WJC-A,2,5,1,0,6,0,6,0.0,0.0,0.0,8.0,,,,,,,,,,,,,
0,20112012,Saginaw,OHL,3,42,34,38,44,38,76,9.0,,6.0,35.0,,,,,,,,,,,,,
0,20122013,Chicago Blackhawks,National Hockey League,1,17,10,12,46,12,27,0.0,2.0,1.0,17.0,757:13,98.0,41.0,3.0,70:30,647:08,36.96,10.2,0.0,1.0,39:35,12.0,1021.0
0,20122013,Rockford,AHL,2,12,8,10,31,10,20,0.0,3.0,1.0,1.0,,95.0,,,,,,8.42,,,,,
0,20132014,Chicago Blackhawks,National Hockey League,1,28,19,20,78,20,47,3.0,2.0,0.0,20.0,1270:39,159.0,48.0,9.0,141:19,1073:41,40.98,11.95,0.0,2.0,55:39,20.0,1694.0
0,20142015,Chicago Blackhawks,National Hockey League,1,29,23,12,82,12,52,2.0,6.0,0.0,7.0,1414:46,203.0,53.0,10.0,179:42,1146:25,43.18,11.33,1.0,0.0,88:39,29.0,1891.0
0,20152016,Columbus Blue Jackets,National Hockey League,1,22,31,14,78,14,53,6.0,7.0,0.0,1.0,1343:02,233.0,43.0,8.0,165:06,1128:05,55.88,13.3,0.0,1.0,49:51,25.0,1762.0
0,20162017,Columbus Blue Jackets,National Hockey League,1,29,24,8,82,8,53,1.0,4.0,0.0,23.0,1396:26,210.0,24.0,3.0,129:03,1226:41,44.44,11.43,0.0,0.0,40:42,26.0,1888.0
0,20162017,Team North America,WCup,176776,0,0,2,3,2,0,,,,-2.0,,,,,,,,,,,,,
0,20172018,Chicago Blackhawks,National Hockey League,1,17,18,14,82,14,35,1.0,8.0,0.0,-10.0,1435:20,237.0,29.0,1.0,174:37,1120:13,46.28,7.59,2.0,0.0,140:30,32.0,1937.0
0,20182019,Chicago Blackhawks,National Hockey League,1,24,23,12,80,12,47,5.0,3.0,3.0,-9.0,1415:05,195.0,52.0,6.0,117:55,1162:30,38.71,11.79,0.0,3.0,134:40,25.0,1863.0
0,20192020,Chicago Blackhawks,National Hockey League,1,12,21,16,58,16,33,1.0,5.0,2.0,2.0,971:21,140.0,36.0,1.0,71:35,798:11,39.66,15.0,0.0,2.0,101:35,19.0,1242.0
0,20202021,Colorado Avalanche,National Hockey League,1,9,15,12,44,12,24,2.0,1.0,0.0,1.0,620:05,68.0,16.0,3.0,76:04,538:44,43.55,22.1,0.0,0.0,05:17,10.0,852.0
0,20212022,St. Louis Blues,National Hockey League,1,25,24,10,78,10,49,8.0,1.0,1.0,11.0,1269:10,158.0,20.0,13.0,129:10,1063:18,42.11,15.2,0.0,3.0,76:42,20.0,1644.0
