,season,team,league,sequenceNumber,assists,goals,games,points,pim,penaltyMinutes,plusMinus
0,20112012,Noble & Greenough School,USHS-Prep,96792,4,5,29,9,,,
0,20112012,Boston Jr. Bruins Selects U15,WSI U15,206240,5,1,6,6,2.0,2,
0,20122013,Noble & Greenough School,USHS-Prep,96792,25,10,27,35,,,
0,20132014,Cedar Rapids RoughRiders,USHL,8756,0,0,5,0,0.0,0,1.0
0,20132014,Boston Jr. Bruins,USPHL Premier,10241,1,0,2,1,0.0,0,
0,20132014,Noble & Greenough School,USHS-Prep,96792,26,19,27,45,,,
0,20132014,Boston Jr. Bruins 18U AAA 2,MHSL U18,221094,6,12,12,18,2.0,2,
0,20142015,Cedar Rapids RoughRiders,USHL,8756,20,20,60,40,28.0,28,21.0
0,20142015,Team Gold,USA-S17,177415,4,3,5,7,,,
0,20152016,Cedar Rapids RoughRiders,USHL,8756,25,14,56,39,8.0,8,19.0
0,20152016,USA U19,WJAC-19,87412,3,3,5,6,0.0,0,
0,20162017,Univ. of Notre Dame,NCAA,16100,8,3,35,11,8.0,8,3.0
0,20172018,Univ. of Notre Dame,NCAA,16100,12,14,38,26,17.0,17,3.0
0,20182019,Univ. of Notre Dame,NCAA,16100,18,12,36,30,8.0,8,9.0
0,20192020,Univ. of Notre Dame,NCAA,16100,14,7,37,21,2.0,2,-6.0
0,20202021,Colorado Eagles,AHL,8957,7,2,33,9,14.0,14,-11.0
0,20212022,Colorado Eagles,AHL,8957,14,12,57,26,17.0,17,4.0
