,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20142015,HC Slavia Praha U16,Czechia U16,85030,5,5,22,35,22,-4.0,10
0,20152016,HC Slavia Praha U18,Czechia U18,31744,0,0,2,3,2,-1.0,0
0,20152016,HC Slavia Praha U16,Czechia U16,85030,27,32,50,38,50,31.0,59
0,20162017,HC Slavia Praha U18,Czechia U18,31744,11,9,14,15,14,7.0,20
0,20172018,HC Slavia Praha U20,Czechia U20,31737,2,0,0,3,0,1.0,2
0,20172018,HC Slavia Praha U18,Czechia U18,31744,14,32,69,36,69,23.0,46
0,20182019,HC Benatky nad Jizerou,Czechia2,27310,2,4,12,22,12,-5.0,6
0,20192020,HC Benatky nad Jizerou,Czechia2,27310,1,5,32,30,32,-7.0,6
0,20192020,Tri-City Storm,USHL,28026,1,3,22,8,22,4.0,4
0,20192020,Bili Tygri Liberec U20,DHL Cup,41182,2,4,8,5,8,4.0,6
0,20192020,Czechia U19,WJAC-19,113792,3,1,2,3,2,,4
0,20202021,Tri-City Storm,USHL,28026,9,12,73,49,73,8.0,21
0,20212022,Bili Tygri Liberec,Czechia,8976,12,6,72,44,72,-1.0,18
0,20212022,HC Benatky nad Jizerou,Czechia2,27310,5,7,45,16,45,5.0,12
