,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,plusMinus,points
0,20122013,Göteborg,TV-Pucken,10976,4,2,0,8,0,4.0,6
0,20122013,Hanhals IF J18,J18 Div.1,16200,1,10,6,6,6,,11
0,20122013,Hanhals IF J20,J20 Div.1,30715,0,1,0,2,0,,1
0,20122013,Hanhals IF U16,U16 Region,144002,15,20,10,23,10,,35
0,20132014,Rögle BK J20,J20 Nationell,5889,0,1,4,9,4,-1.0,1
0,20132014,Rögle BK J18,J18 Allsvenskan,6329,4,3,0,12,0,-5.0,7
0,20132014,Rögle BK J18,J18 Region,7178,16,11,6,21,6,15.0,27
0,20142015,Rögle BK J20,J20 Nationell,5889,6,16,16,41,16,6.0,22
0,20142015,Rögle BK J18,J18 Allsvenskan,6329,7,5,6,7,6,4.0,12
0,20142015,Rögle BK J18,J18 Region,7178,1,3,2,3,2,-2.0,4
0,20152016,Rögle BK,SHL,1119,0,0,0,1,0,0.0,0
0,20152016,Rögle BK J20,J20 Nationell,5889,13,10,26,35,26,-7.0,23
0,20162017,Rögle BK,SHL,1119,4,5,6,46,6,1.0,9
0,20162017,Rögle BK J20,J20 Nationell,5889,17,7,14,16,14,4.0,24
0,20172018,Rögle BK,SHL,1119,6,2,10,49,10,-6.0,8
0,20172018,IK Oskarshamn,HockeyAllsvenskan,1540,2,0,0,2,0,2.0,2
0,20182019,Rögle BK,SHL,1119,10,3,41,51,41,-6.0,13
0,20192020,Rögle BK,SHL,1119,12,6,55,52,55,5.0,18
0,20202021,Rögle BK,SHL,1119,20,25,53,51,53,12.0,45
0,20202021,Sweden,EHT,89816,1,0,0,1,0,1.0,1
0,20212022,Syracuse Crunch,AHL,1057,24,11,31,72,31,10.0,35
