,season,team,league,sequenceNumber,assists,goals,pim,games,penaltyMinutes,faceOffPct,points,powerPlayGoals,gameWinningGoals,shortHandedGoals,plusMinus,shots,shotPct,timeOnIce,hits,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,overTimeGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,shifts
0,20042005,Nanaimo,BCHL,1,0,0,2,3,2,0.0,0,,,,,,,,,,,,,,,,
0,20052006,Nanaimo,BCHL,1,6,3,41,56,41,0.0,9,,,,,,,,,,,,,,,,
0,20062007,Nanaimo,BCHL,1,27,22,67,60,67,0.0,49,,,,,,,,,,,,,,,,
0,20072008,Nanaimo,BCHL,1,37,16,40,59,40,0.0,53,,,,,,,,,,,,,,,,
0,20082009,Massachusetts,H-East,1,11,7,8,31,8,0.0,18,,,,,,,,,,,,,,,,
0,20092010,Massachusetts,H-East,1,17,7,16,36,16,0.0,24,,,,,,,,,,,,,,,,
0,20092010,Worcester,AHL,2,0,0,2,3,2,,0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
0,20102011,Worcester,AHL,1,21,10,43,72,43,,31,6.0,2.0,0.0,-7.0,148.0,6.76,,,,,,,,,,
0,20112012,Worcester,AHL,1,31,11,48,71,48,,42,9.0,3.0,0.0,-9.0,209.0,5.26,,,,,,,,,,
0,20122013,San Jose Sharks,National Hockey League,1,6,6,10,38,10,0.0,12,4.0,0.0,0.0,-1.0,79.0,7.59,725:50,39.0,5.0,66:33,652:01,0.0,0.0,07:16,65.0,921.0
0,20122013,Worcester,AHL,2,14,1,26,35,26,,15,0.0,0.0,0.0,0.0,100.0,1.0,,,,,,,,,,
0,20132014,San Jose Sharks,National Hockey League,1,17,2,35,62,35,0.0,19,1.0,0.0,0.0,5.0,147.0,1.36,1166:30,62.0,6.0,124:58,1030:15,0.0,0.0,11:17,93.0,1462.0
0,20142015,San Jose Sharks,National Hockey League,1,11,8,18,53,18,0.0,19,1.0,1.0,0.0,3.0,93.0,8.6,902:02,55.0,3.0,70:42,823:20,0.0,0.0,08:00,65.0,1232.0
0,20152016,Boston Bruins,National Hockey League,1,0,0,0,2,0,0.0,0,0.0,0.0,0.0,-5.0,3.0,0.0,29:52,1.0,0.0,02:04,25:33,0.0,0.0,02:15,0.0,43.0
0,20152016,Providence,AHL,2,25,5,27,64,27,,30,3.0,1.0,0.0,1.0,154.0,3.2,,,,,,,,,,
0,20152016,Providence Bruins,AHL,897,25,5,27,64,27,,30,,,,1.0,,,,,,,,,,,,
0,20162017,Nashville Predators,National Hockey League,1,11,3,26,74,26,0.0,14,0.0,1.0,0.0,15.0,98.0,3.06,1203:48,115.0,0.0,02:05,1110:50,0.0,2.0,90:53,121.0,1637.0
0,20162017,Milwaukee Admirals,AHL,1017,1,0,4,4,4,,1,,,,0.0,,,,,,,,,,,,
0,20172018,Nashville Predators,National Hockey League,1,6,2,8,50,8,0.0,8,0.0,0.0,0.0,2.0,62.0,3.23,671:36,78.0,0.0,01:11,639:56,0.0,0.0,30:29,54.0,940.0
0,20182019,Nashville Predators,National Hockey League,1,6,1,38,44,38,0.0,7,0.0,0.0,0.0,5.0,50.0,2.0,497:00,80.0,0.0,00:01,487:21,0.0,0.0,09:38,37.0,685.0
0,20192020,Nashville Predators,National Hockey League,1,2,0,11,27,11,0.0,2,0.0,0.0,0.0,-8.0,40.0,0.0,319:01,53.0,0.0,00:24,313:59,0.0,0.0,04:38,30.0,437.0
0,20192020,Anaheim Ducks,National Hockey League,2,1,0,4,9,4,0.0,1,0.0,0.0,0.0,-7.0,18.0,0.0,201:59,27.0,0.0,01:09,171:39,0.0,0.0,29:11,24.0,244.0
0,20202021,Buffalo Sabres,National Hockey League,1,2,0,19,24,19,0.0,2,0.0,0.0,0.0,-10.0,27.0,0.0,390:01,56.0,0.0,00:26,343:14,0.0,0.0,46:21,43.0,462.0
0,20212022,Washington Capitals,National Hockey League,1,3,1,6,17,6,0.0,4,0.0,0.0,0.0,0.0,29.0,3.4,214:55,36.0,0.0,00:20,204:54,0.0,0.0,09:41,21.0,286.0
